Name,StatVar,Chart Title,ConciseChartTitleOld,ConciseChartTitle
Proportion of Households Living in Multidimensional Poverty by Urbanisation,dc/topic/sdgSDMDPMUHHC_sdgurbanisation,,Impoverished Population by Urbanization,Impoverished Population by Urbanization
Proportion of Population Covered by At Least One Social Protection Benefit by Gender,dc/topic/sdgSICOVBENFTS_gender,,Population With Social Protection Benefits by Gender,Population With Social Protection Benefits by Gender
Proportion of Children/households Receiving Child/family Cash Benefit by Gender,dc/topic/sdgSICOVCHLD_gender,,Children/Households Receiving Family Cash Benefit by Gender,Children/Households Receiving Family Cash Benefit by Gender
Proportion of Population With Severe Disabilities Receiving Disability Cash Benefit by Gender,dc/topic/sdgSICOVDISAB_gender,,Population With Severe Disabilities Receiving Disability Cash Benefit by Gender,Population With Severe Disabilities Receiving Disability Cash Benefit by Gender
Proportion of Population Above Statutory Pensionable Age Receiving A Pension by Gender,dc/topic/sdgSICOVPENSN_gender,,Population Above Retirement Age Receiving Pension by Gender,Population Above Retirement Age Receiving Pension by Gender
Proportion of Poor Population Receiving Social Assistance Cash Benefit by Gender,dc/topic/sdgSICOVPOOR_gender,,Poor Population Receiving Social Assistance Cash Benefit by Gender,Poor Population Receiving Social Assistance Cash Benefit by Gender
Proportion of Unemployed Persons Receiving Unemployment Cash Benefit by Gender,dc/topic/sdgSICOVUEMP_gender,,Unemployed Population Receiving Unemployment Cash Benefit by Gender,Unemployed Population Receiving Unemployment Cash Benefit by Gender
Proportion of Vulnerable Population Receiving Social Assistance Cash Benefit by Gender,dc/topic/sdgSICOVVULN_gender,,Vulnerable Population Receiving Social Assistance Cash Benefit by Gender,Vulnerable Population Receiving Social Assistance Cash Benefit by Gender
Proportion of Employed Population Covered in The Event of Work Injury by Gender,dc/topic/sdgSICOVWKINJRY_gender,,Employed Population Covered for Work Injury by Gender,Employed Population Covered for Work Injury by Gender
Proportion of Population Below International Poverty Line by Age,dc/topic/sdgSIPOVDAY1_age,,Population Below International Poverty Line by Age,Population Below International Poverty Line by Age
Proportion of Population Below International Poverty Line by Gender,dc/topic/sdgSIPOVDAY1_gender,,Population Below International Poverty Line by Gender,Population Below International Poverty Line by Gender
Proportion of Population Below International Poverty Line by Urbanisation,dc/topic/sdgSIPOVDAY1_sdgurbanisation,,Population Below International Poverty Line by Urbanization,Population Below International Poverty Line by Urbanization
Employed Population Below International Poverty Line by Age,dc/topic/sdgSIPOVEMP1_age,,Employed Population Below International Poverty Line by Age,Employed Population Below International Poverty Line by Age
Employed Population Below International Poverty Line by Gender,dc/topic/sdgSIPOVEMP1_gender,,Employed Population Below International Poverty Line by Gender,Employed Population Below International Poverty Line by Gender
Proportion of Population Using Basic Drinking Water Services by Urbanisation,dc/topic/sdgSPACSBSRVH2O_sdgurbanisation,,Population Using Basic Drinking Water Services by Urbanization,Population Using Basic Drinking Water Services by Urbanization
Proportion of Population Using Basic Sanitation Services by Urbanisation,dc/topic/sdgSPACSBSRVSAN_sdgurbanisation,,Population Using Basic Sanitation Services by Urbanization,Population Using Basic Sanitation Services by Urbanization
Proportion of Children Living in Child-specific Multidimensional Poverty With Age = Under 18 Years Old,dc/topic/sdgSDMDPCSMP_age-SDGAgeEnumY0T17,,Impoverished Children Under 18 Years,Impoverished Children Under 18 Years
Employed Population Below International Poverty Line With Age = 15 To 24 Years Old,dc/topic/sdgSIPOVEMP1_age-SDGAgeEnumY15T24,,Employed Population Age 15 to 24 Below International Poverty Line,Employed Population Age 15 to 24 Below International Poverty Line
Employed Population Below International Poverty Line With Age = 15 Years Old And Over,dc/topic/sdgSIPOVEMP1_age-SDGAgeEnumYGE15,,Employed Population Aged 15 or Over Below International Poverty Line,Employed Population Aged 15 or Over Below International Poverty Line
Employed Population Below International Poverty Line With Age = 25 Years Old And Over,dc/topic/sdgSIPOVEMP1_age-SDGAgeEnumYGE25,,Employed Population Aged 25 or Over Below International Poverty Line,Employed Population Aged 25 or Over Below International Poverty Line
Employed Population Below International Poverty Line With Gender = Female,dc/topic/sdgSIPOVEMP1_gender-SDGSexEnumF,,Employed Women Below International Poverty Line,Employed Women Below International Poverty Line
Employed Population Below International Poverty Line With Gender = Male,dc/topic/sdgSIPOVEMP1_gender-SDGSexEnumM,,Employed Men Below International Poverty Line,Employed Men Below International Poverty Line
"Proportion of Children Living in Child-specific Multidimensional Poverty With Age = Under 18 Years Old, Urbanisation",dc/topic/sdgSDMDPCSMP_age-SDGAgeEnumY0T17_sdgurbanisation,,Impoverished Children Under 18 Years by Urbanization,Impoverished Children Under 18 Years by Urbanization
"Employed Population Below International Poverty Line With Age = 15 To 24 Years Old, Gender",dc/topic/sdgSIPOVEMP1_age-SDGAgeEnumY15T24_gender,,Employed Population Age 15 to 24 Below International Poverty Line by Gender,Employed Population Age 15 to 24 Below International Poverty Line by Gender
"Employed Population Below International Poverty Line With Age = 15 Years Old And Over, Gender",dc/topic/sdgSIPOVEMP1_age-SDGAgeEnumYGE15_gender,,Employed Population Aged 15 or Over Below International Poverty Line by Gender,Employed Population Aged 15 or Over Below International Poverty Line by Gender
"Employed Population Below International Poverty Line With Age = 25 Years Old And Over, Gender",dc/topic/sdgSIPOVEMP1_age-SDGAgeEnumYGE25_gender,,Employed Population Aged 25 or Over Below International Poverty Line by Gender,Employed Population Aged 25 or Over Below International Poverty Line by Gender
"Employed Population Below International Poverty Line With Age, Gender = Female",dc/topic/sdgSIPOVEMP1_age_gender-SDGSexEnumF,,Employed Women Below International Poverty Line by Age,Employed Women Below International Poverty Line by Age
"Employed Population Below International Poverty Line With Age, Gender = Male",dc/topic/sdgSIPOVEMP1_age_gender-SDGSexEnumM,,Employed Men Below International Poverty Line by Age,Employed Men Below International Poverty Line by Age
Proportion of mothers with newborns receiving maternity cash benefit [Sex = Female],sdg/SI_COV_MATNL.SEX--F,,Mothers With Newborns Receiving Maternity Cash Benefit,Mothers With Newborns Receiving Maternity Cash Benefit
Proportion of people who perceive their rights to land as secure out of total adult population,sdg/SP_LGL_LNDSEC,,Population Who Feel Secure in Land Rights,Population Who Feel Secure in Land Rights
Number of deaths and missing persons attributed to disasters,sdg/VC_DSR_MMHN,,Deaths and Missing Persons From Disasters,Deaths and Missing Persons From Disasters
Number of deaths and missing persons attributed to disasters per 100K population,sdg/VC_DSR_MTMP,,Deaths and Missing Persons From Disasters Per 100k Capita,Deaths and Missing Persons From Disasters Per 100k Capita
Number of deaths due to disaster,sdg/VC_DSR_MORT,,Deaths From Disasters,Deaths From Disasters
Number of directly affected persons attributed to disasters per 100K population,sdg/VC_DSR_DAFF,,Population Affected by Disasters Per 100k Capita,Population Affected by Disasters Per 100k Capita
Number of injured or ill people attributed to disasters,sdg/VC_DSR_IJILN,,Injured or Ill Population From Disasters,Injured or Ill Population From Disasters
Number of missing persons due to disaster,sdg/VC_DSR_MISS,,Missing Persons From Disasters,Missing Persons From Disasters
Number of people affected by disaster,sdg/VC_DSR_AFFCT,,Population Affected by Disasters,Population Affected by Disasters
Number of people whose damaged dwellings were attributed to disasters,sdg/VC_DSR_PDAN,,Population With Damaged Dwellings From Disasters,Population With Damaged Dwellings From Disasters
Number of people whose destroyed dwellings were attributed to disasters,sdg/VC_DSR_PDYN,,Population With Destroyed Dwellings From Disasters,Population With Destroyed Dwellings From Disasters
"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters",sdg/VC_DSR_PDLN,,Population With Affected Livelihoods From Disasters,Population With Affected Livelihoods From Disasters
Direct agriculture loss attributed to disasters,sdg/VC_DSR_AGLH,,Direct Agriculture Loss From Disasters,Direct Agriculture Loss From Disasters
Direct economic loss attributed to disasters,sdg/VC_DSR_GDPLS,,Direct Economic Loss From Disasters,Direct Economic Loss From Disasters
Direct economic loss attributed to disasters relative to GDP,sdg/VC_DSR_LSGP,,Direct Economic Loss From Disasters (Relative to GDP),Direct Economic Loss From Disasters (Relative to GDP)
Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,sdg/VC_DSR_CILN,,Direct Economic Loss From Disaster-Caused Infrastructure Damage,Direct Economic Loss From Disaster-Caused Infrastructure Damage
Direct economic loss to cultural heritage damaged or destroyed attributed to disasters,sdg/VC_DSR_CHLN,,Direct Economic Loss From Disaster-Caused Cultural Heritage Damage,Direct Economic Loss From Disaster-Caused Cultural Heritage Damage
Direct economic loss to other damaged or destroyed productive assets attributed to disasters,sdg/VC_DSR_DDPA,,Direct Economic Loss From Disaster-Caused Productive Asset Damage,Direct Economic Loss From Disaster-Caused Productive Asset Damage
Number of countries that reported having a National DRR Strategy which is aligned to the Sendai Framework,sdg/SG_DSR_SFDRR,,Countries With a National DRR Strategy,Countries With a National DRR Strategy
Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,sdg/SG_DSR_LGRGSR,,Adoption and Implementation of National DRR Strategies,Adoption and Implementation of National DRR Strategies
Number of local governments,sdg/SG_GOV_LOGV,,Local Governments,Local Governments
Number of local governments that adopt and implement local DRR strategies in line with national strategies,sdg/SG_DSR_SILN,,Local Governments Adopting and Implementing DRR Strategies,Local Governments Adopting and Implementing DRR Strategies
Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,sdg/SG_DSR_SILS,,Prevalence of Local Government Adoption and Implementation of DRR Strategies,Prevalence of Local Government Adoption and Implementation of DRR Strategies
Official development assistance grants for poverty reduction,sdg/DC_ODA_POVDLG,,Grants for Poverty Reduction,Grants for Poverty Reduction
Official development assistance grants for poverty reduction,sdg/DC_ODA_POVLG,,Grants for Poverty Reduction,Grants for Poverty Reduction
"Proportion of total government spending on essential services, education",sdg/SD_XPD_ESED,,Government Spending on Essential Services and Education,Government Spending on Essential Services and Education
Average proportion of deprivations for people multidimensionally poor,sdg/SD_MDP_ANDI,,Average Deprivations for Population in Poverty,Average Deprivations for Population in Poverty
Average share of weighted deprivations of total households,sdg/SD_MDP_ANDIHH,,Average Weighted Deprivations of Total Households,Average Weighted Deprivations of Total Households
Proportion of population living in multidimensional poverty,sdg/SD_MDP_MUHC,,Population in Poverty,Population in Poverty
Proportion of households living in multidimensional poverty,sdg/SD_MDP_MUHHC,,Households in Poverty,Households in Poverty
Proportion of population covered by at least one social protection benefit,sdg/SI_COV_BENFTS,,Population With Social Protection Benefits,Population With Social Protection Benefits
Proportion of children/households receiving child/family cash benefit,sdg/SI_COV_CHLD,,Children/Households Receiving Family Cash Benefit,Children/Households Receiving Family Cash Benefit
Proportion of population with severe disabilities receiving disability cash benefit,sdg/SI_COV_DISAB,,Severely Disabled Population Receiving Disability Cash Benefit,Severely Disabled Population Receiving Disability Cash Benefit
Proportion of population covered by labour market programs,sdg/SI_COV_LMKT,,Population Covered by Labour Market Programs,Population Covered by Labour Market Programs
Proportion of population covered by labour market programs [Quantile = Quantile 1 (poorest)],sdg/SI_COV_LMKT.INCOME_WEALTH_QUANTILE--Q1,,Population Above Retirement Age Receiving Pension,Population Above Retirement Age Receiving Pension
Proportion of population above statutory pensionable age receiving a pension,sdg/SI_COV_PENSN,,Vulnerable Population Receiving Social Assistance Cash Benefit,Vulnerable Population Receiving Social Assistance Cash Benefit
Proportion of poor population receiving social assistance cash benefit,sdg/SI_COV_POOR,,Population Covered by Social Assistance Programs,Population Covered by Social Assistance Programs
Proportion of population covered by social assistance programs,sdg/SI_COV_SOCAST,,Population Covered by Social Insurance Programs,Population Covered by Social Insurance Programs
Proportion of population covered by social assistance programs [Quantile = Quantile 1 (poorest)],sdg/SI_COV_SOCAST.INCOME_WEALTH_QUANTILE--Q1,,Population Covered by Social Insurance Programs in Poorest Quantile,Population Covered by Social Insurance Programs in Poorest Quantile
Proportion of population covered by social insurance programs,sdg/SI_COV_SOCINS,,Population Covered by Social Insurance Programs,Population Covered by Social Insurance Programs
Proportion of population covered by social insurance programs [Quantile = Quantile 1 (poorest)],sdg/SI_COV_SOCINS.INCOME_WEALTH_QUANTILE--Q1,,Population Covered by Social Insurance Programs in Poorest Quantile,Population Covered by Social Insurance Programs in Poorest Quantile
Proportion of unemployed persons receiving unemployment cash benefit,sdg/SI_COV_UEMP,,Unemployed Population Receiving Unemployment Cash Benefit,Unemployed Population Receiving Unemployment Cash Benefit
Proportion of vulnerable population receiving social assistance cash benefit,sdg/SI_COV_VULN,,Vulnerable Population Receiving Social Assistance Cash Benefit,Vulnerable Population Receiving Social Assistance Cash Benefit
Proportion of employed population covered in the event of work injury,sdg/SI_COV_WKINJRY,,Employed Population Covered for Work Injury,Employed Population Covered for Work Injury
Proportion of population below international poverty line,sdg/SI_POV_DAY1,,Population Below International Poverty Line,Population Below International Poverty Line
Proportion of population living below the national poverty line,sdg/SI_POV_NAHC,,Employed Population Below International Poverty Line,Employed Population Below International Poverty Line
Proportion of population living below the national poverty line [Location = Urban],sdg/SI_POV_NAHC.URBANISATION--U,,Urban Population Below National Poverty Line,Urban Population Below National Poverty Line
Proportion of population using basic drinking water services,sdg/SP_ACS_BSRVH2O,,Population Using Basic Drinking Water Services,Population Using Basic Drinking Water Services
Proportion of population using basic sanitation services,sdg/SP_ACS_BSRVSAN,,Population Using Basic Sanitation Services,Population Using Basic Sanitation Services
Proportion of people with legally recognized documentation of their rights to land out of total adult population,sdg/SP_LGL_LNDDOC,,Adults With Legally Recognized Land Rights,Adults With Legally Recognized Land Rights
Proportion of people with legally recognized documentation of their rights to land out of total adult population [Sex = Female],sdg/SP_LGL_LNDDOC.SEX--F,,Female Adults With Legally Recognized Land Rights,Female Adults With Legally Recognized Land Rights
Proportion of people with secure tenure rights to land out of total adult population,sdg/SP_LGL_LNDSTR,,Adults With Secure Tenure Land Rights,Adults With Secure Tenure Land Rights
Proportion of people with secure tenure rights to land out of total adult population [Sex = Female],sdg/SP_LGL_LNDSTR.SEX--F,,Female Adults With Secure Tenure Land Rights,Female Adults With Secure Tenure Land Rights
Average share of weighted deprivations of total households [Location = Rural],sdg/SD_MDP_ANDIHH.URBANISATION--R,,Average Weighted Deprivations of Total Rural Households,Average Weighted Deprivations of Total Rural Households
Average share of weighted deprivations of total households [Location = Urban],sdg/SD_MDP_ANDIHH.URBANISATION--U,,Average Weighted Deprivations of Total Urban Households,Average Weighted Deprivations of Total Urban Households
Average proportion of deprivations for people multidimensionally poor [Location = Rural],sdg/SD_MDP_ANDI.URBANISATION--R,,Average Deprivation for Impoverished Rural Population,Average Deprivation for Impoverished Rural Population
Average proportion of deprivations for people multidimensionally poor [Location = Urban],sdg/SD_MDP_ANDI.URBANISATION--U,,Average Deprivation for Impoverished Urban Population,Average Deprivation for Impoverished Urban Population
Proportion of children living in child-specific multidimensional poverty [Age = under 18 years old | Location = Rural],sdg/SD_MDP_CSMP.AGE--Y0T17__URBANISATION--R,,Impoverished Children in Rural Areas,Impoverished Children in Rural Areas
Proportion of children living in child-specific multidimensional poverty [Age = under 18 years old | Location = Urban],sdg/SD_MDP_CSMP.AGE--Y0T17__URBANISATION--U,,Impoverished Children in Urban Areas,Impoverished Children in Urban Areas
Proportion of population living in multidimensional poverty [Age = under 10 years old],sdg/SD_MDP_MUHC.AGE--Y0T9,,Impoverished Children Under 10 Years,Impoverished Children Under 10 Years
Proportion of population living in multidimensional poverty [Age = under 16 years old],sdg/SD_MDP_MUHC.AGE--Y0T15,,Impoverished Children Under 16 Years,Impoverished Children Under 16 Years
Proportion of population living in multidimensional poverty [Age = under 18 years old],sdg/SD_MDP_MUHC.AGE--Y0T17,,Impoverished Children Under 18 Years,Impoverished Children Under 18 Years
Proportion of population living in multidimensional poverty [Age = under 6 years old],sdg/SD_MDP_MUHC.AGE--Y0T5,,Impoverished Population Under 6 Years,Impoverished Population Under 6 Years
Proportion of population living in multidimensional poverty [Sex = Female],sdg/SD_MDP_MUHC.SEX--F,,Impoverished Women,Impoverished Women
Proportion of population living in multidimensional poverty [Sex = Male],sdg/SD_MDP_MUHC.SEX--M,,Impoverished Men,Impoverished Men
Proportion of population living in multidimensional poverty [Location = Rural],sdg/SD_MDP_MUHC.URBANISATION--R,,Impoverished Rural Population,Impoverished Rural Population
Proportion of population living in multidimensional poverty [Location = Urban],sdg/SD_MDP_MUHC.URBANISATION--U,,Impoverished Urban Population,Impoverished Urban Population
Proportion of households living in multidimensional poverty [Location = Rural],sdg/SD_MDP_MUHHC.URBANISATION--R,,Impoverished Rural Households,Impoverished Rural Households
Proportion of households living in multidimensional poverty [Location = Urban],sdg/SD_MDP_MUHHC.URBANISATION--U,,Impoverished Urban Households,Impoverished Urban Households
Proportion of population covered by at least one social protection benefit [Sex = Female],sdg/SI_COV_BENFTS.SEX--F,,Women With Social Protection Benefits,Women With Social Protection Benefits
Proportion of population covered by at least one social protection benefit [Sex = Male],sdg/SI_COV_BENFTS.SEX--M,,Men With Social Protection Benefits,Men With Social Protection Benefits
Proportion of children/households receiving child/family cash benefit [Sex = Female],sdg/SI_COV_CHLD.SEX--F,,Girls/Households Receiving Family Cash Benefit,Girls/Households Receiving Family Cash Benefit
Proportion of children/households receiving child/family cash benefit [Sex = Male],sdg/SI_COV_CHLD.SEX--M,,Boys/Households Receiving Family Cash Benefit,Boys/Households Receiving Family Cash Benefit
Proportion of population with severe disabilities receiving disability cash benefit [Sex = Female],sdg/SI_COV_DISAB.SEX--F,,Women With Severe Disabilities Receiving Disability Cash Benefit,Women With Severe Disabilities Receiving Disability Cash Benefit
Proportion of population with severe disabilities receiving disability cash benefit [Sex = Male],sdg/SI_COV_DISAB.SEX--M,,Men With Severe Disabilities Receiving Disability Cash Benefit,Men With Severe Disabilities Receiving Disability Cash Benefit
Proportion of population above statutory pensionable age receiving a pension [Sex = Female],sdg/SI_COV_PENSN.SEX--F,,Women Above Retirement Age Receiving Pension,Women Above Retirement Age Receiving Pension
Proportion of population above statutory pensionable age receiving a pension [Sex = Male],sdg/SI_COV_PENSN.SEX--M,,Men Above Retirement Age Receiving Pension,Men Above Retirement Age Receiving Pension
Proportion of poor population receiving social assistance cash benefit [Sex = Female],sdg/SI_COV_POOR.SEX--F,,Female Vulnerable Population Receiving Social Assistance Cash Benefit,Female Vulnerable Population Receiving Social Assistance Cash Benefit
Proportion of poor population receiving social assistance cash benefit [Sex = Male],sdg/SI_COV_POOR.SEX--M,,Male Vulnerable Population Receiving Social Assistance Cash Benefit,Male Vulnerable Population Receiving Social Assistance Cash Benefit
Proportion of unemployed persons receiving unemployment cash benefit [Sex = Female],sdg/SI_COV_UEMP.SEX--F,,Female Unemployed Population Receiving Unemployment Cash Benefit,Female Unemployed Population Receiving Unemployment Cash Benefit
Proportion of unemployed persons receiving unemployment cash benefit [Sex = Male],sdg/SI_COV_UEMP.SEX--M,,Male Unemployed Population Receiving Unemployment Cash Benefit,Male Unemployed Population Receiving Unemployment Cash Benefit
Proportion of vulnerable population receiving social assistance cash benefit [Sex = Female],sdg/SI_COV_VULN.SEX--F,,Female Vulnerable Population Receiving Social Assistance Cash Benefit,Female Vulnerable Population Receiving Social Assistance Cash Benefit
Proportion of vulnerable population receiving social assistance cash benefit [Sex = Male],sdg/SI_COV_VULN.SEX--M,,Male Vulnerable Population Receiving Social Assistance Cash Benefit,Male Vulnerable Population Receiving Social Assistance Cash Benefit
Proportion of employed population covered in the event of work injury [Sex = Female],sdg/SI_COV_WKINJRY.SEX--F,,Female Employed Population Covered for Work Injury,Female Employed Population Covered for Work Injury
Proportion of employed population covered in the event of work injury [Sex = Male],sdg/SI_COV_WKINJRY.SEX--M,,Male Employed Population Covered for Work Injury,Male Employed Population Covered for Work Injury
Proportion of population below international poverty line [Age = 15 to 64 years old],sdg/SI_POV_DAY1.AGE--Y15T64,,Population Age 15 to 64 Below International Poverty Line,Population Age 15 to 64 Below International Poverty Line
Proportion of population below international poverty line [Age = 65 years old and over],sdg/SI_POV_DAY1.AGE--Y_GE65,,Population Age 65 or Older Below International Poverty Line,Population Age 65 or Older Below International Poverty Line
Proportion of population below international poverty line [Age = under 15 years old],sdg/SI_POV_DAY1.AGE--Y0T14,,Population Age Under 15 Below International Poverty Line,Population Age Under 15 Below International Poverty Line
Proportion of population below international poverty line [Sex = Female],sdg/SI_POV_DAY1.SEX--F,,Women Below International Poverty Line,Women Below International Poverty Line
Proportion of population below international poverty line [Sex = Male],sdg/SI_POV_DAY1.SEX--M,,Men Below International Poverty Line,Men Below International Poverty Line
Proportion of population below international poverty line [Location = Rural],sdg/SI_POV_DAY1.URBANISATION--R,,Rural Population Below International Poverty Line,Rural Population Below International Poverty Line
Proportion of population below international poverty line [Location = Urban],sdg/SI_POV_DAY1.URBANISATION--U,,Urban Population Below International Poverty Line,Urban Population Below International Poverty Line
Proportion of population using basic drinking water services [Location = Rural],sdg/SP_ACS_BSRVH2O.URBANISATION--R,,Rural Population Using Basic Drinking Water Services,Rural Population Using Basic Drinking Water Services
Proportion of population using basic drinking water services [Location = Urban],sdg/SP_ACS_BSRVH2O.URBANISATION--U,,Urban Population Using Basic Drinking Water Services,Urban Population Using Basic Drinking Water Services
Proportion of population using basic sanitation services [Location = Rural],sdg/SP_ACS_BSRVSAN.URBANISATION--R,,Rural Population Using Basic Sanitation Services,Rural Population Using Basic Sanitation Services
Proportion of population using basic sanitation services [Location = Urban],sdg/SP_ACS_BSRVSAN.URBANISATION--U,,Urban Population Using Basic Sanitation Services,Urban Population Using Basic Sanitation Services
Proportion of children living in child-specific multidimensional poverty [Age = under 18 years old],sdg/SD_MDP_CSMP.AGE--Y0T17,,Impoverished Children Under 18 Years,Impoverished Children Under 18 Years
Employed population below international poverty line [Age = 15 to 24 years old],sdg/SI_POV_EMP1.AGE--Y15T24,,Employed Population Age 15 to 24 Below International Poverty Line,Employed Population Age 15 to 24 Below International Poverty Line
Employed population below international poverty line [Age = 15 years old and over],sdg/SI_POV_EMP1.AGE--Y_GE15,,Employed Population Aged 15 or Over Below International Poverty Line,Employed Population Aged 15 or Over Below International Poverty Line
Employed population below international poverty line [Age = 25 years old and over],sdg/SI_POV_EMP1.AGE--Y_GE25,,Employed Population Aged 25 or Over Below International Poverty Line,Employed Population Aged 25 or Over Below International Poverty Line
Employed population below international poverty line [Age = 15 to 24 years old | Sex = Female],sdg/SI_POV_EMP1.AGE--Y15T24__SEX--F,,Employed Women Age 15 to 24 Below International Poverty Line,Employed Women Age 15 to 24 Below International Poverty Line
Employed population below international poverty line [Age = 15 to 24 years old | Sex = Male],sdg/SI_POV_EMP1.AGE--Y15T24__SEX--M,,Employed Men Age 14 to 24 Below International Poverty Line,Employed Men Age 14 to 24 Below International Poverty Line
Employed population below international poverty line [Age = 15 years old and over | Sex = Female],sdg/SI_POV_EMP1.AGE--Y_GE15__SEX--F,,Employed Women Aged 15 or Over Below International Poverty Line,Employed Women Aged 15 or Over Below International Poverty Line
Employed population below international poverty line [Age = 15 years old and over | Sex = Male],sdg/SI_POV_EMP1.AGE--Y_GE15__SEX--M,,Employed Men Aged 15 or Over Below International Poverty Line,Employed Men Aged 15 or Over Below International Poverty Line
Employed population below international poverty line [Age = 25 years old and over | Sex = Female],sdg/SI_POV_EMP1.AGE--Y_GE25__SEX--F,,Employed Women Aged 25 or Over Below International Poverty Line,Employed Women Aged 25 or Over Below International Poverty Line
Employed population below international poverty line [Age = 25 years old and over | Sex = Male],sdg/SI_POV_EMP1.AGE--Y_GE25__SEX--M,,Employed Men Aged 25 or Over Below International Poverty Line,Employed Men Aged 25 or Over Below International Poverty Line
Indicator of Food Price Anomalies,dc/topic/sdgAGFPACOMM,,Indicator of Food Price Anomalies,Indicator of Food Price Anomalies
"Proportion of Countries Recording Abnormally High or Moderately High Food Prices, According To The Indicator of Food Price Anomalies",dc/topic/sdgAGFPAHMFP,,Countries With High Food Prices,Countries With High Food Prices
Prevalence of Moderate or Severe Food Insecurity,dc/topic/sdgAGPRDFIESMS,,Moderate or Severe Food Insecurity,Moderate or Severe Food Insecurity
Number of Moderately or Severely Food Insecure People,dc/topic/sdgAGPRDFIESMSN,,Population With Moderate or Severe Food Insecurity,Population With Moderate or Severe Food Insecurity
Prevalence of Severe Food Insecurity,dc/topic/sdgAGPRDFIESS,,Severe Food Insecurity,Severe Food Insecurity
Number of Severely Food Insecure People,dc/topic/sdgAGPRDFIESSN,,Population With Severe Food Insecurity,Population With Severe Food Insecurity
Productivity of Large-scale Food Producers,dc/topic/sdgPDAGRLSFP,,Productivity of Large-Scale Food Producers,Productivity of Large-Scale Food Producers
Productivity of Small-scale Food Producers,dc/topic/sdgPDAGRSSFP,,Productivity of Small-Scale Food Producers,Productivity of Small-Scale Food Producers
"Average Income of Large-scale Food Producers, PPP",dc/topic/sdgSIAGRLSFP,,Average Earnings of Large-Scale Food Producers,Average Earnings of Large-Scale Food Producers
"Average Income of Small-scale Food Producers, PPP",dc/topic/sdgSIAGRSSFP,,Average Earnings of Small-Scale Food Producers,Average Earnings of Small-Scale Food Producers
Indicator of Food Price Anomalies by Product,dc/topic/sdgAGFPACOMM_sdgproduct,,Indicator of Food Price Anomalies by Product,Indicator of Food Price Anomalies by Product
"Proportion of Countries Recording Abnormally High or Moderately High Food Prices, According To The Indicator of Food Price Anomalies by Severity of Price Levels",dc/topic/sdgAGFPAHMFP_sdgseverityOfPriceLevels,,Countries With High Food Prices by Price Level Severity,Countries With High Food Prices by Price Level Severity
Number of Moderately or Severely Food Insecure People by Age,dc/topic/sdgAGPRDFIESMSN_age,,Population With Moderate or Severe Food Insecurity by Age,Population With Moderate or Severe Food Insecurity by Age
Number of Moderately or Severely Food Insecure People by Gender,dc/topic/sdgAGPRDFIESMSN_gender,,Population With Moderate or Severe Food Insecurity by Gender,Population With Moderate or Severe Food Insecurity by Gender
Prevalence of Moderate or Severe Food Insecurity by Age,dc/topic/sdgAGPRDFIESMS_age,,Moderate or Severe Food Insecurity by Age,Moderate or Severe Food Insecurity by Age
Prevalence of Moderate or Severe Food Insecurity by Gender,dc/topic/sdgAGPRDFIESMS_gender,,Moderate or Severe Food Insecurity by Gender,Moderate or Severe Food Insecurity by Gender
Number of Severely Food Insecure People by Age,dc/topic/sdgAGPRDFIESSN_age,,Population With Severe Food Insecurity by Age,Population With Severe Food Insecurity by Age
Number of Severely Food Insecure People by Gender,dc/topic/sdgAGPRDFIESSN_gender,,Population With Severe Food Insecurity by Gender,Population With Severe Food Insecurity by Gender
Prevalence of Severe Food Insecurity by Age,dc/topic/sdgAGPRDFIESS_age,,Severe Food Insecurity by Age,Severe Food Insecurity by Age
Prevalence of Severe Food Insecurity by Gender,dc/topic/sdgAGPRDFIESS_gender,,Severe Food Insecurity by Gender,Severe Food Insecurity by Gender
Productivity of Large-scale Food Producers by Gender,dc/topic/sdgPDAGRLSFP_gender,,Productivity of Large-Scale Food Producers by Gender,Productivity of Large-Scale Food Producers by Gender
Productivity of Small-scale Food Producers by Gender,dc/topic/sdgPDAGRSSFP_gender,,Productivity of Small-Scale Food Producers by Gender,Productivity of Small-Scale Food Producers by Gender
"Average Income of Large-scale Food Producers, PPP by Gender",dc/topic/sdgSIAGRLSFP_gender,,Average Income of Large-Scale Food Producers by Gender,Average Income of Large-Scale Food Producers by Gender
"Average Income of Small-scale Food Producers, PPP by Gender",dc/topic/sdgSIAGRSSFP_gender,,Average Income of Small-Scale Food Producers by Gender,Average Income of Small-Scale Food Producers by Gender
Number of Moderately or Severely Food Insecure People With Age = 15 Years Old And Over,dc/topic/sdgAGPRDFIESMSN_age-SDGAgeEnumYGE15,,Population Age 15 and Over With Moderate or Severe Food Insecurity,Population Age 15 and Over With Moderate or Severe Food Insecurity
Prevalence of Moderate or Severe Food Insecurity With Age = 15 Years Old And Over,dc/topic/sdgAGPRDFIESMS_age-SDGAgeEnumYGE15,,Moderate or Severe Food Insecurity in Population Age 15 or Older,Moderate or Severe Food Insecurity in Population Age 15 or Older
