dcid,year,HivPeopleLivingWithHivFemalePeople
country/LVA,2016,1900.0
country/LVA,2017,2100.0
country/LVA,2018,2200.0
country/LVA,2020,2400.0
country/LBN,1992,500.0
country/LBN,1997,500.0
country/ERI,2021,7600.0
country/EST,1993,100.0
country/EST,1999,100.0
country/EST,2001,500.0
country/EST,2005,1600.0
country/EST,2007,1900.0
country/EST,2013,2600.0
country/EST,2016,2700.0
country/SWZ,1993,19000.0
country/SWZ,2003,91000.0
country/SWZ,2005,98000.0
country/SWZ,2008,110000.0
country/SWZ,2011,120000.0
country/SWZ,2013,130000.0
country/SWZ,2014,130000.0
country/SWZ,2018,140000.0
country/SWZ,2019,140000.0
country/ETH,1993,380000.0
country/ETH,2003,450000.0
country/ETH,2005,420000.0
country/ETH,2006,410000.0
country/ETH,2009,390000.0
country/ETH,2011,390000.0
country/ETH,2016,390000.0
country/ETH,2017,390000.0
country/ETH,2019,380000.0
country/FJI,1997,100.0
country/FJI,1999,100.0
country/FJI,2004,100.0
country/FJI,2009,500.0
country/FJI,2010,500.0
country/FJI,2013,500.0
country/FJI,2014,500.0
country/FJI,2020,1000.0
country/FRA,1994,17000.0
country/FRA,2000,25000.0
country/FRA,2002,29000.0
country/FRA,2003,31000.0
country/FRA,2015,56000.0
country/FRA,2021,66000.0
country/GAB,1994,13000.0
country/GAB,1998,22000.0
country/GAB,2000,25000.0
country/GAB,2001,27000.0
country/GAB,2007,31000.0
country/GAB,2017,34000.0
country/GAB,2022,34000.0
country/GMB,1991,1000.0
country/GMB,1992,1000.0
country/GMB,1997,4400.0
country/GMB,2004,10000.0
country/GMB,2021,16000.0
country/GEO,1990,100.0
country/GEO,1994,100.0
country/GEO,2004,500.0
country/GEO,2005,500.0
country/GEO,2014,1700.0
country/GEO,2015,1800.0
country/GEO,2016,2000.0
country/GEO,2022,2700.0
country/DEU,2010,11000.0
country/DEU,2011,12000.0
country/DEU,2018,16000.0
country/GHA,1990,65000.0
country/GHA,1993,110000.0
country/GHA,2000,180000.0
country/GHA,2001,190000.0
country/GHA,2009,190000.0
country/GHA,2018,220000.0
country/GRC,1996,1000.0
country/GRC,1998,1000.0
country/GRC,2002,1000.0
country/GRC,2005,1000.0
country/GRC,2007,1200.0
country/GRC,2008,1400.0
country/GRC,2010,1700.0
country/GRC,2019,2600.0
country/GRD,1990,100.0
country/GRD,1991,100.0
country/GRD,1994,100.0
country/GRD,1996,100.0
country/GRD,1997,100.0
country/GRD,2000,100.0
country/GRD,2005,100.0
country/GRD,2006,100.0
country/GRD,2008,100.0
country/GRD,2012,500.0
country/GRD,2013,500.0
country/GRD,2020,500.0
country/GTM,1990,3000.0
country/GTM,1995,8600.0
country/GTM,2000,12000.0
country/GTM,2013,12000.0
country/GTM,2019,12000.0
country/GTM,2021,12000.0
country/GIN,1990,12000.0
country/GIN,1991,15000.0
country/GIN,1996,33000.0
country/GIN,2004,50000.0
country/GIN,2006,53000.0
country/GIN,2015,69000.0
country/GIN,2018,75000.0
country/GNB,1991,1000.0
country/GNB,2001,17000.0
country/GNB,2003,20000.0
country/GNB,2008,22000.0
country/GNB,2012,22000.0
country/GNB,2016,22000.0
country/GUY,1994,1000.0
country/GUY,1998,1300.0
country/GUY,2001,1900.0
country/GUY,2005,2600.0
country/GUY,2006,2800.0
country/GUY,2008,3200.0
country/GUY,2010,3400.0
country/GUY,2013,3700.0
country/GUY,2014,3800.0
country/GUY,2016,4000.0
country/GUY,2020,4600.0
country/GUY,2022,4800.0
country/HTI,1995,57000.0
country/HTI,1998,61000.0
country/HTI,2000,62000.0
country/HTI,2004,61000.0
country/HTI,2011,61000.0
country/HTI,2012,62000.0
country/HTI,2019,76000.0
country/HTI,2020,78000.0
country/HND,1993,9600.0
country/HND,1999,16000.0
country/HND,2001,16000.0
country/HND,2004,15000.0
country/HND,2005,14000.0
country/HND,2008,13000.0
country/HND,2009,12000.0
country/HND,2012,11000.0
country/HND,2017,9400.0
country/HND,2019,8800.0
country/HND,2020,8600.0
country/ISL,1991,100.0
country/ISL,1995,100.0
country/ISL,1997,100.0
country/ISL,1998,100.0
country/ISL,2001,100.0
country/ISL,2007,100.0
country/ISL,2008,100.0
country/ISL,2014,100.0
country/ISL,2015,100.0
country/ISL,2017,100.0
country/IDN,1994,1000.0
country/IDN,1995,1100.0
country/IDN,1998,5000.0
country/IDN,1999,7600.0
country/IDN,2000,11000.0
country/IDN,2003,36000.0
country/IDN,2007,93000.0
country/IDN,2009,120000.0
country/IDN,2010,140000.0
country/IDN,2012,160000.0
country/IDN,2013,170000.0
country/IDN,2016,200000.0
country/IDN,2022,200000.0
country/IRN,1996,2000.0
country/IRN,2011,12000.0
country/IRN,2021,15000.0
country/IRN,2022,16000.0
country/IRQ,1992,100.0
country/IRQ,1994,500.0
country/IRQ,2002,1000.0
country/IRQ,2006,1000.0
country/IRQ,2011,1000.0
country/IRQ,2013,1000.0
country/IRQ,2014,1000.0
country/IRQ,2019,1100.0
country/IRL,1990,500.0
country/IRL,1994,500.0
country/IRL,1995,500.0
country/IRL,1997,1000.0
country/IRL,2000,1000.0
country/IRL,2003,1000.0
country/IRL,2005,1200.0
country/IRL,2013,1800.0
country/IRL,2019,2200.0
country/ITA,1993,15000.0
country/ITA,2000,19000.0
country/ITA,2003,23000.0
country/ITA,2004,24000.0
country/ITA,2009,30000.0
country/ITA,2013,34000.0
country/ITA,2015,35000.0
country/ITA,2022,39000.0
country/JAM,1992,8300.0
country/JAM,1996,11000.0
country/JAM,2002,11000.0
country/JAM,2006,12000.0
country/JAM,2011,13000.0
country/JAM,2013,13000.0
country/JAM,2015,14000.0
country/JOR,1991,100.0
country/JOR,1992,100.0
country/JOR,1995,100.0
country/JOR,1999,100.0
country/JOR,2005,100.0
country/JOR,2009,100.0
country/JOR,2012,100.0
country/KEN,1991,480000.0
country/KEN,1992,600000.0
country/KEN,2010,840000.0
country/KEN,2013,860000.0
country/KEN,2018,880000.0
country/KEN,2020,890000.0
country/KEN,2021,890000.0
country/KWT,1991,100.0
country/KWT,1997,100.0
country/KWT,2003,100.0
country/KWT,2004,100.0
country/KWT,2008,100.0
country/KWT,2011,100.0
country/KWT,2012,500.0
country/KWT,2013,500.0
country/KWT,2017,500.0
country/KWT,2021,500.0
country/KGZ,1990,100.0
country/KGZ,1991,100.0
country/KGZ,1992,100.0
country/KGZ,1993,100.0
country/KGZ,1996,100.0
country/KGZ,1997,100.0
country/KGZ,1998,100.0
country/KGZ,1999,100.0
country/KGZ,2001,500.0
country/KGZ,2004,500.0
country/KGZ,2012,2100.0
country/KGZ,2014,2600.0
country/KGZ,2020,4100.0
country/KGZ,2021,4300.0
country/KGZ,2022,4600.0
country/LAO,2000,1000.0
country/LAO,2002,1400.0
country/LAO,2008,3200.0
country/LAO,2012,4500.0
country/LAO,2018,6200.0
country/LAO,2019,6400.0
country/LAO,2021,6700.0
country/LVA,1993,500.0
country/LVA,1998,1000.0
country/LVA,1999,1000.0
country/LVA,2000,1100.0
country/LVA,2007,1400.0
country/LVA,2008,1500.0
country/LVA,2014,1800.0
country/LBN,1990,500.0
country/LBN,1991,500.0
country/LBN,1993,500.0
country/LBN,1996,500.0
country/AFG,1991,500.0
country/AFG,1995,1000.0
country/AFG,2000,1200.0
country/AFG,2001,1300.0
country/AFG,2005,1900.0
country/AFG,2007,2100.0
country/AFG,2008,2200.0
country/AFG,2010,2400.0
country/AFG,2012,2600.0
country/AFG,2013,2700.0
country/AFG,2018,3300.0
country/ALB,1990,100.0
country/ALB,1993,100.0
country/ALB,2001,100.0
country/ALB,2005,100.0
country/ALB,2011,500.0
country/ALB,2013,500.0
country/ALB,2016,500.0
country/ALB,2020,500.0
country/ALB,2021,500.0
country/DZA,1992,500.0
country/DZA,1998,1000.0
country/DZA,1999,1100.0
country/DZA,2013,6200.0
country/DZA,2015,7700.0
country/DZA,2017,9300.0
country/DZA,2020,12000.0
country/AGO,1990,16000.0
country/AGO,1991,20000.0
country/AGO,1992,24000.0
country/AGO,1993,28000.0
country/AGO,1994,33000.0
country/AGO,1995,39000.0
country/AGO,1999,66000.0
country/AGO,2002,89000.0
country/AGO,2006,120000.0
country/AGO,2011,160000.0
country/AGO,2012,170000.0
country/AGO,2015,190000.0
country/AGO,2017,190000.0
country/ARM,1990,100.0
country/ARM,1991,100.0
country/ARM,1994,100.0
country/ARM,2000,100.0
country/ARM,2001,100.0
country/ARM,2006,100.0
country/ARM,2014,1000.0
country/ARM,2017,1100.0
country/AUS,1998,1100.0
country/AUS,2003,1700.0
country/AUS,2009,2300.0
country/AUS,2016,3100.0
country/AUS,2017,3200.0
country/AUS,2018,3300.0
country/AUS,2021,3700.0
country/AZE,1995,500.0
country/AZE,1999,1000.0
country/AZE,2001,1200.0
country/AZE,2002,1400.0
country/AZE,2003,1600.0
country/AZE,2011,2600.0
country/AZE,2022,3600.0
country/BHS,1991,1100.0
country/BHS,2000,1800.0
country/BHS,2006,1800.0
country/BHS,2007,1900.0
country/BHS,2008,1900.0
country/BHS,2009,2000.0
country/BHS,2011,2000.0
country/BHS,2018,2000.0
country/BHS,2021,1900.0
country/BGD,1990,100.0
country/BGD,1997,500.0
country/BGD,1999,500.0
country/BGD,2000,500.0
country/BGD,2001,500.0
country/BGD,2003,1000.0
country/BGD,2007,1600.0
country/BGD,2011,2700.0
country/BGD,2012,2900.0
country/BGD,2016,4100.0
country/BGD,2020,5100.0
country/BGD,2022,5500.0
country/BRB,1995,500.0
country/BRB,2001,1000.0
country/BRB,2006,1000.0
country/BRB,2007,1000.0
country/BRB,2014,1000.0
country/BLR,1997,500.0
country/BLR,2003,1800.0
country/BLR,2004,2200.0
country/BLR,2007,3700.0
country/BLR,2008,4300.0
country/BLR,2018,11000.0
country/BEL,1991,1100.0
country/BEL,2001,2700.0
country/BEL,2003,3100.0
country/BEL,2010,4900.0
country/BEL,2013,5600.0
country/BEL,2017,6200.0
country/BEL,2018,6400.0
country/BEL,2019,6500.0
country/BEL,2020,6600.0
country/BEL,2021,6600.0
country/BLZ,1990,100.0
country/BLZ,1992,100.0
country/BLZ,1993,100.0
country/BLZ,1995,500.0
country/BLZ,1999,1000.0
country/BLZ,2003,1000.0
country/BLZ,2004,1000.0
country/BLZ,2007,1100.0
country/BLZ,2008,1100.0
country/BLZ,2012,1400.0
country/BLZ,2013,1400.0
country/BLZ,2016,1500.0
country/BLZ,2019,1600.0
country/BLZ,2020,1700.0
country/BLZ,2021,1700.0
country/BEN,1994,22000.0
country/BEN,1997,31000.0
country/BEN,2000,37000.0
country/BEN,2001,38000.0
country/BEN,2014,46000.0
country/BEN,2015,47000.0
country/BEN,2017,47000.0
country/BEN,2018,47000.0
country/BTN,1991,100.0
country/BTN,1995,100.0
country/BTN,2001,500.0
country/BTN,2004,500.0
country/BTN,2008,500.0
country/BTN,2009,500.0
country/BTN,2017,500.0
country/BTN,2019,500.0
country/BOL,1998,4200.0
country/BOL,2001,5000.0
country/BOL,2004,5500.0
country/BOL,2007,6000.0
country/BWA,1994,92000.0
country/BWA,2010,180000.0
country/BWA,2014,200000.0
country/BWA,2015,200000.0
country/BWA,2022,210000.0
country/BRA,1992,58000.0
country/BRA,1996,90000.0
country/BRA,1997,100000.0
country/BRA,1998,110000.0
country/BRA,2004,190000.0
country/BRA,2016,300000.0
country/BRA,2018,320000.0
country/BRA,2020,330000.0
country/BGR,1990,500.0
country/BGR,1992,500.0
country/BGR,1997,500.0
country/BGR,2008,500.0
country/BGR,2010,500.0
country/BGR,2012,500.0
country/BGR,2015,1000.0
country/BGR,2022,1000.0
country/BFA,1993,78000.0
country/BFA,1994,82000.0
country/BFA,2005,73000.0
country/BFA,2007,70000.0
country/BFA,2009,69000.0
country/BDI,1994,82000.0
country/BDI,1996,77000.0
country/BDI,2003,62000.0
country/BDI,2004,60000.0
country/BDI,2006,56000.0
country/BDI,2013,52000.0
country/BDI,2014,52000.0
country/BDI,2017,49000.0
country/CPV,1990,500.0
country/CPV,1992,500.0
country/CPV,1995,1000.0
country/CPV,2001,1000.0
country/CPV,2002,1000.0
country/CPV,2012,1100.0
country/CPV,2014,1300.0
country/CPV,2016,1400.0
country/CPV,2020,1800.0
country/CPV,2021,1800.0
country/CPV,2022,1900.0
country/KHM,1991,1000.0
country/KHM,1993,4300.0
country/KHM,2001,39000.0
country/KHM,2008,43000.0
country/KHM,2013,42000.0
country/KHM,2017,40000.0
country/KHM,2018,40000.0
country/CMR,1991,39000.0
country/CMR,1995,120000.0
country/CMR,2001,270000.0
country/CMR,2011,320000.0
country/CMR,2019,320000.0
country/CAN,1990,6800.0
country/CAN,1991,7100.0
country/CAN,1993,7400.0
country/CAN,1994,7500.0
country/CAN,2009,11000.0
country/CAN,2010,11000.0
country/CAN,2012,12000.0
country/CAN,2018,15000.0
country/CAF,1990,41000.0
country/CAF,1995,85000.0
country/CAF,1998,100000.0
country/CAF,1999,100000.0
country/CAF,2002,100000.0
country/CAF,2004,98000.0
country/CAF,2011,83000.0
country/CAF,2012,79000.0
country/CAF,2015,72000.0
country/CAF,2022,79000.0
country/TCD,1991,21000.0
country/TCD,1993,29000.0
country/TCD,1998,48000.0
country/TCD,2004,56000.0
country/TCD,2021,70000.0
country/CHL,1991,500.0
country/CHL,1994,1000.0
country/CHL,1997,1800.0
country/CHL,2002,3100.0
country/CHL,2003,3300.0
country/CHL,2004,3500.0
country/CHL,2007,4200.0
country/CHL,2008,4500.0
country/CHL,2011,5800.0
country/CHL,2013,6800.0
country/CHL,2014,7400.0
country/COL,1991,8600.0
country/COL,1992,11000.0
country/COL,1999,22000.0
country/COL,2001,23000.0
country/COL,2007,26000.0
country/COL,2008,26000.0
country/COL,2012,27000.0
country/COL,2015,30000.0
country/COL,2016,30000.0
country/COL,2017,31000.0
country/COM,1991,100.0
country/COM,1994,100.0
country/COM,1995,100.0
country/COM,2005,100.0
country/COM,2007,100.0
country/COM,2018,100.0
country/COG,1991,34000.0
country/COG,1993,39000.0
country/COG,1999,45000.0
country/COG,2000,48000.0
country/COG,2007,52000.0
country/COG,2011,60000.0
country/COG,2012,61000.0
country/COG,2014,65000.0
country/COG,2017,74000.0
country/COG,2022,96000.0
country/CRI,1992,500.0
country/CRI,1994,1000.0
country/CRI,1996,1000.0
country/CRI,1999,1000.0
country/CRI,2008,1600.0
country/CRI,2010,1800.0
country/CRI,2022,2500.0
country/CUB,1995,500.0
country/CUB,1999,1000.0
country/CUB,2015,5900.0
country/CUB,2020,7500.0
country/CUB,2022,8100.0
country/CYP,1992,100.0
country/CYP,2000,100.0
country/CYP,2002,100.0
country/CYP,2010,500.0
country/CYP,2012,500.0
country/CYP,2016,500.0
country/CYP,2019,500.0
country/CZE,1991,100.0
country/CZE,1995,100.0
country/CZE,2002,500.0
country/CIV,1990,190000.0
country/CIV,1995,380000.0
country/CIV,1998,430000.0
country/CIV,2003,400000.0
country/CIV,2014,290000.0
country/CIV,2017,280000.0
country/COD,1990,190000.0
country/COD,1995,320000.0
country/COD,2003,340000.0
country/COD,2006,320000.0
country/COD,2009,310000.0
country/COD,2014,290000.0
country/COD,2017,300000.0
country/DNK,1991,500.0
country/DNK,1999,1000.0
country/DNK,2004,1200.0
country/DNK,2009,1400.0
country/DNK,2014,1600.0
country/DNK,2020,1800.0
country/DNK,2021,1800.0
country/DOM,1990,11000.0
country/DOM,1996,31000.0
country/DOM,2001,38000.0
country/DOM,2007,34000.0
country/DOM,2016,35000.0
country/ECU,1990,1300.0
country/ECU,1994,2700.0
country/ECU,1995,3100.0
country/ECU,2004,7300.0
country/ECU,2005,7700.0
country/ECU,2009,9500.0
country/ECU,2010,10000.0
country/ECU,2012,11000.0
country/ECU,2014,12000.0
country/ECU,2015,13000.0
country/ECU,2018,15000.0
country/ECU,2020,16000.0
country/ECU,2022,16000.0
country/EGY,1993,500.0
country/EGY,1998,500.0
country/EGY,1999,1000.0
country/EGY,2000,1000.0
country/EGY,2002,1000.0
country/EGY,2003,1000.0
country/EGY,2010,2100.0
country/EGY,2013,2900.0
country/EGY,2019,4800.0
country/EGY,2020,5200.0
country/SLV,1990,1000.0
country/SLV,1991,1000.0
country/SLV,1993,1400.0
country/SLV,1996,2400.0
country/SLV,1997,2800.0
country/SLV,2001,4000.0
country/SLV,2003,4500.0
country/SLV,2004,4700.0
country/SLV,2005,4900.0
country/SLV,2010,6200.0
country/SLV,2019,7600.0
country/SLV,2020,7600.0
country/GNQ,1991,1700.0
country/GNQ,1994,3400.0
country/GNQ,1999,7600.0
country/GNQ,2002,11000.0
country/GNQ,2006,15000.0
country/GNQ,2012,24000.0
country/GNQ,2014,28000.0
country/GNQ,2016,32000.0
country/GNQ,2018,36000.0
country/GNQ,2019,38000.0
country/GNQ,2022,43000.0
country/ERI,1993,8400.0
country/ERI,1994,9200.0
country/ERI,2003,11000.0
country/ERI,2006,10000.0
country/ERI,2008,9900.0
country/ERI,2011,9500.0
country/ERI,2012,9300.0
country/ERI,2013,9100.0
country/EST,1990,100.0
country/EST,1991,100.0
country/EST,1994,100.0
country/EST,1995,100.0
country/EST,2004,1400.0
country/EST,2006,1800.0
country/EST,2009,2200.0
country/EST,2010,2300.0
country/EST,2014,2600.0
country/EST,2015,2700.0
country/EST,2022,2900.0
country/SWZ,1992,11000.0
country/SWZ,1995,38000.0
country/SWZ,2004,95000.0
country/SWZ,2010,120000.0
country/SWZ,2015,140000.0
country/SWZ,2017,140000.0
country/ETH,1990,210000.0
country/ETH,1994,430000.0
country/ETH,2004,440000.0
country/ETH,2007,400000.0
country/ETH,2013,390000.0
country/ETH,2015,390000.0
country/ETH,2020,380000.0
country/FJI,1992,100.0
country/FJI,1994,100.0
country/FJI,1998,100.0
country/FJI,2002,100.0
country/FJI,2016,500.0
country/FRA,1997,20000.0
country/FRA,2008,42000.0
country/FRA,2012,50000.0
country/FRA,2016,57000.0
country/FRA,2018,61000.0
country/FRA,2019,63000.0
country/GAB,2002,28000.0
country/GAB,2003,28000.0
country/GAB,2006,30000.0
country/GAB,2009,32000.0
country/GAB,2012,33000.0
country/GAB,2014,34000.0
country/GAB,2016,34000.0
country/GAB,2021,34000.0
country/GMB,1990,500.0
country/GMB,1996,3500.0
country/GMB,1998,5300.0
country/GMB,1999,6300.0
country/GMB,2000,7200.0
country/GMB,2006,11000.0
country/GMB,2008,12000.0
country/GMB,2011,13000.0
country/GMB,2013,14000.0
country/GMB,2016,15000.0
country/GMB,2019,16000.0
country/GEO,1991,100.0
country/GEO,2001,100.0
country/GEO,2008,1000.0
country/GEO,2017,2100.0
country/GEO,2018,2200.0
country/GEO,2019,2400.0
country/DEU,2012,12000.0
country/DEU,2013,13000.0
country/DEU,2016,15000.0
country/DEU,2019,17000.0
country/DEU,2020,18000.0
country/GHA,1991,80000.0
country/GHA,1996,150000.0
country/GHA,2002,190000.0
country/GHA,2010,190000.0
country/GHA,2013,200000.0
country/GHA,2014,200000.0
country/GHA,2020,230000.0
country/GRC,1990,500.0
country/GRC,1992,500.0
country/GRC,1995,1000.0
country/GRC,2001,1000.0
country/GRC,2009,1500.0
country/GRC,2017,2500.0
country/GRD,2009,100.0
country/GRD,2011,500.0
country/GRD,2014,500.0
country/GTM,1991,4000.0
country/GTM,1996,9700.0
country/GTM,1999,12000.0
country/GTM,2003,12000.0
country/GTM,2007,12000.0
country/GTM,2012,12000.0
country/GIN,1997,36000.0
country/GIN,2001,46000.0
country/GIN,2011,61000.0
country/GIN,2012,63000.0
country/GIN,2020,78000.0
country/GIN,2021,79000.0
country/GIN,2022,81000.0
country/GNB,1990,1000.0
country/GNB,1996,5900.0
country/GNB,1998,11000.0
country/GNB,1999,13000.0
country/GNB,2002,19000.0
country/GNB,2005,21000.0
country/GNB,2006,21000.0
country/GNB,2010,22000.0
country/GNB,2011,22000.0
country/GNB,2020,23000.0
country/GNB,2022,22000.0
country/GUY,1990,100.0
country/GUY,1993,500.0
country/GUY,1996,1000.0
country/GUY,2003,2200.0
country/GUY,2009,3300.0
country/GUY,2012,3600.0
country/GUY,2017,4100.0
country/GUY,2021,4700.0
country/HTI,1996,59000.0
country/HTI,2002,62000.0
country/HTI,2008,60000.0
country/HTI,2009,61000.0
country/HND,2000,16000.0
country/HND,2003,15000.0
country/HND,2006,14000.0
country/HND,2007,13000.0
country/HND,2013,11000.0
country/HND,2014,10000.0
country/HND,2016,9700.0
country/ISL,1990,100.0
country/ISL,1994,100.0
country/ISL,1999,100.0
country/ISL,2003,100.0
country/ISL,2005,100.0
country/ISL,2011,100.0
country/ISL,2012,100.0
country/ISL,2013,100.0
country/ISL,2019,100.0
country/ISL,2021,100.0
country/IDN,1990,100.0
country/IDN,1992,500.0
country/IDN,2001,17000.0
country/IDN,2002,25000.0
country/IDN,2005,62000.0
country/IDN,2014,180000.0
country/IDN,2019,200000.0
country/IDN,2021,200000.0
country/IRN,1991,1000.0
country/IRN,1992,1000.0
country/IRN,1993,1000.0
country/IRN,1994,1100.0
country/IRN,1998,3400.0
country/IRN,2002,6500.0
country/IRN,2003,7300.0
country/IRN,2007,10000.0
country/IRN,2008,10000.0
country/IRN,2010,11000.0
country/IRQ,1993,500.0
country/IRQ,1995,500.0
country/IRQ,2001,1000.0
country/IRQ,2003,1000.0
country/IRQ,2004,1000.0
country/IRQ,2008,500.0
country/IRL,1998,1000.0
country/IRL,1999,1000.0
country/IRL,2001,1000.0
country/IRL,2002,1000.0
country/IRL,2004,1100.0
country/IRL,2007,1400.0
country/IRL,2012,1800.0
country/AFG,1992,500.0
country/AFG,2022,3700.0
country/ALB,1994,100.0
country/ALB,1997,100.0
country/ALB,1999,100.0
country/ALB,2002,100.0
country/ALB,2007,500.0
country/IRL,2014,1900.0
country/IRL,2016,2000.0
country/IRL,2017,2100.0
country/ITA,1992,15000.0
country/ITA,1996,16000.0
country/ITA,1997,17000.0
country/ITA,2021,39000.0
country/JAM,1991,7600.0
country/JAM,1993,9100.0
country/JAM,1997,11000.0
country/JAM,1999,11000.0
country/JAM,2000,11000.0
country/JAM,2001,11000.0
country/JAM,2010,12000.0
country/JAM,2018,14000.0
country/JAM,2019,14000.0
country/JAM,2021,15000.0
country/JOR,1993,100.0
country/JOR,1994,100.0
country/JOR,2008,100.0
country/JOR,2010,100.0
country/JOR,2014,100.0
country/JOR,2020,500.0
country/JOR,2021,500.0
country/KEN,1990,370000.0
country/KEN,1994,800000.0
country/KEN,1997,940000.0
country/KEN,2008,840000.0
country/KEN,2014,870000.0
country/KEN,2017,880000.0
country/KEN,2022,900000.0
country/KWT,1990,100.0
country/KWT,1992,100.0
country/KWT,1994,100.0
country/KWT,1995,100.0
country/KWT,2007,100.0
country/KWT,2009,100.0
country/KWT,2010,100.0
country/KWT,2016,500.0
country/KWT,2019,500.0
country/KWT,2022,500.0
country/KGZ,2002,500.0
country/KGZ,2006,1000.0
country/KGZ,2007,1000.0
country/KGZ,2008,1100.0
country/KGZ,2013,2400.0
country/LAO,1993,100.0
country/LAO,1994,100.0
country/LAO,1996,500.0
country/LAO,2003,1700.0
country/LAO,2004,2000.0
country/LAO,2006,2600.0
country/LAO,2013,4800.0
country/LAO,2014,5100.0
country/LAO,2022,6800.0
country/LVA,1992,500.0
country/LVA,2002,1300.0
country/LVA,2005,1400.0
country/LVA,2010,1600.0
country/LVA,2011,1600.0
country/LVA,2012,1700.0
country/LVA,2019,2300.0
country/LVA,2021,2500.0
country/LVA,2022,2500.0
country/ALB,2010,500.0
country/ALB,2012,500.0
country/ALB,2018,500.0
country/DZA,1994,1000.0
country/DZA,1996,1000.0
country/DZA,2000,1300.0
country/DZA,2001,1400.0
country/DZA,2004,2100.0
country/DZA,2006,2700.0
country/DZA,2007,3000.0
country/DZA,2012,5500.0
country/DZA,2016,8500.0
country/DZA,2018,10000.0
country/DZA,2019,11000.0
country/AGO,1996,45000.0
country/AGO,2003,97000.0
country/AGO,2007,130000.0
country/AGO,2016,190000.0
country/AGO,2019,200000.0
country/AGO,2022,200000.0
country/ARM,1995,100.0
country/ARM,1997,100.0
country/ARM,1998,100.0
country/ARM,1999,100.0
country/ARM,2002,100.0
country/ARM,2007,500.0
country/ARM,2011,500.0
country/ARM,2012,1000.0
country/ARM,2015,1000.0
country/ARM,2016,1000.0
country/ARM,2020,1400.0
country/ARM,2021,1500.0
country/AUS,1992,1000.0
country/AUS,1996,1000.0
country/AUS,1997,1000.0
country/AUS,2001,1400.0
country/AUS,2007,2100.0
country/AUS,2010,2400.0
country/AUS,2011,2600.0
country/AUS,2012,2700.0
country/AUS,2013,2800.0
country/AZE,1993,100.0
country/AZE,1998,1000.0
country/AZE,2004,1800.0
country/AZE,2005,2000.0
country/AZE,2008,2400.0
country/AZE,2009,2500.0
country/AZE,2010,2500.0
country/AZE,2013,2700.0
country/AZE,2015,2800.0
country/AZE,2017,3000.0
country/AZE,2019,3200.0
country/AZE,2021,3500.0
country/BHS,1990,1000.0
country/BHS,1992,1200.0
country/BHS,1994,1400.0
country/BHS,1998,1700.0
country/BHS,1999,1700.0
country/BHS,2001,1800.0
country/BHS,2002,1700.0
country/BHS,2004,1800.0
country/BHS,2012,2000.0
country/BHS,2014,2000.0
country/BHS,2015,2000.0
country/LBN,1995,500.0
country/LBN,1998,500.0
country/LBN,1999,500.0
country/BHS,2016,2000.0
country/BGD,1991,100.0
country/BGD,1992,100.0
country/BGD,2005,1100.0
country/BGD,2008,1800.0
country/BGD,2013,3200.0
country/BGD,2015,3800.0
country/BGD,2017,4300.0
country/BGD,2018,4600.0
country/BRB,1992,500.0
country/BRB,1996,500.0
country/BRB,1998,1000.0
country/BRB,1999,1000.0
country/BRB,2004,1000.0
country/BRB,2009,1000.0
country/BRB,2016,1000.0
country/BRB,2017,1000.0
country/BLR,1996,500.0
country/BLR,2002,1500.0
country/BLR,2010,5600.0
country/BLR,2012,6900.0
country/BLR,2014,8200.0
country/BLR,2015,8900.0
country/BEL,1990,1000.0
country/BEL,1994,1500.0
country/BEL,1995,1600.0
country/BEL,1998,2100.0
country/BEL,1999,2300.0
country/BEL,2006,3900.0
country/BEL,2008,4400.0
country/BEL,2009,4600.0
country/BEL,2014,5800.0
country/BEL,2016,6100.0
country/BEL,2022,6700.0
country/BLZ,1991,100.0
country/BLZ,1996,500.0
country/BLZ,2005,1000.0
country/BLZ,2006,1000.0
country/BLZ,2010,1200.0
country/BLZ,2011,1300.0
country/BLZ,2014,1500.0
country/BLZ,2018,1600.0
country/BLZ,2022,1700.0
country/BEN,1990,9700.0
country/BEN,2002,39000.0
country/BEN,2003,39000.0
country/BEN,2004,40000.0
country/BEN,2005,40000.0
country/BEN,2006,40000.0
country/BEN,2009,42000.0
country/BEN,2012,45000.0
country/BEN,2013,46000.0
country/BEN,2016,47000.0
country/BEN,2021,47000.0
country/BTN,1992,100.0
country/BTN,1996,100.0
country/BTN,1997,100.0
country/BTN,1999,100.0
country/BTN,2000,500.0
country/BTN,2005,500.0
country/BTN,2012,500.0
country/BTN,2020,500.0
country/BTN,2022,500.0
country/BOL,1991,1000.0
country/BOL,1992,1400.0
country/BOL,1993,2200.0
country/BOL,1994,2800.0
country/BOL,2000,4800.0
country/BOL,2005,5700.0
country/BOL,2006,5800.0
country/BOL,2008,6100.0
country/BOL,2016,7500.0
country/BOL,2019,8300.0
country/BOL,2020,8600.0
country/BOL,2021,8800.0
country/BOL,2022,9100.0
country/BWA,1993,74000.0
country/BWA,1997,140000.0
country/BWA,1998,150000.0
country/BWA,1999,150000.0
country/BWA,2004,170000.0
country/BWA,2008,180000.0
country/BWA,2011,190000.0
country/BWA,2018,210000.0
country/BWA,2019,210000.0
country/BRA,2000,140000.0
country/BRA,2003,170000.0
country/BRA,2005,200000.0
country/BRA,2008,230000.0
country/BRA,2014,290000.0
country/BRA,2017,310000.0
country/BRA,2019,320000.0
