dcid,year,unemploymentPercentOfLaborForce
country/USA,1980,7.175
country/USA,1981,7.617
country/USA,1982,9.708
country/USA,1983,9.6
country/USA,1984,7.508
country/USA,1985,7.192
country/USA,1986,7.0
country/USA,1987,6.175
country/USA,1988,5.492
country/USA,1989,5.258
country/USA,1990,5.617
country/USA,1991,6.85
country/USA,1992,7.492
country/USA,1993,6.908
country/USA,1994,6.1
country/USA,1995,5.592
country/USA,1996,5.408
country/USA,1997,4.942
country/USA,1998,4.5
country/USA,1999,4.217
country/USA,2000,3.967
country/USA,2001,4.742
country/USA,2002,5.783
country/USA,2003,5.992
country/USA,2004,5.542
country/USA,2005,5.083
country/USA,2006,4.608
country/USA,2007,4.617
country/USA,2008,5.8
country/USA,2009,9.283
country/USA,2010,9.608
country/USA,2011,8.933
country/USA,2012,8.075
country/USA,2013,7.358
country/USA,2014,6.158
country/USA,2015,5.275
country/USA,2016,4.875
country/USA,2017,4.358
country/USA,2018,3.892
country/USA,2019,3.683
country/USA,2020,8.092
country/USA,2021,5.367
country/USA,2022,3.642
country/USA,2023,3.569
country/USA,2024,3.849
country/USA,2025,3.894
country/USA,2026,3.636
country/USA,2027,3.564
country/USA,2028,3.546
country/GBR,1980,7.133
country/GBR,1981,9.65
country/GBR,1982,10.725
country/GBR,1983,11.475
country/GBR,1984,11.75
country/GBR,1985,11.375
country/GBR,1986,11.325
country/GBR,1987,10.425
country/GBR,1988,8.575
country/GBR,1989,7.225
country/GBR,1990,7.1
country/GBR,1991,8.85
country/GBR,1992,9.95
country/GBR,1993,10.375
country/GBR,1994,9.5
country/GBR,1995,8.625
country/GBR,1996,8.1
country/GBR,1997,6.95
country/GBR,1998,6.25
country/GBR,1999,5.975
country/GBR,2000,5.45
country/GBR,2001,5.1
country/GBR,2002,5.2
country/GBR,2003,5.0
country/GBR,2004,4.75
country/GBR,2005,4.825
country/GBR,2006,5.425
country/GBR,2007,5.35
country/GBR,2008,5.725
country/GBR,2009,7.625
country/GBR,2010,7.9
country/GBR,2011,8.1
country/GBR,2012,7.975
country/GBR,2013,7.575
country/GBR,2014,6.2
country/GBR,2015,5.375
country/GBR,2016,4.875
country/GBR,2017,4.425
country/GBR,2018,4.075
country/GBR,2019,3.825
country/GBR,2020,4.55
country/GBR,2021,4.475
country/GBR,2022,3.7
country/GBR,2023,4.2
country/GBR,2024,4.638
country/GBR,2025,4.325
