dcid,year,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDAsianInfrastructureInvestmentBank,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDEUInstitutions,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDEuropeanBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDFinland,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDInternationalBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDNorway,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDUnitedKingdom,climateFinanceReceivedDisbursementsAdaptationOtherOfficialFlowsByProviderCurrentUSDUnitedStates
Earth,2013,15491406.291305915,,,,,,,,,6250000.0,95490766.52,,,,,
Earth,2014,7738848.675259486,17212924.53762949,,,,,,,,2082500.0,28970522.640766148,,,,,
Earth,2015,8247259.373533274,36050353.45609639,,,,,,,,,266687077.84316695,,,,,
Earth,2016,7169719.856926733,82459261.07459874,,,,,13403128.126096891,,,300000.0,534490999.0436264,,,,,
Earth,2017,5092607.348698394,60397156.634080105,,,,,14608640.603312753,,,16774137.628,41492049.24,,,,,
Earth,2018,161637478.83770046,114558839.32287198,27118937.6568,,,,5561867.120881804,,,14620546.922699999,1035258468.0679357,,3980.0,,,
Earth,2019,76023033.67910533,282671110.20364106,8436.96,7997313.2,,882523.3133298772,31259161.254865322,11410723.200000001,,90324947.34449999,1215250492.1325188,,,33583.200000000004,306278.80000000005,
Earth,2020,548905401.423155,346416810.97504425,3232167.22,,,,127404847.21914215,8279202.4,9517066.0,116753277.7189,1847876410.7733953,65388024.42825183,,,5839085.6,
Earth,2021,100822603.80408473,458757711.1324234,5022985.4,,591296.0,,131724718.28118095,9631977.2,10217220.0,76261808.8057,2199944526.171389,150328192.59371853,,,1559215.0,2000000.0
country/AGO,2018,883437.6437167187,,,,,,,,,,35516.7358,,,,,
country/AGO,2019,368469.9687160203,,,,,,,,,,1096479.9937,,,,,
country/AGO,2020,1673896.0902527578,,,,,,,,,,840772.6951,,,,,
country/AGO,2021,3120412.5350636654,,,,,,,,,,52924187.4,,,,,
country/ALB,2018,,,,,,,,,,,95653.3,,,,,
country/ALB,2019,,,,,,,,,,,5618636.1792,,,,,
country/ALB,2020,,,,,,,11398019.295371192,,,,14775805.94,,,,,
country/ALB,2021,,,,,,,,,,,11127132.0456,,,,,
country/ARG,2015,,,,,,,,,,,1041676.38,,,,,
country/ARG,2016,,,,,,,,,,,41661844.22,,,,,
country/ARG,2017,,,,,,,,,,15105000.0,98437.5,,,,,
country/ARG,2018,,,,,,,,,,8150000.0,14436026.370000001,,,,,
country/ARG,2019,,,,,,,,,,18483944.082200002,46501074.7218,,,,,
country/ARG,2020,,,,,,,,,,41623177.0333,36746055.4734,,,,,
country/ARG,2021,,,,,,,,,,48027743.5102,78030416.6797,,,,,
country/ARM,2015,,,,,,,,,,,57500.0,,,,,
country/ARM,2016,,,,,,,,,,,3928359.0,,,,,
country/ARM,2018,,18800000.0,,,,,,,,,2916894.0,,,,,
country/ARM,2019,,,,,,,,,,,2317902.64,,,,,
country/ARM,2020,,,,,,,,,,,2468063.0,,,,,
country/ARM,2021,,,,,,,,,,,4906820.3964,,,,,
country/ATG,2019,,,,,,,,,,,25.0,,,,,
country/ATG,2020,,,,,,,,,,,8814.64,,,,,
country/ATG,2021,,,,,,,,,,,201.74,,,,,
country/AZE,2015,,2575242.0,,,,,,,,,,,,,,
country/AZE,2016,,4081560.0,,,,,,,,,,,,,,
country/AZE,2017,,3907210.0799999996,,,,,,,,,,,,,,
country/AZE,2018,,4037658.659999999,,,,,136055.71996123646,,,,,,,,,
country/AZE,2019,,4990958.717999999,,,,,,,,,,,,,,
country/AZE,2020,,6031759.378,,,,,,,,,61080.0,,,,,
country/AZE,2021,,2994596.0719999997,,,,,,,,,1185650.51,,,,,
country/BEN,2020,8061.90001202521,,,,,,,,,,,1494159.23,,,,
country/BEN,2021,124610.34937061433,,,,,,,,,,,3057572.01,,,,
country/BFA,2020,,,,,,,,,,,,407295.51,,,,
country/BFA,2021,131805.0011377865,,,,,,,,,,,1081379.3699999999,,,,
country/BGD,2016,,10020842.2304,,,,,,,,,,,,,,
country/BGD,2017,,7744538.0604,,,,,,,,,,,,,,
country/BGD,2018,,5598871.968,,,,,,,,,,,,,,
country/BGD,2019,,17753010.629731536,,,,,,,,,,,,,,
country/BGD,2020,,16761602.389967859,117750.0,,,,,,,,,867865.6000481461,,,,
country/BGD,2021,,29669191.40006722,858377.4,,,,,,,,,2669070.2800388895,,,,
country/BIH,2018,,,,,,,,,,,3835631.8,,,,,
country/BIH,2019,,,,,,,,,,,8672440.9,,,,,
country/BIH,2020,,,,,,,9729000.114988113,,,,13967464.1,,,,,
