dcid,year,inflationPercentAverageConsumerPrices
Earth,1980,17.356
Earth,1981,15.105
Earth,1982,14.311
Earth,1983,13.532
Earth,1984,14.109
Earth,1985,13.809
Earth,1986,11.903
Earth,1987,14.716
Earth,1988,19.672
Earth,1989,22.886
Earth,1990,26.271
Earth,1991,17.111
Earth,1992,38.612
Earth,1993,39.196
Earth,1994,31.162
Earth,1995,16.146
Earth,1996,9.389
Earth,1997,6.559
Earth,1998,6.355
Earth,1999,6.224
Earth,2000,4.861
Earth,2001,4.58
Earth,2002,3.683
Earth,2003,3.893
Earth,2004,3.804
Earth,2005,4.032
Earth,2006,4.056
Earth,2007,4.293
Earth,2008,6.362
Earth,2009,2.72
Earth,2010,3.694
Earth,2011,5.071
Earth,2012,4.081
Earth,2013,3.617
Earth,2014,3.228
Earth,2015,2.748
Earth,2016,2.744
Earth,2017,3.243
Earth,2018,3.617
Earth,2019,3.507
Earth,2020,3.247
Earth,2021,4.697
Earth,2022,8.712
Earth,2023,6.876
Earth,2024,5.794
Earth,2025,4.619
Earth,2026,4.226
Earth,2027,3.94
Earth,2028,3.829
country/USA,1980,13.502
country/USA,1981,10.378
country/USA,1982,6.158
country/USA,1983,3.16
country/USA,1984,4.368
country/USA,1985,3.528
country/USA,1986,1.944
country/USA,1987,3.578
country/USA,1988,4.1
country/USA,1989,4.791
country/USA,1990,5.419
country/USA,1991,4.216
country/USA,1992,3.042
country/USA,1993,2.97
country/USA,1994,2.596
country/USA,1995,2.805
country/USA,1996,2.937
country/USA,1997,2.338
country/USA,1998,1.547
country/USA,1999,2.193
country/USA,2000,3.367
country/USA,2001,2.817
country/USA,2002,1.596
country/USA,2003,2.298
country/USA,2004,2.668
country/USA,2005,3.366
country/USA,2006,3.222
country/USA,2007,2.871
country/USA,2008,3.815
country/USA,2009,0.32
country/USA,2010,1.637
country/USA,2011,3.14
country/USA,2012,2.073
country/USA,2013,1.466
country/USA,2014,1.615
country/USA,2015,0.121
country/USA,2016,1.267
country/USA,2017,2.131
country/USA,2018,2.439
country/USA,2019,1.813
country/USA,2020,1.251
country/USA,2021,4.683
country/USA,2022,7.986
country/USA,2023,4.084
country/USA,2024,2.759
country/USA,2025,2.433
country/USA,2026,2.155
country/USA,2027,2.056
country/USA,2028,2.132
country/GBR,1980,16.849
country/GBR,1981,12.189
country/GBR,1982,8.511
country/GBR,1983,5.198
country/GBR,1984,4.448
country/GBR,1985,5.16
country/GBR,1986,3.626
country/GBR,1987,4.066
country/GBR,1988,4.612
country/GBR,1989,5.216
country/GBR,1990,6.999
country/GBR,1991,7.519
country/GBR,1992,4.232
country/GBR,1993,2.533
country/GBR,1994,1.994
country/GBR,1995,2.63
country/GBR,1996,2.425
country/GBR,1997,1.825
country/GBR,1998,1.557
country/GBR,1999,1.329
country/GBR,2000,0.796
country/GBR,2001,1.234
country/GBR,2002,1.259
country/GBR,2003,1.362
country/GBR,2004,1.344
country/GBR,2005,2.057
country/GBR,2006,2.329
country/GBR,2007,2.323
country/GBR,2008,3.602
country/GBR,2009,2.165
country/GBR,2010,3.298
country/GBR,2011,4.464
country/GBR,2012,2.828
country/GBR,2013,2.565
country/GBR,2014,1.461
country/GBR,2015,0.04
country/GBR,2016,0.66
country/GBR,2017,2.683
country/GBR,2018,2.478
country/GBR,2019,1.791
country/GBR,2020,0.851
country/GBR,2021,2.588
country/GBR,2022,9.067
country/GBR,2023,7.656
country/GBR,2024,3.651
country/GBR,2025,2.062
country/GBR,2026,2.0
country/GBR,2027,2.0
country/GBR,2028,2.0
country/AUT,1980,6.325
country/AUT,1981,6.807
country/AUT,1982,5.44
country/AUT,1983,3.335
country/AUT,1984,5.665
country/AUT,1985,3.19
country/AUT,1986,1.737
country/AUT,1987,1.408
country/AUT,1988,1.868
