dcid,year,climateFinanceReceivedCommitmentsAdaptationOtherOfficialFlowsCurrentUSD
Earth,2013,947002767.6045
Earth,2014,945473992.2523632
Earth,2015,1970548828.562648
Earth,2016,2516098245.9094534
Earth,2017,5529339851.915954
Earth,2018,5756046042.791656
Earth,2019,8391595385.361965
Earth,2020,7730083570.268893
Earth,2021,9455474781.055603
country/ALB,2016,14353643.7023112
country/ALB,2018,38816000.0
country/ALB,2019,14893892.309414499
country/ALB,2020,14854876.558404598
country/ALB,2021,7781011.0
country/AGO,2017,23040000.0
country/AGO,2018,70913532.7032
country/AGO,2019,38488728.0
country/AGO,2021,113949192.0
country/ATG,2018,10000.0
country/ARG,2015,62670752.0
country/ARG,2016,321840000.0
country/ARG,2017,990687980.8
country/ARG,2018,119657580.0
country/ARG,2019,259847800.0
country/ARG,2021,458587120.0
country/ARM,2014,23000000.0
country/ARM,2016,1761480.0
country/ARM,2018,18800000.0
country/ARM,2019,780000.0
country/ARM,2021,367950.2
country/AZE,2014,30000000.0
country/AZE,2017,11900000.0
country/AZE,2018,13603635.076124199
country/AZE,2020,10180000.0
country/AZE,2021,33031665.41627247
country/BGD,2015,10984000.0
country/BGD,2016,160370000.0
country/BGD,2017,33900000.0
country/BGD,2018,25100000.0
country/BGD,2019,140075616.05844
country/BGD,2020,523584465.78298
country/BGD,2021,246545120.0
country/BLR,2019,161239939.180566
country/BLZ,2014,55920000.0
country/BLZ,2015,15000000.0
country/BLZ,2017,10000000.0
country/BLZ,2018,7520000.0
country/BLZ,2019,1989800.0
country/BLZ,2020,29820000.0
country/BEN,2019,101228168.34539585
country/BEN,2020,54160000.0
country/BEN,2021,105560560.0
country/BTN,2015,1162000.0
country/BOL,2015,80400000.0
country/BOL,2016,35024200.0
country/BOL,2017,236000000.0
country/BOL,2018,87558800.0
country/BOL,2019,68710000.0
country/BOL,2020,53678000.0
country/BOL,2021,103798880.0
country/BIH,2014,7960727.07973995
country/BIH,2015,17650000.0
country/BIH,2016,103843441.6675882
country/BIH,2018,34284625.69871359
country/BIH,2019,236874510.2429191
country/BIH,2020,26895160.683760684
country/BIH,2021,32105629.13907285
country/BWA,2017,145500000.0
country/BWA,2021,41670833.336667
country/BRA,2013,34000000.0
country/BRA,2014,112400670.0
country/BRA,2016,25516224.68
country/BRA,2017,186121710.3
country/BRA,2018,113228711.0
country/BRA,2019,299436736.21264
country/BRA,2020,397310000.0
country/BRA,2021,79254220.0
country/BFA,2013,20910000.0
country/BFA,2019,30119272.26
country/CPV,2019,5000000.0
country/CPV,2020,5292123.1559999995
country/CPV,2021,437500.0
country/KHM,2018,3800000.0
country/KHM,2019,4477779.2
country/CMR,2016,16780800.0
country/CMR,2017,26099004.0
country/CMR,2018,17128347.72814
country/CMR,2019,2007951.485
country/CMR,2020,65387121.676
country/CMR,2021,18607871.48
country/TCD,2013,21000000.0
country/TCD,2019,2269770.0
country/CHL,2015,16337170.0
country/CHL,2017,16531363.010499999
country/CHN,2013,635803667.6045
country/CHN,2014,155729000.0
country/CHN,2015,99782000.0
country/CHN,2016,252402000.0
country/CHN,2017,109971000.0
country/CHN,2018,687232120.0
country/CHN,2019,484645004.559371
country/CHN,2020,363058064.8879301
country/CHN,2021,595403962.4258
country/COL,2015,117250000.0
country/COL,2016,103602000.0
country/COL,2017,132539850.0
country/COL,2018,17000000.0
country/COL,2019,50100000.0
country/COL,2020,96370000.0
country/COL,2021,396678466.66489995
country/CRI,2018,2304576.0
country/CRI,2019,500000.0
country/CRI,2020,427868983.7872
country/CRI,2021,24169999.99925
country/CUB,2016,9520000.0
country/CUB,2019,3270704.0
country/CIV,2017,6914768.36409021
country/CIV,2018,25280000.000000004
country/CIV,2019,56204753.3499
country/CIV,2020,199722675.8465
country/CIV,2021,150598426.17000002
country/COD,2019,7059007.5
country/DMA,2021,42530000.0
country/DOM,2016,144000.0
country/DOM,2017,150000000.0
country/DOM,2018,48942000.0
country/DOM,2019,16660000.0
country/DOM,2021,23669464.0
country/ECU,2015,41296000.0
country/ECU,2016,136403000.0
country/ECU,2017,34514489.72
country/ECU,2018,8000000.0
country/ECU,2019,108045220.0
country/ECU,2020,51329060.0
country/ECU,2021,110797238.4
country/EGY,2016,831701.8440782928
country/EGY,2017,26562957.9528802
country/EGY,2018,176168717.2557596
country/EGY,2019,175818790.13540077
country/EGY,2020,213221929.6404147
country/EGY,2021,174940809.68987706
country/SLV,2015,25767000.0
country/SLV,2016,11116513.600000001
country/SLV,2019,89300000.0
country/SLV,2020,43375000.0
country/SLV,2021,977570.0
country/GNQ,2019,62069849.93
country/SWZ,2015,13940000.0
country/SWZ,2018,7160000.0
country/SWZ,2019,54304433.885
country/SWZ,2020,1096000.0
country/SWZ,2021,120000.0
country/ETH,2019,2703554.0
country/ETH,2020,53587127.5
country/FJI,2014,10000000.0
country/FJI,2015,50000000.0
country/FJI,2019,1267200.0
country/FJI,2021,6250578.8182193
country/GAB,2013,61000000.0
country/GAB,2016,17940000.0
country/GAB,2018,5040000.0
country/GAB,2019,61391398.537
country/GAB,2020,60098338.441
country/GAB,2021,149760.0
country/GMB,2013,11220000.0
country/GMB,2019,1482465.0
country/GEO,2015,2400000.0
country/GEO,2016,15371100.000000002
country/GEO,2017,21542241.158972684
country/GEO,2018,22551246.398000002
country/GEO,2019,237977965.2652945
country/GEO,2020,26384131.78258
country/GEO,2021,18573576.872649997
country/GHA,2018,20000000.0
country/GHA,2019,5550000.0
country/GRD,2017,495900.0
country/GTM,2017,16684000.0
country/GTM,2019,273700000.0
country/GTM,2020,23000000.0
country/GTM,2021,55732650.0
country/GIN,2019,2079046.7157869998
country/GIN,2021,4186644.0
country/GNB,2019,2996860.0
country/GUY,2020,142052400.0
country/HTI,2019,7800000.0
country/HTI,2020,3360000.0
country/HND,2019,5402257.7
country/HND,2021,150000000.0
country/IND,2014,31751000.0
country/IND,2015,57870500.0
country/IND,2016,325260002.823
country/IND,2017,714702770.0
country/IND,2018,2062888952.0
country/IND,2019,836541408.4
country/IND,2020,915034816.1
country/IND,2021,1114867544.139322
country/IDN,2014,3809351.9141999995
country/IDN,2015,137900000.0
country/IDN,2016,20000800.0
country/IDN,2017,218020000.0
country/IDN,2018,236617920.0
country/IDN,2019,596681528.2857143
country/IDN,2020,270420000.0
country/IDN,2021,456655006.0
country/IRQ,2017,64000000.0
country/IRQ,2018,191436000.0
country/IRQ,2019,13440000.0
country/IRQ,2021,847700.0
country/JAM,2016,30000000.0
country/JAM,2017,5026000.0
country/JAM,2019,11880000.0
country/JAM,2020,27650000.0
country/JAM,2021,9748500.0
country/JOR,2015,6596248.648363841
country/JOR,2016,116643863.58951673
country/JOR,2017,5636343.140570399
country/JOR,2019,5625392.936303601
country/JOR,2020,51601730.0
country/JOR,2021,128414420.80749434
country/KAZ,2015,35103647.269637346
country/KAZ,2016,103826957.95436506
country/KAZ,2017,163401190.993124
country/KAZ,2018,1180219.52083087
country/KAZ,2019,214594408.35429442
country/KAZ,2020,118977458.0155739
country/KAZ,2021,53922615.0695079
country/KEN,2016,18826100.0
country/KEN,2017,143009.79524985707
country/KEN,2019,281713319.19
