dcid,year,climateFinanceReceivedCommitmentsMitigationEquityInvestmentCurrentUSD
Earth,2013,72531208.5023734
Earth,2014,122799484.2388438
Earth,2015,32025661.00005107
Earth,2016,88935033.65126242
Earth,2017,187469804.33259365
Earth,2018,223074530.197367
Earth,2019,465164141.47936505
Earth,2020,376011617.65044194
Earth,2021,388019601.2
country/AZE,2014,2388218.0
country/BRA,2016,320913.0
country/BRA,2017,4401781.0
country/BRA,2020,22792022.8
country/CHN,2014,4643757.0
country/CHN,2016,3967552.0
country/COL,2016,646000.0
country/COL,2017,3100000.0
country/COL,2018,375000.0
country/COL,2019,19590283.0
country/DOM,2021,27672658.0
country/EGY,2017,9897368.38468628
country/EGY,2018,319782.1369960943
country/EGY,2019,874835.4922585944
country/GEO,2015,6100943.0
country/HTI,2021,17404219.0
country/IND,2016,938825.0
country/IND,2017,1189145.0
country/IND,2018,1546581.0
country/IND,2019,72503667.72
country/IND,2020,37032180.0
country/IND,2021,29548160.0
country/IDN,2015,519578.4
country/IDN,2016,192203.2
country/IDN,2018,2884456.4000000004
country/KEN,2014,29189333.0
country/KEN,2021,10387282.0
country/LAO,2017,5636343.0
country/LAO,2018,2009910.8
country/MLI,2017,146435.0
country/MEX,2014,4000000.0
country/MEX,2017,1200000.0
country/MNG,2017,7103368.0
country/NAM,2017,33254424.999999996
country/NPL,2014,4371263.0
country/NPL,2018,1500000.0
country/NGA,2013,2655337.2
country/NGA,2018,14634722.0
country/NGA,2019,13515594.4
country/NGA,2020,4364630.0
country/PAK,2019,16791671.0
country/PER,2019,17911116.0
country/PHL,2019,6015806.4
country/SRB,2013,4514073.2
country/SRB,2014,14594666.6
country/SRB,2016,1503682.4000000001
country/SRB,2017,25635215.0
country/SRB,2019,12023956.0
country/ZAF,2014,19901818.0
country/ZAF,2017,8454515.0
country/ZAF,2020,17181976.8
country/ZAF,2021,88477014.0
country/THA,2021,10054991.0
