dcid,year,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDAsianInfrastructureInvestmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDBelgium,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDBlackSeaTrade&DevelopmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDCanada,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDCentralAmericanBankforEconomicIntegration,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDCouncilofEuropeDevelopmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDDenmark,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDEUInstitutions,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDEuropeanBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDFinland,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDInternationalBankforReconstructionandDevelopment,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDItaly,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDNorway,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDSweden,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDSwitzerland,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDUnitedKingdom,climateFinanceReceivedDisbursementsOtherOfficialFlowsByProviderCurrentUSDUnitedStates
country/BEN,2020,8061.90001202521,,,,,,,,,,,,,,,,,,,2079904.99,,,,,,,
country/BEN,2021,124610.34937061433,,,,,,,,,,,,,,,,,,,4256212.49,,,,,,,
country/BFA,2020,,,,,,,,,,,,,,,,,,,,407295.51,,,,,,,
country/BFA,2021,1245333.0034651658,,,,,,,,,,,,,,,,,,,1081379.3699999999,,,,,,,
country/BGD,2014,,4666.6,,,,,,,,,,,,,,,,,,,,,,,,,
country/BGD,2015,,30074.0,,,,,,,,,,,,,,,,,,,,,,,,,
country/BGD,2016,,62553069.6531,,,,,,,,,,,,,,,,,,,,,,,,,
country/BGD,2017,,86793001.7933,24533864.38,,,,,,,,,,,,,,,,,,,,,,,,
country/BGD,2018,,47261419.191,9886490.4,,22436.0,,,,,,,,,,10115011.200000001,,,,,,,,,,,,
country/BGD,2019,,184085085.83763635,15592190.02,5569510.800000001,,,,,,,,,,,,,,,,,,,,,,,
country/BGD,2020,,134738322.25159886,2606127.48,,,,,,,,,,,,,,,,,4773260.800264803,,,,,,,
country/BGD,2021,,168595587.08079398,3979104.5999999996,,,,,,,,,,,,,,,,,9183867.210213892,,,,,,,
country/BIH,2016,,,,,,,,,,,,,36345.15775462028,,,,,,,,,,,,,,
country/BIH,2017,,,,,,,,,,,,,21757716.16711293,,,,,,,,,,,,,,
country/BIH,2018,,,,,,,,,,1475274.0,,,1475273.9010386285,,,,,,33966022.53150251,,,,,,,,
country/BIH,2019,,,,4477779.2,,,,,,671666.8,,746891.5558876679,,,,,,,18932891.80856721,,,,,,,,
country/BIH,2020,,,,,,,,,,4558404.4,,1249873.3922161162,21260217.284782745,,,,,,26282797.033578485,,,,,,,,
country/BIH,2021,,,,,,,,,,,,3026390.9392498704,40916944.35777556,,,,,,31042651.71,,,,,,,,
country/BLR,2013,,,,,,,,,,,,,,,,,,,225000.0,,,,,,,,
country/BLR,2014,,,,,,,,,,,,,,,,,,,345000.0,,,,,,,,
country/BLR,2015,,,,,,,,,,,,,,,,,,,8500000.0,,,,,,,,
country/BLR,2016,,,,,,,,,,,,,2557242.2478483724,,,,,,61642762.0,,,,,,,,
country/BLR,2017,,,,,,,,,,,,,6983844.094209077,,,,,,,,,,,,,,
country/BLR,2018,,,,,,,,,,,,,32919863.090183772,,,,,,23444716.6,,,,,,,,
country/BLR,2019,,,,,,,,,,,,,,,,,,,18416987.36,,,,,,,,
country/BLR,2020,,,,,,,,,,,,,1445043.6363836196,,,,,,19519361.42,,,,,,,,
country/BLR,2021,,,,,,,,,,,,,21556212.027595308,,,,,,8877030.15,,,,,,,,
country/BLZ,2015,,,,,,,,,,,,,,,,,,,855097.8,,,,,,,,
country/BLZ,2016,,,,,,,,,,,,,,,,,,300000.0,482000.0,,,,,,,,
country/BLZ,2017,,,,,,,,,,,,,,,,,,1416061.16,,,,,,,,,
country/BLZ,2018,,,,,,,,,,,,,,,,,,1868242.28,2982300.0,,,,,,,,
country/BLZ,2019,,,,,,,,,,,,,,,,,,1962075.0,1350588.8,,,,,,,,
country/BLZ,2020,,,,,,,,,,,,,,,,,,8756982.1624,9841553.0,,,,,,,,
country/BLZ,2021,,,,,,,,,,,,,,,,,,2486115.2391999997,11245911.2,,,,,,,,
country/BOL,2015,,,,,,,,,,,,,,,,,,,80400000.0,,,,,,,,
country/BOL,2017,,,,,,,,,,,,,,,,,,,25000.0,,,,,,,,
country/BOL,2018,,,,,,,,,,,,,,,,,,5180000.0,3147482.35,,,,,,,,
country/BOL,2019,,,,,,,,,,,,,,,,,,122280000.0,6827652.7,,,,,,,,
country/BOL,2020,,,,,,,,,,,,,,,,,,5058254.46,28965741.457200002,1260000.0,,,,,,,
country/BOL,2021,,,,,,,,,,,,,,,,,,7030000.0,22819665.134,2561250.0,,,,,,,
country/BRA,2013,,,,,,,,,,,,,,,,,,8880000.0,179000000.0,,,,,,,,
country/BRA,2014,,,,,,,,,,,,,,,,,,75000000.0,158246621.74,,,,,,,,
country/BRA,2015,,,,,,,,,,,,,,,,,,,27420623.5,,,,,,,,
country/BRA,2016,,,,,,,,,,,,,,,,,,,17115080.35,,,,,,,,
country/BRA,2017,,,,,,,,,,,,,,,,,,500001158.0,,,,,,,,,
country/BRA,2018,,,,,,,,,,,2371257.0,,,,,,,250527795.71429998,24043526.9,,,,,,,,
country/BRA,2019,,,,2998992.4000000004,220654.0,,,,,,2558308.0,,,,,,,6836308.62,171260099.03,,,,1369304.8,,,,
country/BRA,2020,,,,,,,,,,,529841.0,,,,,,,45614235.138000004,19905721.38,,,,,,,,
country/BRA,2021,,,,,787399.0,,,,,,21078819.0,,,,,,,7895505.924,231913573.45880395,,,,,,,,
country/BTN,2015,,34419.0,,,,,,,,,,,,,,,,,,,,,,,,,
country/BTN,2016,,8413020.078,,,,,,,,,,,,,,,,,,,,,,,,,
country/BWA,2018,,,,,,,,,,,,,,,,,,,4448362.0,,,,,,,,
country/BWA,2020,7360340.56857861,,,,,,,,,,,,,,,,,,9398532.0,,,,,,,,
country/BWA,2021,7095614.388989398,,,,,,,,,,,,,,,,,,142557140.99016833,,,,,,,,
country/CHL,2013,,,,,,,,,,,,,,,,,,16618230.0,,,,,,,,,
country/CHL,2014,,,,,,,,,,,,,,,,,,50093046.0,,,,,,,,,
country/CHL,2017,,,,,,,,,,,,,,,,,,25000000.0,,,,,,,,,
country/CHN,2013,,,,,,,,,,,,,,,,,,,13774625.0,,,,,,,,
country/CHN,2014,,18258126.190403566,,,,,,,,,,,,,,,,,102071195.32,,,,,,,,
country/CHN,2015,,34498006.618240006,,,,,,,,,,,,,,,,,175482173.82,,,,,,,,
country/CHN,2016,,219501066.0293493,,,,,,,,,,,,,,,,,303950803.15,,,,,,,,
country/CHN,2017,,149728907.25847796,,,,,,,,,,,,,,,,,61200.00000000001,,,,,,,,
country/CHN,2018,,469560946.7569073,,,,,,,,,793084.0,,,,,,,,701330176.0332,,,,,,,,
country/CHN,2019,,193002722.42059427,,,,,,,,,,,,,,,,,755785267.5333,,,,,,,,
country/CHN,2020,,235160673.8981469,,,,,,,,,,,,,,,,,433505377.1339,,,,,,,,
country/CHN,2021,,181095711.8019463,,,,,,,,,,,,,,,,,504123749.96680003,,,,,,,,
country/CIV,2018,776828.6438466576,,,,23208.0,,,,,,,,,,,,,,5790638.9905,,,,,,,,
country/CIV,2019,56403102.37845391,,,,,,,,,,,,,,,,,,4347080.8381,,,,,,,3169765.0,
country/CIV,2020,35953970.61155284,,,,8918555.0,,,,,,,,,,,,,,9078698.3287,80498833.3632,,,,,,,
country/CIV,2021,49813164.607748546,,,,5234639.0,,,,,,4243943.600000001,,,,,,,,12212950.75,7840467.941,,,,,,14478493.200000001,
country/CMR,2017,,,,,,,,,,,,,,,,,,,22678764.0,,,,,,,,
country/CMR,2018,17616889.00330048,,,,,,,,,,,,,,,,,,3184407.6900000004,,,,,,,,
country/CMR,2019,265236.29199144605,,,,104788.0,,,,,,,,,,,,,,146913.6,,,,,,,22245311.0,
country/CMR,2020,26333881.517292675,,,150427.2,93774.0,,,,,,,,,,11965812.0,1739046.8,,,679451.18,,,,,,,17184316.0,
country/CMR,2021,1430737.502157795,,,,144773.0,,,,,,,,,,,,,,827134.91,,,,,,,19780306.0,
country/COD,2019,,,,,,,,,,,,,,,,,,,,,,,,,,857111.0,
country/COD,2021,,,,,,,,,,,,,,,1182592.0,,,,,,,,,,,,
country/COK,2015,,276673.75299999997,,,,,,,,,,,,,,,,,,,,,,,,,
country/COK,2016,,355326.5844,,,,,,,,,,,,,,,,,,,,,,,,,
country/COL,2014,,,,,,,,,,,,,,,,,,992719.0,,,,,,,,,
country/COL,2015,,,,,,,,,,,,,,,,,,,352104420.0,,,,,,,,
country/COL,2016,,,,,,,,,,,,,,,,,,,89883495.0,,,,,,,,
country/COL,2017,,,,,,,,,,,,,,,,,,205260000.0,,,,,,,,,
country/COL,2018,,,,,,,,,,,,,,,,,,,481210743.67,,,,,,,,
country/COL,2019,,,,,2791765.0,,,,,,,,,,,,,410520000.0,143439862.48,,,,,,,,
country/COL,2020,,,,,,,,,,,,,,,,,,99960000.0,118250517.28999999,,,,,,,,
country/COL,2021,,,,,526415.0,,,,,,,,,,,,,657221421.4250001,710797164.9801512,,,,,,,,1440000.0
country/CPV,2019,,,,,,,,,,,,,,,,,,,25000.0,,,,,,,,
country/CPV,2020,5120680.055805624,,,,,,,,,,,,,,,,,,,,,,,,,,
country/CRI,2019,,,,,,,,,,,,,,,,,,183206.0,,,,,,,,,
country/CRI,2020,,,,,,,,,,,,,,,31462259.0,,,230525985.744,,,,,,,,,
country/CRI,2021,,,,,,,,,,,,,,,11976628.0,,,7389570.0,86543959.58143185,,,,,,,,
country/DOM,2018,,,,,,,,,,,,,,,4210957.6,,,,20222988.94,,,,,,,,
country/DOM,2019,,,,,,,,,,,,,,,,,,95240000.0,36034917.519999996,,,,,,,,
country/DOM,2020,,,,,,,,,,,,,,,,107420.8,,,166521641.64,,,,,,,,
country/DOM,2021,,,,,,,,,,,,,,,,,,,16870221.759999998,,,,,,,,
country/ECU,2014,,,,,,,,,,,,,,,,,,54736030.5,5000000.0,,,,,,,,
country/ECU,2015,,,,,,,,,,,,,,,,,,528500000.0,113876000.0,,,,,,,,
country/ECU,2016,,,,,,,,,,,,,,,,,,58464350.0,11799438.5,,,,,,,,
country/ECU,2017,,,,,,,,,,,,,,,,,,6414853.2,,,,,,,,,
country/ECU,2018,,,,,107261.0,,,,,,,,,,,,,194000000.0,152300512.5,,,,,,,,
country/ECU,2019,,,,29989924.0,4917920.0,,,,,,,,,,,,,152184000.0,194222716.89,,,,,,,,
country/ECU,2020,,,,,,,,,,,,,,,,,,236936000.0,193059938.5,,,,,,,,
country/ECU,2021,,,,,,,,,,,,,,,,,,18446244.4804,38002635.226,,,,,,,,60000000.0
country/EGY,2016,51725415.212153815,,,,,,,,,,,,9624018.57790556,,,,,,200000000.0,,,,,,,,
country/EGY,2017,,,,,,,,,,,,,86137263.83702335,,,,,,,,,,,,,,
country/EGY,2018,173133501.6555671,,,,,,,,,,12036695.0,2331884.248911986,14468865.623409389,,6878956.000000001,,,,509207104.1544,,,10425206.0,,,,,
country/EGY,2019,4658737.009689571,,,,,,,,,,,31380000.600137316,,,,,,,26363500.958,,,2602872.0,,,,9203521.0,
country/EGY,2020,28330305.48888483,,,2157071.0,,,,,,,,1705045.29453843,15615413.462982908,2954926.0,9517066.0,,,,155053967.1494,,,98176.0,,,,11523561.0,
country/EGY,2021,207032258.49558654,,,,,,,,,,,,84088014.99061953,,10217220.0,,,,69725833.12900001,,,431133.0,,,,3018360.6,
country/ETH,2019,,,,,103273.0,,,,,,,,,,,,,,,,,,,,,,
country/ETH,2020,,,,,,,,,,,,,,,,,,,,16358808.2658,,,,,,63976.00000000001,
country/ETH,2021,,,,,,,,,,,,,,,,,,,,19487633.4484,,,,,,,
country/FJI,2015,,12724.99678701525,,,,,,,,,,,,,,,,,,,,,,,,,
country/FJI,2016,,65349.90506470729,,,,,,,,,,,,,,,,,178386.0,,,,,,,,
country/FJI,2019,,839854.7445801898,,,,,,,,,,,,,,,,,3052840.0,,,,,,,,
country/FJI,2020,,124963.27642192296,,,,,,,,,,,,,,,,,,,,,,,,,
country/FJI,2021,,1608776.9650683587,,,,,,,,,,,,,,,,,6498725.292369931,,,,,,,,
country/FSM,2014,,289894.40481796005,,,,,,,,,,,,,,,,,,,,,,,,,
country/FSM,2015,,24968.787266604864,,,,,,,,,,,,,,,,,,,,,,,,,
country/FSM,2016,,2004220.5856870771,,,,,,,,,,,,,,,,,,,,,,,,,
country/FSM,2017,,1384821.446747527,,,,,,,,,,,,,,,,,,,,,,,,,
country/FSM,2018,,273542.8821697527,,,,,,,,,,,,,,,,,,,,,,,,,
country/FSM,2019,,139668.49173713068,,,,,,,,,,,,,,,,,,,,,,,,,
country/GAB,2016,,,,,,,,,,,,,,,,,,,61701.05,,,,,,,,
country/GAB,2018,,,,,,,,,,,,,,,,,,,15607301.88,,,,,,,,
country/GAB,2019,223880.29976097675,,,,,,,,,,,,,,,,,,7327569.65,,,,,,,,
country/GAB,2020,29725176.171964616,,,,,,,,,,,,,,,,,,5682305.9,,,,,,,,
country/GAB,2021,,,,,,,,,,,,,,,,,,,5439784.82,,,,,,,,
country/GEO,2016,,305904.0,,,,,,,,,,,27471648.819924183,,,,,,1890204.9900000002,,,,,,,,
country/GEO,2017,,1631958.143405111,,,,,,,,,,,36945754.14069336,,,,,,4741691.0,,,,,,,,
country/GEO,2018,,6191167.018038629,,,,,,,,,,,23685900.36812362,,,,,,3353636.55,,,,,,,,
country/GEO,2019,,34627780.12606653,,24991604.0,,,,,,,,3299331.65809839,19325785.748421054,,,,,,3056797.62,,,,,9305576.0,,,
country/GEO,2020,,2975154.601588516,,,,,,,,5698005.600000001,,5827161.241626794,64685247.88400774,,,,,,3451475.46,,,,,,,,
country/GEO,2021,,32648440.432377283,,,,,,,,,,7932671.725652472,8884847.159906272,,,,,,6051605.478491573,,,,,,,,
country/GHA,2018,,,,,,,,,,,,,,,12127619.600000001,,,,,,,,,,,,
country/GHA,2019,,,,,21704.0,,,,,,58652.0,,,,,,,,,,,,,,,2107107.0,
country/GHA,2020,,,,,,,,,,,38153.0,,,,,,,,,,,,,,,,
country/GHA,2021,,,,,528595.0,,,,,,30335.0,,,,,,,,,,,,,,,,
country/GIN,2019,,,,,,,,,,,,23392006.888916932,,,,,,,,,,,,,,,
country/GNQ,2020,866690.9990225792,,,,,,,,,,,,,,,,,,,,,,,,,,
country/GNQ,2021,2139045.997587666,,,,,,,,,,,,,,,,,,,,,,,,,,
country/GRD,2017,,,,,,,,,,,,,,,,,,,3168.0,,,,,,,,
country/GRD,2018,,,,,,,,,,,,,,,,,,,7989.300000000001,,,,,,,,
country/GRD,2019,,,,,,,,,,,,,,,,,,,69327.91,,,,,,,,
country/GRD,2020,,,,,,,,,,,,,,,,,,,256099.51,,,,,,,,
country/GRD,2021,,,,,,,,,,,,,,,,,,,142076.63,,,,,,,,
country/GTM,2019,,,,,,,,,,,,,,,,,,,195489.58,,,,,,,,
country/GTM,2021,,,,,,,,,,,,,,,,,,,1441714.1199999999,,,,,,,,
country/GUY,2014,,,,,,,,,,,,,,,,,,197460.0,,,,,,,,,
country/HND,2018,,,,,,,,,,,,,,,1748057.6,,,,,,,5676939.0,31541.600000000002,,,,
