dcid,year,climateFinanceReceivedDisbursementsOtherOfficialFlowsCurrentUSD
Earth,2013,639005353.971306
Earth,2014,646954257.9285492
Earth,2015,2253247981.7034707
Earth,2016,4175665723.9342504
Earth,2017,3063315849.318268
Earth,2018,7892895313.60267
Earth,2019,7946787437.607225
Earth,2020,9911008724.789017
Earth,2021,11077564508.89765
country/AFG,2019,4000000.0
country/ALB,2015,4466613.61
country/ALB,2016,2651530.35
country/ALB,2018,19220288.011246312
country/ALB,2019,9840148.3192
country/ALB,2020,117857553.71881904
country/ALB,2021,26108605.61713133
country/AGO,2018,3396962.442316719
country/AGO,2019,77386062.54661602
country/AGO,2020,7788265.912772691
country/AGO,2021,136790363.04006368
country/ATG,2019,25.0
country/ATG,2020,8814.64
country/ATG,2021,201.74
country/ARG,2014,12000000.0
country/ARG,2015,2027103.98
country/ARG,2016,64310951.0
country/ARG,2017,51940299.5
country/ARG,2018,239197542.22840002
country/ARG,2019,264712122.5186
country/ARG,2020,271165110.85580003
country/ARG,2021,263429360.4005
country/ARM,2013,2480559.9299999997
country/ARM,2014,1644672.12
country/ARM,2015,3647004.0999999996
country/ARM,2016,23929471.646635965
country/ARM,2017,73264608.38481909
country/ARM,2018,44784255.34661631
country/ARM,2019,35845080.137582004
country/ARM,2020,29826802.812505163
country/ARM,2021,27974809.77329469
country/AZE,2015,2575242.0
country/AZE,2016,32221231.570197724
country/AZE,2017,84188234.41045621
country/AZE,2018,68898880.62474447
country/AZE,2019,29122982.808
country/AZE,2020,16203011.0
country/AZE,2021,38571652.83
country/BGD,2014,4666.6
country/BGD,2015,30074.0
country/BGD,2016,62553069.6531
country/BGD,2017,111326866.1733
country/BGD,2018,67285356.79100001
country/BGD,2019,205246786.65763634
country/BGD,2020,142117710.53186366
country/BGD,2021,181758558.89100784
country/BLR,2013,225000.0
country/BLR,2014,345000.0
country/BLR,2015,8500000.0
country/BLR,2016,64200004.24784837
country/BLR,2017,6983844.094209077
country/BLR,2018,56364579.69018377
country/BLR,2019,18416987.36
country/BLR,2020,20964405.05638362
country/BLR,2021,30433242.177595306
country/BLZ,2015,855097.8
country/BLZ,2016,782000.0
country/BLZ,2017,1416061.16
country/BLZ,2018,4850542.28
country/BLZ,2019,3312663.8000000003
country/BLZ,2020,18598535.1624
country/BLZ,2021,13732026.439199999
country/BEN,2019,4161.0
country/BEN,2020,2087966.8900120251
country/BEN,2021,4380822.839370614
country/BTN,2015,34419.0
country/BTN,2016,8413020.078
country/BOL,2015,80400000.0
country/BOL,2017,25000.0
country/BOL,2018,8327482.35
country/BOL,2019,129107652.69999999
country/BOL,2020,35283995.9172
country/BOL,2021,32410915.134
country/BIH,2016,36345.15775462028
country/BIH,2017,21757716.16711293
country/BIH,2018,36916570.43254113
country/BIH,2019,24829229.36445488
country/BIH,2020,53351292.110577345
country/BIH,2021,74985987.00702544
country/BWA,2018,4448362.0
country/BWA,2020,16758872.56857861
country/BWA,2021,149652755.37915772
country/BRA,2013,187880000.0
country/BRA,2014,233246621.73999998
country/BRA,2015,27420623.5
country/BRA,2016,17115080.35
country/BRA,2017,500001158.0
country/BRA,2018,276942579.6143
country/BRA,2019,185243666.85
country/BRA,2020,66049797.518
country/BRA,2021,261675297.38280395
country/BFA,2020,407295.51
country/BFA,2021,2326712.3734651655
country/BDI,2019,209821.0
country/CPV,2019,25000.0
country/CPV,2020,5120680.055805624
country/KHM,2017,3250000.0
country/KHM,2019,3999999.2
country/KHM,2020,3672232.4000000004
country/KHM,2021,693244.0
country/CMR,2017,22678764.0
country/CMR,2018,20801296.693300482
country/CMR,2019,22762248.891991448
country/CMR,2020,58146708.69729268
country/CMR,2021,22182951.412157796
country/TCD,2019,2100000.0
country/TCD,2020,1500000.0
country/TCD,2021,6400000.0
country/CHL,2013,16618230.0
country/CHL,2014,50093046.0
country/CHL,2017,25000000.0
country/CHN,2013,13774625.0
country/CHN,2014,120329321.51040356
country/CHN,2015,209980180.43824002
country/CHN,2016,523451869.1793493
country/CHN,2017,149790107.25847796
country/CHN,2018,1171684206.7901073
country/CHN,2019,948787989.9538943
country/CHN,2020,668666051.0320469
country/CHN,2021,685219461.7687463
country/COL,2014,992719.0
country/COL,2015,352104420.0
country/COL,2016,89883495.0
country/COL,2017,205260000.0
country/COL,2018,481210743.67
country/COL,2019,556751627.48
country/COL,2020,218210517.29
country/COL,2021,1369985001.4051511
country/COK,2015,276673.75299999997
country/COK,2016,355326.5844
country/CRI,2019,183206.0
country/CRI,2020,261988244.744
country/CRI,2021,105910157.58143185
country/CIV,2018,6590675.634346657
country/CIV,2019,63919948.21655391
country/CIV,2020,134450057.30345285
country/CIV,2021,93823659.09874855
country/COD,2019,857111.0
country/COD,2021,1182592.0
country/DOM,2018,24433946.54
country/DOM,2019,131274917.52
country/DOM,2020,166629062.44
country/DOM,2021,16870221.759999998
country/ECU,2014,59736030.5
country/ECU,2015,642376000.0
country/ECU,2016,70263788.5
country/ECU,2017,6414853.2
country/ECU,2018,346407773.5
country/ECU,2019,381314560.89
country/ECU,2020,429995938.5
country/ECU,2021,116448879.7064
country/EGY,2016,261349433.7900594
country/EGY,2017,86137263.83702335
country/EGY,2018,728482212.6822885
country/EGY,2019,74208631.5678269
country/EGY,2020,226955531.39580616
country/EGY,2021,374512820.2152061
country/SLV,2019,12758113.0
country/SLV,2020,13731092.0
country/SLV,2021,3985343.75
country/GNQ,2020,866690.9990225792
country/GNQ,2021,2139045.997587666
country/SWZ,2020,1422896.3984060304
country/SWZ,2021,3915638.868009084
country/ETH,2019,103273.0
country/ETH,2020,16422784.2658
country/ETH,2021,19487633.4484
country/FJI,2015,12724.99678701525
country/FJI,2016,243735.90506470727
country/FJI,2019,3892694.7445801897
country/FJI,2020,124963.27642192296
country/FJI,2021,8107502.257438289
country/GAB,2016,61701.05
country/GAB,2018,15607301.88
country/GAB,2019,7551449.949760977
country/GAB,2020,35407482.071964614
country/GAB,2021,5439784.82
country/GEO,2016,29667757.80992418
country/GEO,2017,43319403.284098476
country/GEO,2018,33230703.936162252
country/GEO,2019,94606875.15258597
country/GEO,2020,82637044.78722304
country/GEO,2021,55517564.7964276
country/GHA,2018,12127619.600000001
country/GHA,2019,2187463.0
country/GHA,2020,38153.0
country/GHA,2021,558930.0
country/GRD,2017,3168.0
country/GRD,2018,7989.300000000001
country/GRD,2019,69327.91
country/GRD,2020,256099.51
country/GRD,2021,142076.63
country/GTM,2019,195489.58
country/GTM,2021,1441714.1199999999
country/GIN,2019,23392006.888916932
country/GUY,2014,197460.0
country/HND,2018,7456538.2
country/HND,2019,15167292.2
country/HND,2020,250000000.0
country/IND,2014,37033306.63919313
country/IND,2015,69354988.35798927
country/IND,2016,521685073.0757209
country/IND,2017,246195819.6861441
country/IND,2018,802667278.1937923
country/IND,2019,1544938377.2820861
country/IND,2020,1294891045.9126918
country/IND,2021,2073347592.5537658
country/IDN,2014,18306723.000766147
country/IDN,2015,240203610.00332
country/IDN,2016,374998078.00362647
country/IDN,2017,86069573.0
country/IDN,2018,125916335.30000001
country/IDN,2019,555847644.3121624
country/IDN,2020,312826403.8148
country/IDN,2021,447012632.5333096
country/IRQ,2015,360000000.0
country/IRQ,2016,321394316.46
country/IRQ,2018,5787652.5
country/IRQ,2019,14350306.0
country/IRQ,2020,18739006.688699998
country/IRQ,2021,32974806.8235
country/JAM,2016,75000.0
country/JAM,2017,15665200.0
country/JAM,2018,3748435.53
country/JAM,2019,4391461.32
country/JAM,2020,32129741.31
country/JAM,2021,27860120.240000002
country/JOR,2015,93750000.0
country/JOR,2016,230942159.55152547
country/JOR,2017,75709432.68838353
country/JOR,2018,66164015.95949687
country/JOR,2019,131773677.0
country/JOR,2020,15935168.387174772
country/JOR,2021,61716363.04825795
country/KAZ,2016,50575794.775555305
country/KAZ,2017,156683619.85037065
country/KAZ,2018,34088792.58254936
country/KAZ,2019,72468572.93006636
country/KAZ,2020,23551879.974668555
country/KAZ,2021,4091341.1278280783
country/KEN,2016,282459.2160858355
country/KEN,2017,297356.906632594
country/KEN,2018,32930852.021732256
country/KEN,2019,30674284.122045413
country/KEN,2020,182047490.33479127
country/KEN,2021,104143873.7495762
country/XKX,2016,5118483.774275147
country/XKX,2017,8104097.702118858
country/XKX,2018,12021716.159183275
country/XKX,2020,317251.99908294284
country/XKX,2021,5933271.982849125
country/KGZ,2016,6227839.89203362
country/KGZ,2017,11756463.62558669
country/KGZ,2018,6698924.110943321
country/KGZ,2020,812825.9576542543
country/KGZ,2021,2421564.7570019327
country/LAO,2018,298571.0
country/LAO,2019,2094719.6
country/LAO,2020,8009905.4
country/LAO,2021,5658934.2
country/LBN,2016,20354697.0
country/LBN,2018,137582031.3073268
country/LBN,2019,43638080.882998854
country/LBN,2020,12536907.869622044
country/LBN,2021,13494510.620000001
country/LSO,2021,12786.0
country/LBR,2021,1974168.1914
country/MDG,2019,801184.0
country/MDG,2020,1575364.0
country/MDG,2021,100181.21999999999
country/MWI,2021,6288434.0
country/MYS,2020,1546139.2000000002
country/MUS,2019,1589626.2000000002
country/MUS,2020,472739.0
country/MUS,2021,52986.0
country/MEX,2013,70000000.0
country/MEX,2014,50000000.0
country/MEX,2016,250000.0
country/MEX,2017,9836518.0
country/MEX,2018,342207561.58
country/MEX,2019,426357180.627
country/MEX,2020,783617427.62
country/MEX,2021,685812486.24
country/FSM,2014,289894.40481796005
country/FSM,2015,24968.787266604864
country/FSM,2016,2004220.5856870771
country/FSM,2017,1384821.446747527
country/FSM,2018,273542.8821697527
country/FSM,2019,139668.49173713068
country/MDA,2015,2026212.0
country/MDA,2016,15055563.0
country/MDA,2017,3190701.9447083096
country/MDA,2018,1934601.0
country/MDA,2019,4507628.0
country/MDA,2020,19036032.728998877
country/MDA,2021,342041.39999999997
country/MNG,2015,3394.348
country/MNG,2016,15334414.864953266
country/MNG,2017,29875498.03463285
