PreferredSV,DroppedSV,DuplicateName
WagesTotal_Worker_NAICSEducationalServices,dc/jefhcs9qxc971,what is the average salary for people working in the educational services industry?
Amount_EconomicActivity_GrossDomesticProduction_Nominal,dc/topic/GDP,GDP
dc/topic/EconomicActivity,dc/topic/GlobalEconomicActivity,Economic Activity
UnemploymentRate_Person,dc/topic/UnemploymentRate,Unemployment Rate
dc/topic/EducationalAttainment,dc/topic/LevelOfEducationalAttainment,education attainment level
AirQualityIndex_AirPollutant,dc/topic/AirQualityIndex,AQI
Count_Person_DetailedHighSchool,dc/topic/StudentsInHighSchool,high school students
Count_Person_DetailedPrimarySchool,dc/topic/StudentsInPrimarySchool,primary school students
Count_Person_DetailedMiddleSchool,dc/topic/StudentsInMiddleSchool,middle school students
Annual_Emissions_GreenhouseGas,dc/topic/GreenhouseGasEmissions,Greenhouse Gas Emissions
Annual_Amount_Emissions_Acetaldehyde_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Acetaldehyde_SCC_23_IndustrialProcesses,Annual Emissions of Acetaldehyde in Industrial Processes
Annual_Amount_Emissions_Ammonia_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Ammonia_SCC_23_IndustrialProcesses,Annual Emissions of Ammonia in Industrial Processes
Annual_Amount_Emissions_Arsenic_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Arsenic_SCC_23_IndustrialProcesses,Annual Emissions of Arsenic in Industrial Processes
Annual_Amount_Emissions_Benzene_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Benzene_SCC_23_IndustrialProcesses,Annual Emissions of Benzene in Industrial Processes
Annual_Amount_Emissions_Cadmium_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_Cadmium_SCC_23_IndustrialProcesses,Annual Emissions of Cadmium in Industrial Processes
Annual_Amount_Emissions_CarbonMonoxide_SCC_3_IndustrialProcesses,Annual_Amount_Emissions_CarbonMonoxide_SCC_23_IndustrialProcesses,Annual Emissions of Carbon Monoxide in Industrial Processes
