dcid,sentence
AirPollutant_Cancer_Risk,1 Air pollution can cause cancer;Air pollution can increase your risk of cancer;Cancer Risk From Air Pollutants;Cancer risk from air pollutants;The risk of cancer from air pollutants;The risk of cancer from air pollution;The risk of developing cancer from exposure to air pollutants
AirQualityIndex_AirPollutant,AQI;Air Quality Index;Air pollution level;Air pollution measure;Air quality index;Air quality index level;Air quality index measurement;Air quality index reading;Air quality measurement
AmountFarmInventory_WinterWheatForGrain,Amount of Farm Inventory: Winter Wheat for Grain;Amount of Winter Wheat for Grain Grown;Amount of winter wheat for grain in farm inventory;Farm inventory of winter wheat for grain;Quantity of winter wheat grain in farm inventory;The amount of winter wheat that farmers have on hand;The total amount of winter wheat that farmers have available for sale;The total amount of winter wheat that farmers have not yet sold;The total amount of winter wheat that farmers have on hand for grain;The total amount of winter wheat that farmers have stored;Total Farm Inventory of Winter Wheat for Grain;Total inventory of winter wheat for grain on farms;Total winter wheat grain held by farms
Amount_Consumption_Alcohol_15OrMoreYears_AsFractionOf_Count_Person_15OrMoreYears,Percentage of People Aged 15 Years or More Who Consume Alcohol;Percentage of people 15 years or older who consume alcohol in relation to total number of people 15 years or older;What percentage of people aged 15 and older drink alcohol?;What percentage of people aged 15 or older drink alcohol?;What percentage of people aged 15 years or older consume alcohol?
Amount_Consumption_Electricity_PerCapita,Average consumption of electricity per person;Electricity Used Per Capita;How much electricity does the average person use?;Per capita electricity consumption;The average amount of electricity used by each person in a country
Amount_Consumption_Energy_PerCapita,Average consumption of energy per person;Energy Used Per Capita;Energy consumption per person;Energy used per capita;How much energy does the average person use?;Per capita energy consumption
Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy,Amount of Consumption: Renewable Energy (As Fraction of Amount Consumption Energy);Annual Consumption Of Renewable energy;the amount of renewable energy consumed each year;the annual consumption of renewable energy;the annual rate of renewable energy consumption;the yearly use of renewable energy
Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_Government,Government expenditure on education as a percentage of total government expenditure;Percent of Total Government Expenditure Spent on Education;The amount of money the government spends on education as a percentage of its total budget;The percentage of the government's total budget spent on education;The percentage of the government's total spending that is allocated to education;The portion of the government's budget that goes to education;The share of the government's budget that is devoted to education
Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,Education expenditure as a percentage of GDP;Education spending as a percentage of GDP;Government expenditure on education as a percentage of nominal gross domestic production;Percent of Nominal Gross Domestic Production (GDP) Spent on Education;Percentage of GDP spent on education;Share of GDP allocated to education;The percentage of GDP spent on education
Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal Percent of Nominal Gross Domestic Production (GDP) Spent on Education,Population Working in Legal Services;how many legal service workers are there;number of law industry workers;people working in law;population of legal service workers;population working in legal services
Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person,"1 The amount of money spent on healthcare per person;Amount of Economic Activity: Expenditure Activity, Healthcare Expenditure (Per Capita);Average healthcare expenditure;Cost of healthcare per person;Expense spent on healthcare per individual;Healthcare Expenditure Per Person;Healthcare cost per person;Healthcare expenditure per person;Per capita healthcare expenditure;Per capita healthcare spending;The amount of money spent on healthcare per person;Total healthcare cost"
Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government,Government Expenditure on Military Activities;Government expenditure on military activities;Government spending on the military;The amount of money that a government spends on its military
Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,Government expenditure on military activities as a percentage of nominal gross domestic production;How much of the government's budget goes to the military?;Military spending as a percentage of total government expenditure;Percent of Total Government Expenditure Spent on Military Activities;What percent of the government's budget goes to the military?;What percentage of the total government budget is spent on the military
