entity,variable,date,value
country/USA,Count_Person_HighRiskIssues,2025,12547
country/USA,Count_Asset_WithRegulatoryOverlap,2025,3892
country/USA,Count_Person_IsInternetUser_PerCapita,2025,94.8
country/USA,Count_Person_BelowPovertyLevelInThePast12Months,2025,39500000
geoId/01,Count_Person_IsInternetUser_PerCapita,2025,89.2
geoId/01,Count_Person_BelowPovertyLevelInThePast12Months,2025,745000
geoId/06,Count_Person_IsInternetUser_PerCapita,2025,96.5
geoId/06,Count_Person_BelowPovertyLevelInThePast12Months,2025,4850000
geoId/48,Count_Person_IsInternetUser_PerCapita,2025,91.3
geoId/48,Count_Person_BelowPovertyLevelInThePast12Months,2025,3920000
geoId/36,Count_Person_IsInternetUser_PerCapita,2025,95.1
geoId/36,Count_Person_BelowPovertyLevelInThePast12Months,2025,2680000
geoId/12,Count_Person_IsInternetUser_PerCapita,2025,92.7
geoId/12,Count_Person_BelowPovertyLevelInThePast12Months,2025,2450000
geoId/01,Count_Person_HighRiskIssues,2025,342
geoId/01,Count_Asset_WithRegulatoryOverlap,2025,89
geoId/02,Count_Person_HighRiskIssues,2025,156
geoId/02,Count_Asset_WithRegulatoryOverlap,2025,67
geoId/04,Count_Person_HighRiskIssues,2025,478
geoId/04,Count_Asset_WithRegulatoryOverlap,2025,134
geoId/05,Count_Person_HighRiskIssues,2025,234
geoId/05,Count_Asset_WithRegulatoryOverlap,2025,78
geoId/06,Count_Person_HighRiskIssues,2025,1245
geoId/06,Count_Asset_WithRegulatoryOverlap,2025,456
geoId/08,Count_Person_HighRiskIssues,2025,567
geoId/08,Count_Asset_WithRegulatoryOverlap,2025,189
geoId/09,Count_Person_HighRiskIssues,2025,123
geoId/09,Count_Asset_WithRegulatoryOverlap,2025,34
geoId/10,Count_Person_HighRiskIssues,2025,67
geoId/10,Count_Asset_WithRegulatoryOverlap,2025,23
geoId/11,Count_Person_HighRiskIssues,2025,89
geoId/11,Count_Asset_WithRegulatoryOverlap,2025,28
geoId/12,Count_Person_HighRiskIssues,2025,892
geoId/12,Count_Asset_WithRegulatoryOverlap,2025,267
geoId/13,Count_Person_HighRiskIssues,2025,534
geoId/13,Count_Asset_WithRegulatoryOverlap,2025,145
geoId/15,Count_Person_HighRiskIssues,2025,98
geoId/15,Count_Asset_WithRegulatoryOverlap,2025,31
geoId/16,Count_Person_HighRiskIssues,2025,145
geoId/16,Count_Asset_WithRegulatoryOverlap,2025,52
geoId/17,Count_Person_HighRiskIssues,2025,678
geoId/17,Count_Asset_WithRegulatoryOverlap,2025,198
geoId/18,Count_Person_HighRiskIssues,2025,345
geoId/18,Count_Asset_WithRegulatoryOverlap,2025,112
geoId/19,Count_Person_HighRiskIssues,2025,234
geoId/19,Count_Asset_WithRegulatoryOverlap,2025,78
geoId/20,Count_Person_HighRiskIssues,2025,289
geoId/20,Count_Asset_WithRegulatoryOverlap,2025,95
geoId/21,Count_Person_HighRiskIssues,2025,312
geoId/21,Count_Asset_WithRegulatoryOverlap,2025,89
geoId/22,Count_Person_HighRiskIssues,2025,456
geoId/22,Count_Asset_WithRegulatoryOverlap,2025,167
geoId/23,Count_Person_HighRiskIssues,2025,87
geoId/23,Count_Asset_WithRegulatoryOverlap,2025,29
geoId/24,Count_Person_HighRiskIssues,2025,278
geoId/24,Count_Asset_WithRegulatoryOverlap,2025,82
geoId/25,Count_Person_HighRiskIssues,2025,345
geoId/25,Count_Asset_WithRegulatoryOverlap,2025,98
geoId/26,Count_Person_HighRiskIssues,2025,512
geoId/26,Count_Asset_WithRegulatoryOverlap,2025,156
geoId/27,Count_Person_HighRiskIssues,2025,287
geoId/27,Count_Asset_WithRegulatoryOverlap,2025,89
