sentence,dcid
"(a) Damage to critical infrastructure and (b) number of disruptions to basic services, attributed to disasters",dc/topic/sdg_11.5.3
(a) Food loss index and (b) food waste index,dc/topic/sdg_12.3.1
(a) Hazardous waste generated per capita,dc/topic/sdg_12.4.2
(a) Index of coastal eutrophication,dc/topic/sdg_14.1.1
(a) Number of commercial bank branches per 100K adults and (b) number of automated teller machines (ATMs) per 100K adults,dc/topic/sdg_8.10.1
(a) Number of countries that have established national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011–2020 in their national biodiversity strategy and action plans and the progress reported towards these targets,dc/topic/sdg_15.9.1
(a) Official development assistance on conservation and sustainable use of biodiversity,dc/topic/sdg_15.a.1;dc/topic/sdg_15.b.1
"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",dc/topic/sdg_5.a.1
"(a) damage to critical infrastructure and (b) number of disruptions to basic services, attributed to disasters",dc/topic/sdg_11.5.3
"(a) how many countries have set national targets in line with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011–2020 in their national biodiversity strategy and action plans, and what progress has been reported towards these targets?",dc/topic/sdg_15.9.1
"(a) how many countries have set national targets in line with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011–2020 in their national biodiversity strategy and action plans, and what progress have they made towards these targets?",dc/topic/sdg_15.9.1
(a) level of coastal eutrophication,dc/topic/sdg_14.1.1
(a) the amount of food that is lost or wasted in the united states,dc/topic/sdg_12.3.1
(a) the amount of hazardous waste produced by each person in the united states,dc/topic/sdg_12.4.2
(a) the amount of hazardous waste produced per person in the united states,dc/topic/sdg_12.4.2
"(a) the number of commercial bank branches per 100,000 adults in the united states",dc/topic/sdg_8.10.1
"(a) what percentage of the agricultural population in the united states owns or has secure rights to agricultural land, by sex?",dc/topic/sdg_5.a.1
(b) amount of plastic debris in the coastal environment,dc/topic/sdg_14.1.1
(b) at the end of primary,dc/topic/sdg_4.1.1
(b) curricula,dc/topic/sdg_12.8.1;dc/topic/sdg_13.3.1;dc/topic/sdg_4.7.1
(b) ensure balanced territorial development,dc/topic/sdg_11.a.1
"(b) how many countries have integrated biodiversity into their national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting?",dc/topic/sdg_15.9.1
"(b) the number of atms per 100,000 adults in the united states",dc/topic/sdg_8.10.1
(b) the percentage of food that is lost or wasted in the united states,dc/topic/sdg_12.3.1
"(b) the percentage of hazardous waste that is treated, by type of treatment",dc/topic/sdg_12.4.2
"(b) the percentage of hazardous waste that is treated, by type of treatment, in the united states",dc/topic/sdg_12.4.2
(b) the public service,dc/topic/sdg_16.7.1
"(b) what percentage of women in the united states are owners or rights-bearers of agricultural land, by type of tenure?",dc/topic/sdg_5.a.1
(c) concentration of plastic debris in the coastal environment,dc/topic/sdg_14.1.1
(c) teacher education,dc/topic/sdg_12.8.1;dc/topic/sdg_13.3.1;dc/topic/sdg_4.7.1
(c) the density of commercial bank branches in the united states,dc/topic/sdg_8.10.1
(c) the rate of food loss or waste in the united states,dc/topic/sdg_12.3.1
(c) what proportion of the agricultural population in the united states is female and owns or has secure rights to agricultural land?,dc/topic/sdg_5.a.1
(d) extent of plastic debris in the coastal environment,dc/topic/sdg_14.1.1
(d) the density of atms in the united states,dc/topic/sdg_8.10.1
(d) the scale of food loss or waste in the united states,dc/topic/sdg_12.3.1
(d) what proportion of agricultural land in the united states is owned or controlled by women?,dc/topic/sdg_5.a.1
1 jobs and prosperity,dc/topic/sdg_8
1 we need to do more to protect and preserve the world's cultural and natural heritage,dc/topic/sdg_11.4
1 we need to make sure that developing countries have the resources they need to end poverty,dc/topic/sdg_1.a
1 what percentage of people use the internet?,dc/topic/sdg_17.8.1
2G network,dc/topic/sdg_9.c.1
3G network,dc/topic/sdg_9.c.1
4G network,dc/topic/sdg_9.c.1
"Achieve higher levels of economic productivity through diversification, technological upgrading and innovation, including through a focus on high-value added and labour-intensive sectors",dc/topic/sdg_8.2
"Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all",dc/topic/sdg_3.8
Additional financial resources mobilized for developing countries from multiple sources,dc/topic/sdg_17.3.1
Adolescent birth rate (aged 10-19 years),dc/topic/sdg_3.7.2
"Adolescent birth rate (aged 10-19 years) per 1,000 women in that age group",dc/topic/sdg_3.7.2
Adopt and implement investment promotion regimes for least developed countries,dc/topic/sdg_17.5
Adopt and strengthen sound policies and enforceable legislation for the promotion of gender equality and the empowerment of all women and girls at all levels,dc/topic/sdg_5.c
