MainStatVar,DenominatorStatVar
Count_UnemploymentInsuranceClaim_StateUnemploymentInsurance,Count_Person
Count_Person_Employed,Count_Person
Count_Person_InLaborForce,Count_Person
Amount_Debt_Government,Count_Person
Count_Person_IncomeOfUpto9999USDollar,Count_Person
Count_Person_IncomeOf10000To14999USDollar,Count_Person
Count_Person_IncomeOf15000To24999USDollar,Count_Person
Count_Person_IncomeOf25000To34999USDollar,Count_Person
Count_Person_IncomeOf35000To49999USDollar,Count_Person
Count_Person_IncomeOf50000To64999USDollar,Count_Person
Count_Person_IncomeOf65000To74999USDollar,Count_Person
Count_Person_IncomeOf75000OrMoreUSDollar,Count_Person
Count_Household_IncomeOfUpto10000USDollar,Count_Household
Count_Household_IncomeOf10000To14999USDollar,Count_Household
Count_Household_IncomeOf20000To24999USDollar,Count_Household
Count_Household_IncomeOf40000To44999USDollar,Count_Household
Count_Household_IncomeOf50000To59999USDollar,Count_Household
Count_Household_IncomeOf60000To74999USDollar,Count_Household
Count_Household_IncomeOf75000To99999USDollar,Count_Household
Count_Household_IncomeOf100000To124999USDollar,Count_Household
Count_Household_IncomeOf125000To149999USDollar,Count_Household
Count_Household_IncomeOf150000To199999USDollar,Count_Household
Count_Household_IncomeOf200000OrMoreUSDollar,Count_Household
CumulativeCount_MedicalConditionIncident_COVID_19_ConfirmedOrProbableCase,Count_Person
CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased,Count_Person
Count_Death_DiseasesOfTheCirculatorySystem,Count_Person
Count_Death_Neoplasms,Count_Person
Count_Death_DiseasesOfTheRespiratorySystem,Count_Person
Count_Death_ExternalCauses,Count_Person
Count_Death_DiseasesOfTheNervousSystem,Count_Person
RetailDrugDistribution_DrugDistribution_Oxycodone,Count_Person
RetailDrugDistribution_DrugDistribution_Hydrocodone,Count_Person
RetailDrugDistribution_DrugDistribution_Codeine,Count_Person
RetailDrugDistribution_DrugDistribution_Amphetamine,Count_Person
RetailDrugDistribution_DrugDistribution_Morphine,Count_Person
Count_CriminalActivities_CombinedCrime,Count_Person
Count_CriminalActivities_ViolentCrime,Count_Person
Count_CriminalActivities_PropertyCrime,Count_Person
Count_CriminalActivities_Arson,Count_Person
Count_Person_EducationalAttainmentNoSchoolingCompleted,Count_Person_25OrMoreYears
Count_Person_EducationalAttainmentRegularHighSchoolDiploma,Count_Person_25OrMoreYears
Count_Person_EducationalAttainmentBachelorsDegree,Count_Person_25OrMoreYears
Count_Person_EducationalAttainmentMastersDegree,Count_Person_25OrMoreYears
Count_Person_EducationalAttainmentDoctorateDegree,Count_Person_25OrMoreYears
Count_Person_EnrolledInSchool,Count_Person_3OrMoreYears
Count_Person_NotEnrolledInSchool,Count_Person_3OrMoreYears
Count_Person_Upto4Years,Count_Person
Count_Person_5To9Years,Count_Person
Count_Person_5To17Years,Count_Person
Count_Person_10To14Years,Count_Person
Count_Person_15To19Years,Count_Person
Count_Person_18To24Years,Count_Person
Count_Person_20To24Years,Count_Person
Count_Person_25To29Years,Count_Person
Count_Person_25To34Years,Count_Person
Count_Person_30To34Years,Count_Person
Count_Person_35To39Years,Count_Person
Count_Person_35To44Years,Count_Person
Count_Person_40To44Years,Count_Person
Count_Person_45To49Years,Count_Person
Count_Person_45To54Years,Count_Person
Count_Person_50To54Years,Count_Person
Count_Person_55To59Years,Count_Person
Count_Person_60To61Years,Count_Person
Count_Person_60To64Years,Count_Person
Count_Person_62To64Years,Count_Person
Count_Person_65To69Years,Count_Person
Count_Person_65To74Years,Count_Person
Count_Person_70To74Years,Count_Person
Count_Person_75To79Years,Count_Person
Count_Person_75OrMoreYears,Count_Person
Count_Person_80OrMoreYears,Count_Person
Count_Person_Female,Count_Person
Count_Person_Male,Count_Person
Count_Person_AmericanIndianOrAlaskaNativeAlone,Count_Person
Count_Person_AsianAlone,Count_Person
Count_Person_BlackOrAfricanAmericanAlone,Count_Person
Count_Person_HispanicOrLatino,Count_Person
Count_Person_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person
Count_Person_SomeOtherRaceAlone,Count_Person
Count_Person_TwoOrMoreRaces,Count_Person
Count_Person_WhiteAlone,Count_Person
Count_Person_USCitizenBornInTheUnitedStates,Count_Person
Count_Person_USCitizenByNaturalization,Count_Person
Count_Person_NotAUSCitizen,Count_Person
Count_Person_USCitizenBornAbroadOfAmericanParents,Count_Person
Count_Person_MarriedAndNotSeparated,Count_Person
Count_Person_Divorced,Count_Person
Count_Person_NeverMarried,Count_Person
Count_Person_Widowed,Count_Person
Count_Person_Separated,Count_Person
Count_HousingUnit,Count_Person
Count_HousingUnit_HouseholderRaceAmericanIndianOrAlaskaNativeAlone,Count_HousingUnit
Count_HousingUnit_HouseholderRaceAsianAlone,Count_HousingUnit
Count_HousingUnit_HouseholderRaceBlackOrAfricanAmericanAlone,Count_HousingUnit
Count_HousingUnit_HouseholderRaceHispanicOrLatino,Count_HousingUnit
Count_HousingUnit_HouseholderRaceNativeHawaiianAndOtherPacificIslanderAlone,Count_HousingUnit
Count_HousingUnit_HouseholderRaceSomeOtherRaceAlone,Count_HousingUnit
Count_HousingUnit_HouseholderRaceTwoOrMoreRaces,Count_HousingUnit
Count_HousingUnit_HouseholderRaceWhiteAlone,Count_HousingUnit
Count_HousingUnit_HomeValueUpto10000USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue10000To14999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue15000To19999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue20000To24999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue25000To29999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue30000To34999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue35000To39999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue40000To49999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue50000To59999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue60000To69999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue70000To79999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue80000To89999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue90000To99999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue100000To124999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue125000To149999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue150000To174999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue175000To199999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue200000To249999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue250000To299999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue300000To399999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue400000To499999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue500000To749999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue750000To999999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue1000000To1499999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue1500000To1999999USDollar,Count_HousingUnit
Count_HousingUnit_HomeValue2000000OrMoreUSDollar,Count_HousingUnit
Count_HousingUnit_Before1939DateBuilt,Count_HousingUnit
Count_HousingUnit_1940To1949DateBuilt,Count_HousingUnit
Count_HousingUnit_1950To1959DateBuilt,Count_HousingUnit
Count_HousingUnit_1960To1969DateBuilt,Count_HousingUnit
Count_HousingUnit_1970To1979DateBuilt,Count_HousingUnit
Count_HousingUnit_1980To1989DateBuilt,Count_HousingUnit
Count_HousingUnit_1990To1999DateBuilt,Count_HousingUnit
Count_HousingUnit_2000To2009DateBuilt,Count_HousingUnit
Count_HousingUnit_2010OrLaterDateBuilt,Count_HousingUnit
Count_HousingUnit_OwnerOccupied,Count_HousingUnit
Count_HousingUnit_RenterOccupied,Count_HousingUnit
