Var,Name
who/AIR_11,Household air pollution attributable deaths
who/AIR_15,Household air pollution attributable number of disability-adjusted life years (DALYs)
who/AIR_17,Household air pollution attributable number of disability-adjusted life years (DALYs) (per 100 000 population)
who/AIR_39,"Household air pollution attributable number of disability-adjusted life years (DALYs) (per 100 000, age-standardized)"
who/AIR_41,Ambient air pollution attributable deaths
who/AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)"
who/AIR_44,Number of disability-adjusted life years (DALYs) attributable to ambient air pollution (age-standardized)
who/AIR_45,Ambient air pollution attributable number of years life lost (YLLs)
who/AIR_5,Ambient air pollution attributable death rate (per 100 000 population)
who/AIR_51,Household air pollution: Household air pollution attributable death rate (per 100 000 population)
who/AIR_52,"Household air pollution: Household air pollution attributable death rate (per 100 000 population, age-standardized)"
who/AIR_7,Ambient air pollution attributable number of disability-adjusted life years (DALYs)
who/AIR_9,Ambient air pollution attributable number of disability-adjusted life years (DALYs) (per 100 000 population)
who/AIR_90,"Ambient air pollution attributable number of disability-adjusted life years (DALYs) (per 100 000 population, age-standardized)"
who/AMR_INFECT_ECOLI,Proportion of bloodstream infection due to Escherichia coli resistant to third-generation cephalosporins (%)
who/AMR_INFECT_MRSA,Proportion of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) (%)
who/ASSISTIVETECH_METNEED,Assistive technology indicators: Prevalence of met need of assistive products (%)
who/Adult_curr_cig_smoking,Prevalence of current cigarette smoking among adults (%)
who/Adult_curr_e-cig,Prevalence of current e-cigarette use among adults (%)
who/Adult_curr_smokeless,Prevalence of current smokeless tobacco use among adults (%)
who/Adult_curr_tob_smoking,Prevalence of current tobacco smoking among adults (%)
who/Adult_curr_tob_use,Prevalence of current tobacco use among adults (%)
who/Adult_daily_cig_smoking,Prevalence of daily cigarette smoking among adults (%)
who/Adult_daily_smokeless,Prevalence of daily smokeless tobacco use among adults (%)
who/Adult_daily_tob_smoking,Prevalence of daily tobacco smoking among adults (%)
who/Adult_daily_tob_use,Prevalence of daily tobacco use among adults (%)
who/Adult_nonsmoked_svy_yr,Prevalence of smokeless tobacco use or e-cigarette use among adults: Year of latest adult prevalence survey
who/Adult_svy_yr,Year of most recent nationally representative survey reporting prevalence of tobacco use or smoking among adults
who/CARE_SOURCE,Health service delivery: Where patients are seeking care by type of patient and source of care (%)
who/CATARACTSURGICAL,Cataract surgical coverage of adults aged 50 and over (%)
who/CATARACTSURGICALEFFECTIVE,Effective cataract surgical coverage of adults aged 50 and over (%)
who/CCO_1,Poverty headcount ratio at $1.25 a day (PPP) (% of population)
who/CCO_2,Human development index rank
who/CCO_3,Gender inequality index rank
who/CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)
who/CHILDMORT_DEATHS_10TO14,Number of deaths among children ages 10 to 14 years
who/CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10)
who/CHOLERA_0000000001,Number of reported cases of cholera
who/CHOLERA_0000000002,Number of reported deaths from cholera
who/CHOLERA_0000000003,Cholera case fatality rate
who/CM_01,Number of under-five deaths
who/CM_02,Number of infant deaths
who/CM_03,Number of neonatal deaths
who/CM_04,Number of deaths among children ages 5 to 9 years
who/CaseCS,"Congenital syphilis number of cases, reported"
who/DEVICES00,Density of hospitals (per 100 000 population)
who/DEVICES01,Density of health posts (per 100 000 population)
who/DEVICES02,Density of health centres (per 100 000 population)
who/DEVICES03,Density of district/rural hospitals (per 100 000 population)
who/DEVICES04,Density of provincial hospitals (per 100 000 population)
who/DEVICES05,Density of specialized hospitals (per 100 000 population)
who/DEVICES06,Availability of national standards or recommended lists of medical devices
who/DEVICES07,Types of lists recommending health technology for high burden diseases
who/DEVICES08,"Diagnostic medical imaging equipment: Magnetic resonance imaging units (per million population), total density"
who/DEVICES09,"Diagnostic medical imaging equipment: Computed tomography units (per million population), total density"
who/DEVICES10,"Diagnostic medical imaging equipment: Positron Emission tomography (per million population), total density"
who/DEVICES11,"Diagnostic medical imaging equipment: Gamma camera or Nuclear medicine (per million population), total density"
who/DEVICES12,Medical treatment radiation therapy equipment: Linear Accelerator (per million population) total density
who/DEVICES13,Medical devices: Type of nomenclature system
who/DEVICES14,Medical devices: Use of nomenclature system
who/DEVICES15,Existence of a health technology (medical device) national policy
who/DEVICES16,Existence of unit in the Ministry of Health responsible for the management of medical devices
who/DEVICES17,Procurement of medical devices is carried out at the national level (yes / no)
who/DEVICES18,Availability of national list of approved medical devices for procurement or reimbursement
who/DEVICES19,"Availability of national guidelines, policies or recommendations on the procurement of medical devices"
who/DEVICES20,Availability of technical specifications of medical devices to support procurement or donations
who/DEVICES21,"Medical treatment radiation therapy equipment: Telecobalt Unit (per million population), total density"
who/DEVICES22,"Medical treatment radiation therapy equipment: Radiotherapy units (per million population), total density"
who/DEVICES23,"Diagnostic medical imaging equipment: Mammography units (per million females aged from 50 to 69 years old), total density"
who/E10_compliance,Compliance of ban on tobacco promotional discounts
who/E11_compliance,Compliance of ban on non-tobacco goods AND services identified with tobacco brand names
who/E12_compliance,Compliance of ban on brand name of non-tobacco products used for tobacco product
who/E13_compliance,Compliance of ban on appearance of tobacco brands in TV and/or films (product placement)
who/E14_compliance,Compliance of ban on appearance of tobacco products in TV and/or films
who/E15_compliance,Compliance of ban on sponsored events by the tobacco industry
who/E1_compliance,Compliance of ban on tobacco advertising on national TV and radio
who/E3_compliance,Compliance of ban on tobacco advertising on local magazines and newspapers
who/E5_compliance,Compliance of ban on tobacco advertising on billboards and outdoor advertising
who/E6_compliance,Compliance of ban on tobacco advertising at point of sale
who/E9_compliance,Compliance of ban on free distribution of tobacco products in the mail or through other means
who/EC_direct_compliance,Compliance with bans on direct tobacco advertising
who/EC_indirect_compliance,Compliance with bans on tobacco promotion and sponsorship
who/E_Group,"Implementation status of bans on tobacco advertising, promotion and sponsorship (E measure of the MPOWER package)"
who/FAMILYPLANNINGUNPDUHC,"Women of reproductive age (15-49 years) who are married or in-union who have their need for family planning satisfied with modern methods (%), UNPD"
who/FINPROTECTION_CATA_CTPFHU_40_HH,"Households with out-of-pocket payments greater than 40% of capacity to pay for health care (food, housing and utilities approach - developed by WHO/Europe)"
who/FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large health expenditures as a share of total expenditure or income
who/FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)"
who/FINPROTECTION_CATA_TOT_25_POP,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, reported data) (%)"
who/FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures
who/FINPROTECTION_IMP_BNLFHU_FURIMP_HH,"Households impoverished by out-of-pocket payments (relative poverty line reflecting basic needs: food, housing, utilities - developed by WHO/Europe) (%, national)"
who/FINPROTECTION_IMP_BNLFHU_P_HH,"Households further impoverished by out-of-pocket payments (relative poverty line reflecting basic needs: food, housing, utilities - developed by WHO/Europe) (%, national)"
who/FINPROTECTION_IMP_BNLFHU_TOT_HH,"Households pushed below or further below a relative poverty line (reflecting basic needs: food, housing, utilities - developed by WHO/Europe) by out-of-pocket payments (%, national)"
who/FINPROTECTION_IMP_NP190_POP,Population pushed below the $1.90 a day poverty line by household health expenditures (%)
who/FINPROTECTION_IMP_NP215_POP,"Population pushed below the $2.15 a day poverty line by household health expenditures (%, national, rural, urban)"
