GROUPING ID,Variable,Legend,SERIES_CODE,SERIES_DESCRIPTION,VARIABLE_CODE,VARIABLE_DESCRIPTION
AG_FLS_INDEX.,Global food loss index,,AG_FLS_INDEX,Global food loss index,AG_FLS_INDEX,Global food loss index
AG_FLS_PCT.,Food loss percentage (%),,AG_FLS_PCT,Food loss percentage (%),AG_FLS_PCT,Food loss percentage (%)
AG_FOOD_WST.,Food waste (Tonnes),Total,AG_FOOD_WST,Food waste (Tonnes),AG_FOOD_WST,Food waste (Tonnes)
AG_FOOD_WST.,Food waste (Tonnes),Food Waste Sector = Households,AG_FOOD_WST,Food waste (Tonnes),AG_FOOD_WST@FOOD_WASTE_SECTOR--FWS_HHS,Food waste (Tonnes) [Food Waste Sector = Households]
AG_FOOD_WST.,Food waste (Tonnes),Food Waste Sector = Out-of-home consumption,AG_FOOD_WST,Food waste (Tonnes),AG_FOOD_WST@FOOD_WASTE_SECTOR--FWS_OOHC,Food waste (Tonnes) [Food Waste Sector = Out-of-home consumption]
AG_FOOD_WST.,Food waste (Tonnes),Food Waste Sector = Retail,AG_FOOD_WST,Food waste (Tonnes),AG_FOOD_WST@FOOD_WASTE_SECTOR--FWS_RTL,Food waste (Tonnes) [Food Waste Sector = Retail]
AG_FOOD_WST_PC.,Food waste per capita (KG),Total,AG_FOOD_WST_PC,Food waste per capita (KG),AG_FOOD_WST_PC,Food waste per capita (KG)
AG_FOOD_WST_PC.,Food waste per capita (KG),Food Waste Sector = Households,AG_FOOD_WST_PC,Food waste per capita (KG),AG_FOOD_WST_PC@FOOD_WASTE_SECTOR--FWS_HHS,Food waste per capita (KG) [Food Waste Sector = Households]
AG_FOOD_WST_PC.,Food waste per capita (KG),Food Waste Sector = Out-of-home consumption,AG_FOOD_WST_PC,Food waste per capita (KG),AG_FOOD_WST_PC@FOOD_WASTE_SECTOR--FWS_OOHC,Food waste per capita (KG) [Food Waste Sector = Out-of-home consumption]
AG_FOOD_WST_PC.,Food waste per capita (KG),Food Waste Sector = Retail,AG_FOOD_WST_PC,Food waste per capita (KG),AG_FOOD_WST_PC@FOOD_WASTE_SECTOR--FWS_RTL,Food waste per capita (KG) [Food Waste Sector = Retail]
AG_FPA_CFPI.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
AG_FPA_COMM.,"Indicator of Food Price Anomalies (IFPA), by type of product",Total,AG_FPA_COMM,"Indicator of Food Price Anomalies (IFPA), by type of product",AG_FPA_COMM@PRODUCT--CPC2_1_111,"Indicator of Food Price Anomalies (IFPA), by type of product [Type of product = Wheat]"
AG_FPA_COMM.,"Indicator of Food Price Anomalies (IFPA), by type of product",Type of product = Maize,AG_FPA_COMM,"Indicator of Food Price Anomalies (IFPA), by type of product",AG_FPA_COMM@PRODUCT--CPC2_1_112,"Indicator of Food Price Anomalies (IFPA), by type of product [Type of product = Maize]"
AG_FPA_COMM.,"Indicator of Food Price Anomalies (IFPA), by type of product",Type of product = Rice,AG_FPA_COMM,"Indicator of Food Price Anomalies (IFPA), by type of product",AG_FPA_COMM@PRODUCT--CPC2_1_113,"Indicator of Food Price Anomalies (IFPA), by type of product [Type of product = Rice]"
AG_FPA_COMM.,"Indicator of Food Price Anomalies (IFPA), by type of product",Type of product = Sorghum,AG_FPA_COMM,"Indicator of Food Price Anomalies (IFPA), by type of product",AG_FPA_COMM@PRODUCT--CPC2_1_114,"Indicator of Food Price Anomalies (IFPA), by type of product [Type of product = Sorghum]"
AG_FPA_COMM.,"Indicator of Food Price Anomalies (IFPA), by type of product",Type of product = Millet,AG_FPA_COMM,"Indicator of Food Price Anomalies (IFPA), by type of product",AG_FPA_COMM@PRODUCT--CPC2_1_118,"Indicator of Food Price Anomalies (IFPA), by type of product [Type of product = Millet]"
AG_FPA_HMFP.,"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies (%)",Total,AG_FPA_HMFP,"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies (%)",AG_FPA_HMFP@SEVERITY_OF_PRICE_LEVELS--SPL_A,"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies (%) [Severity of price levels = Abnormal: High food prices]"
AG_FPA_HMFP.,"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies (%)",Severity of price levels = Moderate: Moderately high food prices,AG_FPA_HMFP,"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies (%)",AG_FPA_HMFP@SEVERITY_OF_PRICE_LEVELS--SPL_M,"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies (%) [Severity of price levels = Moderate: Moderately high food prices]"
AG_LND_AGRBIO.,Proportion of agricultural land area that has achieved an acceptable or desirable level of use of agro-biodiversity supportive practices (%),,AG_LND_AGRBIO,Proportion of agricultural land area that has achieved an acceptable or desirable level of use of agro-biodiversity supportive practices (%),AG_LND_AGRBIO,Proportion of agricultural land area that has achieved an acceptable or desirable level of use of agro-biodiversity supportive practices (%)
AG_LND_AGRWAG.,Proportion of agricultural land area that has achieved an acceptable or desirable level of wage rate in agriculture (%),,AG_LND_AGRWAG,Proportion of agricultural land area that has achieved an acceptable or desirable level of wage rate in agriculture (%),AG_LND_AGRWAG,Proportion of agricultural land area that has achieved an acceptable or desirable level of wage rate in agriculture (%)
AG_LND_DGRD.,Proportion of land that is degraded over total land area (%),,AG_LND_DGRD,Proportion of land that is degraded over total land area (%),AG_LND_DGRD,Proportion of land that is degraded over total land area (%)
AG_LND_FERTMG.,Proportion of agricultural land area that has achieved an acceptable or desirable level of management of fertilizers (%),,AG_LND_FERTMG,Proportion of agricultural land area that has achieved an acceptable or desirable level of management of fertilizers (%),AG_LND_FERTMG,Proportion of agricultural land area that has achieved an acceptable or desirable level of management of fertilizers (%)
AG_LND_FIES.,Proportion of agricultural land area that has achieved an acceptable or desirable level of food security (%),,AG_LND_FIES,Proportion of agricultural land area that has achieved an acceptable or desirable level of food security (%),AG_LND_FIES,Proportion of agricultural land area that has achieved an acceptable or desirable level of food security (%)
AG_LND_FOVH.,Proportion of agricultural land area that has achieved an acceptable or desirable level of farm output value per hectare (%),,AG_LND_FOVH,Proportion of agricultural land area that has achieved an acceptable or desirable level of farm output value per hectare (%),AG_LND_FOVH,Proportion of agricultural land area that has achieved an acceptable or desirable level of farm output value per hectare (%)
AG_LND_FRST.,Forest area as a proportion of total land area (%),,AG_LND_FRST,Forest area as a proportion of total land area (%),AG_LND_FRST,Forest area as a proportion of total land area (%)
AG_LND_FRSTBIOPHA.,Above-ground biomass in forest (tonnes per hectare),,AG_LND_FRSTBIOPHA,Above-ground biomass in forest (tonnes per hectare),AG_LND_FRSTBIOPHA,Above-ground biomass in forest (tonnes per hectare)
AG_LND_FRSTCERT.,Forest area under an independently verified forest management certification scheme (thousands of hectares),,AG_LND_FRSTCERT,Forest area under an independently verified forest management certification scheme (thousands of hectares),AG_LND_FRSTCERT,Forest area under an independently verified forest management certification scheme (thousands of hectares)
AG_LND_FRSTCHG.,Annual forest area change rate (%),,AG_LND_FRSTCHG,Annual forest area change rate (%),AG_LND_FRSTCHG,Annual forest area change rate (%)
AG_LND_FRSTMGT.,Proportion of forest area with a long-term management plan (%),,AG_LND_FRSTMGT,Proportion of forest area with a long-term management plan (%),AG_LND_FRSTMGT,Proportion of forest area with a long-term management plan (%)
AG_LND_FRSTN.,Forest area (thousands of hectares),,AG_LND_FRSTN,Forest area (thousands of hectares),AG_LND_FRSTN,Forest area (thousands of hectares)
AG_LND_FRSTPRCT.,Proportion of forest area within legally established protected areas (%),,AG_LND_FRSTPRCT,Proportion of forest area within legally established protected areas (%),AG_LND_FRSTPRCT,Proportion of forest area within legally established protected areas (%)
AG_LND_H2OAVAIL.,Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability (%),,AG_LND_H2OAVAIL,Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability (%),AG_LND_H2OAVAIL,Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability (%)
AG_LND_LNDSTR.,Proportion of agricultural land area that has achieved an acceptable or desirable level of secure tenure rights to agricultural land (%),,AG_LND_LNDSTR,Proportion of agricultural land area that has achieved an acceptable or desirable level of secure tenure rights to agricultural land (%),AG_LND_LNDSTR,Proportion of agricultural land area that has achieved an acceptable or desirable level of secure tenure rights to agricultural land (%)
AG_LND_NFI.,Proportion of agricultural land area that has achieved an acceptable or desirable level of net farm income (%),,AG_LND_NFI,Proportion of agricultural land area that has achieved an acceptable or desirable level of net farm income (%),AG_LND_NFI,Proportion of agricultural land area that has achieved an acceptable or desirable level of net farm income (%)
AG_LND_PSTCDSMG.,Proportion of agricultural land area that has achieved an acceptable or desirable level of management of pesticides (%),,AG_LND_PSTCDSMG,Proportion of agricultural land area that has achieved an acceptable or desirable level of management of pesticides (%),AG_LND_PSTCDSMG,Proportion of agricultural land area that has achieved an acceptable or desirable level of management of pesticides (%)
AG_LND_RMM.,Proportion of agricultural land area that has achieved an acceptable or desirable level of risk mitigation mechanisms (%),,AG_LND_RMM,Proportion of agricultural land area that has achieved an acceptable or desirable level of risk mitigation mechanisms (%),AG_LND_RMM,Proportion of agricultural land area that has achieved an acceptable or desirable level of risk mitigation mechanisms (%)
AG_LND_SDGRD.,Proportion of agricultural land area that has achieved an acceptable or desirable level of soil degradation (%),,AG_LND_SDGRD,Proportion of agricultural land area that has achieved an acceptable or desirable level of soil degradation (%),AG_LND_SDGRD,Proportion of agricultural land area that has achieved an acceptable or desirable level of soil degradation (%)
AG_LND_SUST.,Proportion of agricultural area under productive and sustainable agriculture (%),,AG_LND_SUST,Proportion of agricultural area under productive and sustainable agriculture (%),AG_LND_SUST,Proportion of agricultural area under productive and sustainable agriculture (%)
AG_LND_TOTL.,Land area (thousands of hectares),,AG_LND_TOTL,Land area (thousands of hectares),AG_LND_TOTL,Land area (thousands of hectares)
AG_PRD_AGVAS.,Agriculture value added share of GDP (%),,AG_PRD_AGVAS,Agriculture value added share of GDP (%),AG_PRD_AGVAS,Agriculture value added share of GDP (%)
AG_PRD_FIESMS.,Prevalence of moderate or severe food insecurity (%),,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%),AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity (%)
AG_PRD_FIESMSN.,Number of moderately or severely food insecure people (thousands of people),,AG_PRD_FIESMSN,Number of moderately or severely food insecure people (thousands of people),AG_PRD_FIESMSN,Number of moderately or severely food insecure people (thousands of people)
AG_PRD_ORTIND.,Agriculture orientation index for government expenditures,,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,AG_PRD_ORTIND,Agriculture orientation index for government expenditures
AG_PRD_XSUBDY.,Agricultural export subsidies (millions of current United States dollars),,AG_PRD_XSUBDY,Agricultural export subsidies (millions of current United States dollars),AG_PRD_XSUBDY,Agricultural export subsidies (millions of current United States dollars)
AG_XPD_AGSGB.,Agriculture share of Government Expenditure (%),,AG_XPD_AGSGB,Agriculture share of Government Expenditure (%),AG_XPD_AGSGB,Agriculture share of Government Expenditure (%)
BN_CAB_XOKA_GD_ZS.,Current account balance as a proportion of GDP (%),,BN_CAB_XOKA_GD_ZS,Current account balance as a proportion of GDP (%),BN_CAB_XOKA_GD_ZS,Current account balance as a proportion of GDP (%)
BN_KLT_PTXL_CD.,"Portfolio investment, net (Balance of Payments, current United States dollars)",,BN_KLT_PTXL_CD,"Portfolio investment, net (Balance of Payments, current United States dollars)",BN_KLT_PTXL_CD,"Portfolio investment, net (Balance of Payments, current United States dollars)"
BX_KLT_DINV_WD_GD_ZS.,"Foreign direct investment, net inflows, as a proportion of GDP (%)",,BX_KLT_DINV_WD_GD_ZS,"Foreign direct investment, net inflows, as a proportion of GDP (%)",BX_KLT_DINV_WD_GD_ZS,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
BX_TRF_PWKR.,Volume of remittances (in United States dollars) as a proportion of total GDP (%),,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%)
DC_ENVTECH_EXP.,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),,DC_ENVTECH_EXP,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),DC_ENVTECH_EXP,Amount of tracked exported Environmentally Sound Technologies (current United States dollars)
