GROUPING ID,GROUPING DESCRIPTION,Variable Legend,SELECT,DISPLAY,POPULATION_TYPE,VARIABLE,SERIES,SERIES_Name
EAR_4MMN_NB.001,Monthly minimum wage in local currency,Local currency,DROP,,ILO_EAR_4MMN_NB,ilo/EAR_4MMN_NB.CURRENCY--CUR_TYPE_LCU,EAR_4MMN_NB,Monthly minimum wage 
EAR_4MMN_NB.002,"Monthly minimum wage in constant US-dollars at purchasing-power-parity exchange rate,  2017",2017 PPP $,,,ILO_EAR_4MMN_NB,ilo/EAR_4MMN_NB.CURRENCY--CUR_TYPE_PPP,EAR_4MMN_NB,Monthly minimum wage 
EAR_4MMN_NB.003,Monthly minimum wage in US dollars,U.S. dollars,,,ILO_EAR_4MMN_NB,ilo/EAR_4MMN_NB.CURRENCY--CUR_TYPE_USD,EAR_4MMN_NB,Monthly minimum wage 
EAR_XTLP_RT.001,Low pay rate,Total,,,ILO_EAR_XTLP_RT,ilo/EAR_XTLP_RT,EAR_XTLP_RT,Low pay rate
EAR_XTLP_RT.002,Low pay rate by Sex,Female,,,ILO_EAR_XTLP_RT,ilo/EAR_XTLP_RT.SEX--F,EAR_XTLP_RT,Low pay rate 
EAR_XTLP_RT.002,Low pay rate by Sex,Male,,,ILO_EAR_XTLP_RT,ilo/EAR_XTLP_RT.SEX--M,EAR_XTLP_RT,Low pay rate 
EES_XTMP_RT.001,Share of temporary employees,Total,,,ILO_EES_XTMP_RT,ilo/EES_XTMP_RT,EES_XTMP_RT,Share of temporary employees
EES_XTMP_RT.002,Share of temporary employees by Sex,Female,,,ILO_EES_XTMP_RT,ilo/EES_XTMP_RT.SEX--F,EES_XTMP_RT,Share of temporary employees 
EES_XTMP_RT.002,Share of temporary employees by Sex,Male,,,ILO_EES_XTMP_RT,ilo/EES_XTMP_RT.SEX--M,EES_XTMP_RT,Share of temporary employees 
EIP_5EET_NB.001,"Youth not in employment, education or training (NEET) according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS)",Total,,,ILO_EIP_5EET_NB,ilo/EIP_5EET_NB,EIP_5EET_NB,"Youth not in employment, education or training (NEET) according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS)"
EIP_5EET_NB.002,"Youth not in employment, education or training (NEET) according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Sex",Female,,,ILO_EIP_5EET_NB,ilo/EIP_5EET_NB.SEX--F,EIP_5EET_NB,"Youth not in employment, education or training (NEET) according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5EET_NB.002,"Youth not in employment, education or training (NEET) according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Sex",Male,,,ILO_EIP_5EET_NB,ilo/EIP_5EET_NB.SEX--M,EIP_5EET_NB,"Youth not in employment, education or training (NEET) according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5EET_RT.001,"Share of youth not in employment, education or training (NEET), according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS)",Total,,,ILO_EIP_5EET_RT,ilo/EIP_5EET_RT,EIP_5EET_RT,"Share of youth not in employment, education or training (NEET), according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS)"
EIP_5EET_RT.002,"Share of youth not in employment, education or training (NEET), according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Sex",Female,,,ILO_EIP_5EET_RT,ilo/EIP_5EET_RT.SEX--F,EIP_5EET_RT,"Share of youth not in employment, education or training (NEET), according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
EIP_5EET_RT.002,"Share of youth not in employment, education or training (NEET), according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) by Sex",Male,,,ILO_EIP_5EET_RT,ilo/EIP_5EET_RT.SEX--M,EIP_5EET_RT,"Share of youth not in employment, education or training (NEET), according to standards adopted at the 19th International Conference of Labour Statisticians (ICLS) "
