,GROUPING ID,GROUPING DESCRIPTION,Variable Legend,SELECT,SERIES_CODE,SERIES_DESCRIPTION,VARIABLE_CODE,VARIABLE_DESCRIPTION,Node
,,,,Do not display in country pages,AG_FPA_HMFP,"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies (%)",AG_FPA_HMFP,"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies",dcid:sdg/AG_FPA_HMFP
,,,,Do not display in country pages,AG_FPA_HMFP,"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies (%)",AG_FPA_HMFP@SEVERITY_OF_PRICE_LEVELS--SPL_A,"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies [Severity of price levels = Abnormal: High food prices]",dcid:sdg/AG_FPA_HMFP.SEVERITY_OF_PRICE_LEVELS--SPL_A
,,,,Do not display in country pages,AG_FPA_HMFP,"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies (%)",AG_FPA_HMFP@SEVERITY_OF_PRICE_LEVELS--SPL_M,"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies [Severity of price levels = Moderate: Moderately high food prices]",dcid:sdg/AG_FPA_HMFP.SEVERITY_OF_PRICE_LEVELS--SPL_M
,,,,Do not display in country pages,EN_ADAP_COM,Number of countries with adaptation communications (Number),EN_ADAP_COM@REPORT_ORDINAL--RO_FIRST,Number of countries with adaptation communications [First ordinal],dcid:sdg/EN_ADAP_COM.REPORT_ORDINAL--RO_FIRST
,,,,Do not display in country pages,EN_ADAP_COM,Number of countries with adaptation communications (Number),EN_ADAP_COM@REPORT_ORDINAL--RO_SECOND,Number of countries with adaptation communications [Second ordinal],dcid:sdg/EN_ADAP_COM.REPORT_ORDINAL--RO_SECOND
,,,,Do not display in country pages,EN_ADAP_COM_DV,Number of least developed countries and small island developing States with adaptation communications (Number),EN_ADAP_COM_DV@REPORT_ORDINAL--RO_FIRST,Number of least developed countries and small island developing States with adaptation communications [First ordinal],dcid:sdg/EN_ADAP_COM_DV.REPORT_ORDINAL--RO_FIRST
,,,,Do not display in country pages,EN_BIUREP_AIP,"Number of countries with biennial reports, Annex I Parties (Number)",EN_BIUREP_AIP@REPORT_ORDINAL--RO_FIFTH,"Number of countries with biennial reports, Annex I Parties [Fifth ordinal]",dcid:sdg/EN_BIUREP_AIP.REPORT_ORDINAL--RO_FIFTH
,,,,Do not display in country pages,EN_BIUREP_NAIP,"Number of countries with biennial update reports, non-Annex I Parties (Number)",EN_BIUREP_NAIP@REPORT_ORDINAL--RO_FIFTH,"Number of countries with biennial update reports, non-Annex I Parties [Fifth ordinal]",dcid:sdg/EN_BIUREP_NAIP.REPORT_ORDINAL--RO_FIFTH
,,,,Do not display in country pages,EN_BIUREP_NAIP,"Number of countries with biennial update reports, non-Annex I Parties (Number)",EN_BIUREP_NAIP@REPORT_ORDINAL--RO_FIRST,"Number of countries with biennial update reports, non-Annex I Parties [First ordinal]",dcid:sdg/EN_BIUREP_NAIP.REPORT_ORDINAL--RO_FIRST
,,,,Do not display in country pages,EN_BIUREP_NAIP,"Number of countries with biennial update reports, non-Annex I Parties (Number)",EN_BIUREP_NAIP@REPORT_ORDINAL--RO_FOURTH,"Number of countries with biennial update reports, non-Annex I Parties [Fourth ordinal]",dcid:sdg/EN_BIUREP_NAIP.REPORT_ORDINAL--RO_FOURTH
