dcid,sentence
dcid,sentence
dc/topic/ILOEAP5EAPNB,Labour Force current ILO Definition
dc/topic/ILOEAP5WAPRT,Labour Force Participation Rate current ILO Definition
dc/topic/ILOEAPDWA1RT,Labour Force Participation Rate seasonally Adjusted Series
dc/topic/ILOEAPDWAPRT,Labour Force Participation Rate previous ILO Definition
dc/topic/ILOEAPTEA1NB,Labour Force seasonally Adjusted Series
dc/topic/ILOEAPTEAPNB,Labour Force previous ILO Definition
dc/topic/ILOEAR4HRLNBPPP,Average Hourly Earnings of Employees
dc/topic/ILOEAR4HRLNBUSD,Average Hourly Earnings of Employees
dc/topic/ILOEAR4MTHNBPPP,Average Monthly Earnings of Employees
dc/topic/ILOEAR4MTHNBUSD,Average Monthly Earnings of Employees
dc/topic/ILOEARGGAPRT,Gender Pay Gap
dc/topic/ILOEARXTLPRT,Low Pay Rate
dc/topic/ILOEESTEESNB,Number of Employees
dc/topic/ILOEESXPLVRT,Share of Employees With Access To Parental Leave
dc/topic/ILOEESXTMPRT,Share of Temporary Employees
dc/topic/ILOEIP5EETNB,"Youth Not in Employment, Education or Training NEET current ILO Definition"
dc/topic/ILOEIP5EETRT,"Share of Youth Not in Employment, Education or Training NEET current ILO Definition"
dc/topic/ILOEIP5EIPNB,Persons Outside The Labour Force current ILO Definition
dc/topic/ILOEIP5PLFNB,Potential Labour Force current ILO Definition
dc/topic/ILOEIP5WAPRT,Inactivity Rate current ILO Definition
dc/topic/ILOEIPDWAPRT,Inactivity Rate previous ILO Definition
dc/topic/ILOEIPNEETNB,"Youth Not in Employment, Education or Training NEET previous ILO Definition"
dc/topic/ILOEIPNEETRT,"Share of Youth Not in Employment, Education or Training NEET previous ILO Definition"
dc/topic/ILOEIPTEIPNB,Persons Outside The Labour Force previous ILO Definition
dc/topic/ILOEIPWDISNB,Number of Discouraged Job-seekers
dc/topic/ILOEIPWPLFNB,Potential Labour Force previous ILO Definition
dc/topic/ILOEMP5EMPNB,Employment current ILO Definition
dc/topic/ILOEMP5NIFNB,Informal Employment current ILO Definition
dc/topic/ILOEMP5NIFRT,Informal Employment Rate current ILO Definition
dc/topic/ILOEMP5PIFNB,Employment Outside The Formal Sector current ILO Definition
dc/topic/ILOEMP5PIFRT,Share of Employment Outside The Formal Sector current ILO Definition
dc/topic/ILOEMP5WAPRT,Employment-to-population Ratio current ILO Definition
dc/topic/ILOEMPCARENB,Care Employment
dc/topic/ILOEMPCNIFRT,Informal Care Employment Rate
dc/topic/ILOEMPCPIFRT,Share of Care Employment Outside The Formal Sector
dc/topic/ILOEMPDWA1RT,"Employment-to-population Ratio, Seasonally Adjusted Series"
dc/topic/ILOEMPDWAPRT,Employment-to-population Ratio previous ILO Definition
dc/topic/ILOEMPNIFLNB,Informal Employment previous ILO Definition
