SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Adult_curr_cig_smokers_female,dcid:country/AFG,2019,1.2
dcs:who/Adult_curr_cig_smokers_male,dcid:country/AFG,2019,13.4
dcs:who/Adult_curr_cig_smokers,dcid:country/AFG,2019,7.5
dcs:who/Adult_curr_cig_smokers_female,dcid:country/AGO,2016,1.8
dcs:who/Adult_curr_cig_smokers_male,dcid:country/AGO,2016,14.3
dcs:who/Adult_curr_cig_smokers_female,dcid:country/ALB,2018,4.5
dcs:who/Adult_curr_cig_smokers_male,dcid:country/ALB,2018,35.7
dcs:who/Adult_curr_cig_smokers_male,dcid:country/ARE,2018,11.1
dcs:who/Adult_curr_cig_smokers_female,dcid:country/ARE,2018,1.6
dcs:who/Adult_curr_cig_smokers,dcid:country/ARE,2018,6.3
dcs:who/Adult_curr_cig_smokers_male,dcid:country/ARG,2018,26.1
dcs:who/Adult_curr_cig_smokers,dcid:country/ARG,2018,22.2
dcs:who/Adult_curr_cig_smokers_female,dcid:country/ARG,2018,18.6
dcs:who/Adult_curr_cig_smokers_male,dcid:country/ARM,2016,48.5
dcs:who/Adult_curr_cig_smokers_female,dcid:country/ARM,2016,1.7
dcs:who/Adult_curr_cig_smokers,dcid:country/ARM,2016,26.2
dcs:who/Adult_curr_cig_smokers_female,dcid:country/AUT,2020,22.9
dcs:who/Adult_curr_cig_smokers_male,dcid:country/AUT,2020,24.4
dcs:who/Adult_curr_cig_smokers,dcid:country/AUT,2020,23.7
dcs:who/Adult_curr_cig_smokers_female,dcid:country/BDI,2017,1.1
dcs:who/Adult_curr_cig_smokers_male,dcid:country/BDI,2017,13.6
dcs:who/Adult_curr_cig_smokers_female,dcid:country/BEN,2018,1.4
dcs:who/Adult_curr_cig_smokers_male,dcid:country/BEN,2018,6.9
dcs:who/Adult_curr_cig_smokers,dcid:country/BIH,2012,33.2
dcs:who/Adult_curr_cig_smokers_female,dcid:country/BIH,2012,27.1
dcs:who/Adult_curr_cig_smokers_male,dcid:country/BIH,2012,39.3
dcs:who/Adult_curr_cig_smokers_male,dcid:country/BOL,2019,21.4
dcs:who/Adult_curr_cig_smokers,dcid:country/BOL,2019,12.1
dcs:who/Adult_curr_cig_smokers_female,dcid:country/BOL,2019,3.3
dcs:who/Adult_curr_cig_smokers_female,dcid:country/BRB,2012,2.4
dcs:who/Adult_curr_cig_smokers,dcid:country/BTN,2019,10
dcs:who/Adult_curr_cig_smokers_female,dcid:country/BTN,2019,3.4
