chapter_title,chapter,section,text,note,glossary
,intro,1,More are coming.,,
,intro,2,"Despite that reality, ¶industrialised countries¶ — historically the world’s largest carbon emitters — are doing too little to help climate-vulnerable countries prepare for a climate-changed future. Adding insult to injury, these high-income countries make it incredibly difficult to accurately track how much money they’re actually contributing and where it’s being spent. That’s because reporting has been confusing, slow, and imprecise.",,"[""Countries where industrial production is a large share of economic activity or gross domestic product (GDP). For example, the US, Australia or France.""]"
,intro,2,"As a result, no one knows with certainty how much actual climate finance has been committed, much less delivered.",,
,intro,3,"To change that, we’ve launched The Climate Finance Files. They reveal in unprecedented detail how much governments and international institutions are spending to support climate-vulnerable countries.",The Files apply a robust methodology to correct flaws in the existing data,
,intro,3,Spoiler: They are spending far less than they claim. And orders of magnitude less than what’s needed.,,
Welcome to the climate finance “Wild West”,messy data,4,Climate finance accounting is a mess. You get different numbers wherever you look.,,
Welcome to the climate finance “Wild West”,messy data,4,"That’s because donor countries and international financial institutions (we’ll refer to them as “providers”) decide for themselves what is and isn’t climate finance. There are no standardised reporting rules, guidelines, or definitions that apply across all providers. So depending on who’s counting, you can get drastically different numbers.",,
Welcome to the climate finance “Wild West”,messy data,5,"Data reported to the Organisation for Economic Co-operation and Development (OECD), which tracks and reports official flows like ¶0aid¶, uses the ¶1Rio Markers¶ to track climate finance in the Climate-related ¶2Development Finance dataset¶. That approach <a href=""https://www.oecd.org/development/financing-sustainable-development/development-finance-topics/climate-change.htm"" target=""_blank"">counts all projects</a> that have a climate component — regardless of how small — as 100% climate finance. You don’t need a maths degree to guess what happens: significantly inflated climate finance numbers.",,"[""Also known as Official Development Assistance (ODA): money to support the economic development and welfare of developing countries."", ""A marker is a way to flag projects that support a policy objective (in this case climate change)"", ""Not to be confused with the OECD report tracking progress toward the $100 billion pledge""]"
Welcome to the climate finance “Wild West”,messy data,5,"Data reported to the United Nations Framework Convention on Climate Change (UNFCCC) — the official body tasked with collecting the data — is meant to reduce overcounting. But as the chart below shows, providers’ reporting methodologies vary significantly, and only a few countries attempt to count and report the actual climate portion of a project. Most providers start with the Rio Markers and either count 100% of the project costs (if climate is its main purpose) or count a fixed percentage, for instance, 40% or 50% (if climate is one, but not the main, purpose). That means 40% (and sometimes more) of a project’s cost could be counted as climate, even if there is only a small focus on climate change.",,
Welcome to the climate finance “Wild West”,messy data,6,"Those decisions can substantially impact climate finance figures. To illustrate, we apply the methodologies that Germany and Switzerland use to a randomly selected bundle of projects reported by the UK to the UNFCCC. For the same projects, Germany would report one-third less in climate finance than the UK reports. Switzerland would report 21% less.",,
Welcome to the climate finance “Wild West”,messy data,6,"If reported to the OECD using the Rio Markers, meanwhile, the total would be inflated by 50%.",,
Welcome to the climate finance “Wild West”,messy data,7,"It gets worse. ¶No one is providing¶ clear reporting on how much of this money actually gets spent (ahem, until now that is. More on that below).",,"[""This isn't for lack of trying by many well-intentioned people.""]"
Welcome to the climate finance “Wild West”,messy data,7,"The current climate finance reporting system suffers from many other flaws: Messy data, like grouping recipient countries together, using the wrong currency, and stating billions instead of millions. A lack of timely reporting — some data gets published <a href=""https://www.oecd-ilibrary.org/docserver/e20d2bc7-en.pdf?expires=1700703529&id=id&accname=guest&checksum=5676CCEB856EFC926D4DD8E42DAD6FEA"" target=""_blank"">four years later</a>! And wildly confusing methods for tracking spending via multilateral institutions. There are too many flaws to detail them all here (which is why we wrote this more in-depth piece). But they make climate finance reported to the UNFCCC and OECD incomplete, misleading, and incomparable.",,
Welcome to the climate finance “Wild West”,messy data,8,"The lack of standardised reporting rules invariably results in other forms of <a href=""https://www.reuters.com/investigates/special-report/climate-change-finance/"" target=""_blank""> creative accounting</a>. Should financing a coal-fired power plant be considered climate finance? If you’re Japan, the answer is <a href=""https://www.reuters.com/graphics/CLIMATE-CHANGE/FINANCE/gdvzqlyjqpw/"" target=""_blank"">repeatedly yes</a>. Should financing a hotel? The US <a href=""https://www.reuters.com/graphics/CLIMATE-CHANGE/FINANCE/gdvzqlyjqpw/"" target=""_blank"">thinks so</a>. A chocolate shop? If you’re shaking your head no, Italy <a href=""https://www.reuters.com/graphics/CLIMATE-CHANGE/FINANCE/gdvzqlyjqpw/"" target=""_blank"">would like a word</a>. What about championing the use of natural gas (Japan and US), outfitting police (Italy), or fighting terrorism (the EU and Italy)? ",,
Welcome to the climate finance “Wild West”,messy data,8,"<a href=""https://www.bloomberg.com/news/articles/2023-09-21/sunak-will-widen-climate-aid-definition-to-meet-target-more-cheaply?leadSource=uverify%20wall"" target=""_blank"">A UK announcement</a> in October 2023 perfectly illustrates the absurdity of letting providers decide what counts toward their climate finance targets, with no standardised process or oversight. The UK plans to broaden its definition of climate finance so it can take credit for providing more climate finance — <b>without actually providing any more money</b>.",,
