dcid,Name,Description,Override_Alternatives,Curated_Alternatives
AirQualityIndex_AirPollutant_CO,Air Quality Index: Carbon Monoxide,,,
AirQualityIndex_AirPollutant_NO2,Air Quality Index: Nitrogen Dioxide,,,
AirQualityIndex_AirPollutant_Ozone,Air Quality Index: Ozone,,,
AirQualityIndex_AirPollutant_PM10,Air Quality Index: PM 10,,,
AirQualityIndex_AirPollutant_PM2.5,Air Quality Index: PM 2.5,,,
AirQualityIndex_AirPollutant_SO2,Air Quality Index: Sulfur Dioxide,,,
Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy,Amount of Consumption: Renewable Energy (As Fraction of Amount Consumption Energy),Annual Consumption Of Renewable Energy,,
Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government,"Amount of Economic Activity: Expenditure Activity, Tertiary Education Expenditure, Government (As Fraction of Amount Economic Activity Expenditure Activity Education Expenditure Government)",Percent of Government Expenditure on Tertiary Education,,
Amount_EconomicActivity_GrossDomesticProduction_Nominal_AsAFractionOf_Count_Person,Amount of Economic Activity (Nominal): Gross Domestic Production (Per Capita),Nominal Gross Domestic Production in Population,,
Amount_EconomicActivity_GrossDomesticProduction_RealValue,Amount of Economic Activity (Real Value): Gross Domestic Production,Gross Domestic Production,,
Amount_EconomicActivity_GrossValueAdded_ISICAgricultureHuntingForestryFishing_RealValue,"Amount of Economic Activity (Real Value): Gross Value Added, Agriculture, Hunting, Forestry, Fishing",Gross Value Added in Agriculture Hunting and Forestry Fishing Industry,,
Amount_EconomicActivity_GrossValueAdded_ISICConstruction_RealValue,"Amount of Economic Activity (Real Value): Gross Value Added, Construction",Gross Value Added in Construction Industry,,
Amount_EconomicActivity_GrossValueAdded_ISICManufacturing_RealValue,"Amount of Economic Activity (Real Value): Gross Value Added, Manufacturing",Gross Value Added in Manufacturing Industry,,
Amount_EconomicActivity_GrossValueAdded_ISICMiningManufacturingUtilities_RealValue,"Amount of Economic Activity (Real Value): Gross Value Added, Mining, Manufacturing, Utilities","Gross Value Added in Mining, Manufacturing and Utilities Industry",,
Amount_EconomicActivity_GrossValueAdded_ISICOtherActivities_RealValue,"Amount of Economic Activity (Real Value): Gross Value Added, Other Activities",Gross Value Added in Other Activities Industry,,
Amount_EconomicActivity_GrossValueAdded_ISICTransportStorageCommunications_RealValue,"Amount of Economic Activity (Real Value): Gross Value Added, Transport, Storage And Communications","Gross Value Added in Transport, Storage and Communications Industry",,
Amount_EconomicActivity_GrossValueAdded_ISICWholesaleRetailTradeRestaurantsHotels_RealValue,"Amount of Economic Activity (Real Value): Gross Value Added, Wholesale, Retail Trade, Restaurants And Hotels","Gross Value Added in Wholesale, Retail Trade, Restaurants and Hotels Industry",,
Amount_EconomicActivity_GrossValueAdded_RealValue,Amount of Economic Activity (Real Value): Gross Value Added,Real Gross Value Added,,
Amount_Emissions_CarbonDioxide_PerCapita,CO2 Emissions Per Capita,Total Emissions of Carbon Dioxide Per Capita,,
Amount_Production_ElectricityFromNuclearSources_AsFractionOf_Amount_Production_Energy,Amount of Production: Electricity From Nuclear Sources (As Fraction of Amount Production Energy),Amount of Production in Electricity From Nuclear Sources,,
Amount_Production_ElectricityFromOilGasOrCoalSources_AsFractionOf_Amount_Production_Energy,Amount of Production: Electricity From Oil Gas or Coal Sources (As Fraction of Amount Production Energy),Amount of Production of Electricity From Oil Gas Or Coal Sources As a Fraction of Amount Production Energy,,
Annual_Amount_Emissions_Acetaldehyde_SCC_1_ExternalCombustion,"Annual Amount Emissions Acetaldehyde, ExternalCombustion (1)",Annual Emissions of Acetaldehyde in External Combustion,,
Annual_Amount_Emissions_Acetaldehyde_SCC_2_InternalCombustionEngines,"Annual Amount Emissions Acetaldehyde, InternalCombustionEngines (2)",Annual Emissions of Acetaldehyde in Internal Combustion Engines,,
Annual_Amount_Emissions_Acetaldehyde_SCC_21_StationarySourceFuelCombustion,"Annual Amount Emissions Acetaldehyde, StationarySourceFuelCombustion (21)",Annual Emissions of Acetaldehyde in Stationary Source Fuel Combustion,,
Annual_Amount_Emissions_Acetaldehyde_SCC_22_MobileSources,"Annual Amount Emissions Acetaldehyde, MobileSources (22)",Annual Emissions of Acetaldehyde in Mobile Sources,,
Annual_Amount_Emissions_Acetaldehyde_SCC_23_IndustrialProcesses,"Annual Amount Emissions Acetaldehyde, IndustrialProcesses (23)",Annual Emissions of Acetaldehyde in Industrial Processes,,
Annual_Amount_Emissions_Acetaldehyde_SCC_24_SolventUtilization,"Annual Amount Emissions Acetaldehyde, SolventUtilization (24)",Annual Emissions of Acetaldehyde in Solvent Utilization,,
Annual_Amount_Emissions_Acetaldehyde_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual Amount Emissions Acetaldehyde, WasteDisposalTreatmentAndRecovery (26)",Annual Emissions of Acetaldehyde in Waste Disposal Treatment and Recovery,,
Annual_Amount_Emissions_Acetaldehyde_SCC_27_NaturalSources,"Annual Amount Emissions Acetaldehyde, NaturalSources (27)",Annual Emissions of Acetaldehyde in Natural Sources,,
Annual_Amount_Emissions_Acetaldehyde_SCC_28_MiscellaneousAreaSources,"Annual Amount Emissions Acetaldehyde, MiscellaneousAreaSources (28)",Annual Emissions of Acetaldehyde in Miscellaneous Area Sources,,
Annual_Amount_Emissions_Acetaldehyde_SCC_3_IndustrialProcesses,"Annual Amount Emissions Acetaldehyde, IndustrialProcesses (3)",Annual Emissions of Acetaldehyde in Industrial Processes,,
Annual_Amount_Emissions_Acetaldehyde_SCC_4_PetroleumAndSolventEvaporation,"Annual Amount Emissions Acetaldehyde, PetroleumAndSolventEvaporation (4)",Annual Emissions of Acetaldehyde in Petroleum and Solvent Evaporation,,
Annual_Amount_Emissions_Acetaldehyde_SCC_5_WasteDisposal,"Annual Amount Emissions Acetaldehyde, WasteDisposal (5)",Annual Emissions of Acetaldehyde in Waste Disposal,,
Annual_Amount_Emissions_Ammonia_SCC_1_ExternalCombustion,"Annual Amount Emissions Ammonia, ExternalCombustion (1)",Annual Emissions of Ammonia in External Combustion,,
Annual_Amount_Emissions_Ammonia_SCC_2_InternalCombustionEngines,"Annual Amount Emissions Ammonia, InternalCombustionEngines (2)",Annual Emissions of Ammonia in Internal Combustion Engines,,
Annual_Amount_Emissions_Ammonia_SCC_21_StationarySourceFuelCombustion,"Annual Amount Emissions Ammonia, StationarySourceFuelCombustion (21)",Annual Emissions of Ammonia in Stationary Source Fuel Combustion,,
Annual_Amount_Emissions_Ammonia_SCC_22_MobileSources,"Annual Amount Emissions Ammonia, MobileSources (22)",Annual Emissions of Ammonia in Mobile Sources,,
Annual_Amount_Emissions_Ammonia_SCC_23_IndustrialProcesses,"Annual Amount Emissions Ammonia, IndustrialProcesses (23)",Annual Emissions of Ammonia in Industrial Processes,,
Annual_Amount_Emissions_Ammonia_SCC_24_SolventUtilization,"Annual Amount Emissions Ammonia, SolventUtilization (24)",Annual Emissions of Ammonia in Solvent Utilization,,
Annual_Amount_Emissions_Ammonia_SCC_25_StorageAndTransport,"Annual Amount Emissions Ammonia, StorageAndTransport (25)",Annual Emissions of Ammonia in Storage and Transport,,
Annual_Amount_Emissions_Ammonia_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual Amount Emissions Ammonia, WasteDisposalTreatmentAndRecovery (26)",Annual Emissions of Ammonia in Waste Disposal Treatment and Recovery,,
Annual_Amount_Emissions_Ammonia_SCC_27_NaturalSources,"Annual Amount Emissions Ammonia, NaturalSources (27)",Annual Emissions of Ammonia in Natural Sources,,
Annual_Amount_Emissions_Ammonia_SCC_28_MiscellaneousAreaSources,"Annual Amount Emissions Ammonia, MiscellaneousAreaSources (28)",Annual Emissions of Ammonia in Miscellaneous Area Sources,,
Annual_Amount_Emissions_Ammonia_SCC_3_IndustrialProcesses,"Annual Amount Emissions Ammonia, IndustrialProcesses (3)",Annual Emissions of Ammonia in Industrial Processes,,
Annual_Amount_Emissions_Ammonia_SCC_4_PetroleumAndSolventEvaporation,"Annual Amount Emissions Ammonia, PetroleumAndSolventEvaporation (4)",Annual Emissions of Ammonia in Petroleum and Solvent Evaporation,,
Annual_Amount_Emissions_Ammonia_SCC_5_WasteDisposal,"Annual Amount Emissions Ammonia, WasteDisposal (5)",Annual Emissions of Ammonia in Waste Disposal,,
Annual_Amount_Emissions_Arsenic_SCC_1_ExternalCombustion,"Annual Amount Emissions Arsenic, ExternalCombustion (1)",Annual Emissions of Arsenic in External Combustion,,
Annual_Amount_Emissions_Arsenic_SCC_2_InternalCombustionEngines,"Annual Amount Emissions Arsenic, InternalCombustionEngines (2)",Annual Emissions of Arsenic in Internal Combustion Engines,,
Annual_Amount_Emissions_Arsenic_SCC_21_StationarySourceFuelCombustion,"Annual Amount Emissions Arsenic, StationarySourceFuelCombustion (21)",Annual Emissions of Arsenic in Stationary Source Fuel Combustion,,
Annual_Amount_Emissions_Arsenic_SCC_22_MobileSources,"Annual Amount Emissions Arsenic, MobileSources (22)",Annual Emissions of Arsenic in Mobile Sources,,
Annual_Amount_Emissions_Arsenic_SCC_23_IndustrialProcesses,"Annual Amount Emissions Arsenic, IndustrialProcesses (23)",Annual Emissions of Arsenic in Industrial Processes,,
Annual_Amount_Emissions_Arsenic_SCC_24_SolventUtilization,"Annual Amount Emissions Arsenic, SolventUtilization (24)",Annual Emissions of Arsenic in Solvent Utilization,,
Annual_Amount_Emissions_Arsenic_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual Amount Emissions Arsenic, WasteDisposalTreatmentAndRecovery (26)",Annual Emissions of Arsenic in Waste Disposal Treatment and Recovery,,
Annual_Amount_Emissions_Arsenic_SCC_28_MiscellaneousAreaSources,"Annual Amount Emissions Arsenic, MiscellaneousAreaSources (28)",Annual Emissions of Arsenic in Miscellaneous Area Sources,,
Annual_Amount_Emissions_Arsenic_SCC_3_IndustrialProcesses,"Annual Amount Emissions Arsenic, IndustrialProcesses (3)",Annual Emissions of Arsenic in Industrial Processes,,
Annual_Amount_Emissions_Arsenic_SCC_4_PetroleumAndSolventEvaporation,"Annual Amount Emissions Arsenic, PetroleumAndSolventEvaporation (4)",Annual Emissions of Arsenic in Petroleum and Solvent Evaporation,,
Annual_Amount_Emissions_Arsenic_SCC_5_WasteDisposal,"Annual Amount Emissions Arsenic, WasteDisposal (5)",Annual Emissions of Arsenic in Waste Disposal,,
Annual_Amount_Emissions_Asbestos_SCC_3_IndustrialProcesses,"Annual Amount Emissions Asbestos, IndustrialProcesses (3)",Annual Emissions of Asbestos in Industrial Processes,,
Annual_Amount_Emissions_Benzene_SCC_1_ExternalCombustion,"Annual Amount Emissions Benzene, ExternalCombustion (1)",Annual Emissions of Benzene in External Combustion,,
Annual_Amount_Emissions_Benzene_SCC_2_InternalCombustionEngines,"Annual Amount Emissions Benzene, InternalCombustionEngines (2)",Annual Emissions of Benzene in Internal Combustion Engines,,
Annual_Amount_Emissions_Benzene_SCC_21_StationarySourceFuelCombustion,"Annual Amount Emissions Benzene, StationarySourceFuelCombustion (21)",Annual Emissions of Benzene in Stationary Source Fuel Combustion,,
Annual_Amount_Emissions_Benzene_SCC_22_MobileSources,"Annual Amount Emissions Benzene, MobileSources (22)",Annual Emissions of Benzene in Mobile Sources,,
Annual_Amount_Emissions_Benzene_SCC_23_IndustrialProcesses,"Annual Amount Emissions Benzene, IndustrialProcesses (23)",Annual Emissions of Benzene in Industrial Processes,,
Annual_Amount_Emissions_Benzene_SCC_24_SolventUtilization,"Annual Amount Emissions Benzene, SolventUtilization (24)",Annual Emissions of Benzene in Solvent Utilization,,
Annual_Amount_Emissions_Benzene_SCC_25_StorageAndTransport,"Annual Amount Emissions Benzene, StorageAndTransport (25)",Annual Emissions of Benzene in Storage and Transport,,
Annual_Amount_Emissions_Benzene_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual Amount Emissions Benzene, WasteDisposalTreatmentAndRecovery (26)",Annual Emissions of Benzene in Waste Disposal Treatment and Recovery,,
Annual_Amount_Emissions_Benzene_SCC_28_MiscellaneousAreaSources,"Annual Amount Emissions Benzene, MiscellaneousAreaSources (28)",Annual Emissions of Benzene in Miscellaneous Area Sources,,
Annual_Amount_Emissions_Benzene_SCC_3_IndustrialProcesses,"Annual Amount Emissions Benzene, IndustrialProcesses (3)",Annual Emissions of Benzene in Industrial Processes,,
Annual_Amount_Emissions_Benzene_SCC_4_PetroleumAndSolventEvaporation,"Annual Amount Emissions Benzene, PetroleumAndSolventEvaporation (4)",Annual Emissions of Benzene in Petroleum and Solvent Evaporation,,
Annual_Amount_Emissions_Benzene_SCC_5_WasteDisposal,"Annual Amount Emissions Benzene, WasteDisposal (5)",Annual Emissions of Benzene in Waste Disposal,,
Annual_Amount_Emissions_Cadmium_SCC_1_ExternalCombustion,"Annual Amount Emissions Cadmium, ExternalCombustion (1)",Annual Emissions of Cadmium in External Combustion,,
Annual_Amount_Emissions_Cadmium_SCC_2_InternalCombustionEngines,"Annual Amount Emissions Cadmium, InternalCombustionEngines (2)",Annual Emissions of Cadmium in Internal Combustion Engines,,
Annual_Amount_Emissions_Cadmium_SCC_21_StationarySourceFuelCombustion,"Annual Amount Emissions Cadmium, StationarySourceFuelCombustion (21)",Annual Emissions of Cadmium in Stationary Source Fuel Combustion,,
Annual_Amount_Emissions_Cadmium_SCC_22_MobileSources,"Annual Amount Emissions Cadmium, MobileSources (22)",Annual Emissions of Cadmium in Mobile Sources,,
Annual_Amount_Emissions_Cadmium_SCC_23_IndustrialProcesses,"Annual Amount Emissions Cadmium, IndustrialProcesses (23)",Annual Emissions of Cadmium in Industrial Processes,,
Annual_Amount_Emissions_Cadmium_SCC_24_SolventUtilization,"Annual Amount Emissions Cadmium, SolventUtilization (24)",Annual Emissions of Cadmium in Solvent Utilization,,
Annual_Amount_Emissions_Cadmium_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual Amount Emissions Cadmium, WasteDisposalTreatmentAndRecovery (26)",Annual Emissions of Cadmium in Waste Disposal Treatment and Recovery,,
Annual_Amount_Emissions_Cadmium_SCC_28_MiscellaneousAreaSources,"Annual Amount Emissions Cadmium, MiscellaneousAreaSources (28)",Annual Emissions of Cadmium in Miscellaneous Area Sources,,
Annual_Amount_Emissions_Cadmium_SCC_3_IndustrialProcesses,"Annual Amount Emissions Cadmium, IndustrialProcesses (3)",Annual Emissions of Cadmium in Industrial Processes,,
Annual_Amount_Emissions_Cadmium_SCC_4_PetroleumAndSolventEvaporation,"Annual Amount Emissions Cadmium, PetroleumAndSolventEvaporation (4)",Annual Emissions of Cadmium in Petroleum and Solvent Evaporation,,
Annual_Amount_Emissions_Cadmium_SCC_5_WasteDisposal,"Annual Amount Emissions Cadmium, WasteDisposal (5)",Annual Emissions of Cadmium in Waste Disposal,,
Annual_Amount_Emissions_CarbonDioxide_SCC_1_ExternalCombustion,"Annual Amount Emissions Carbon Dioxide, ExternalCombustion (1)",Annual Emissions of Carbon Dioxide in External Combustion,,
Annual_Amount_Emissions_CarbonDioxide_SCC_2_InternalCombustionEngines,"Annual Amount Emissions Carbon Dioxide, InternalCombustionEngines (2)",Annual Emissions of Carbon Dioxide in Internal Combustion Engines,,
Annual_Amount_Emissions_CarbonDioxide_SCC_22_MobileSources,"Annual Amount Emissions Carbon Dioxide, MobileSources (22)",Annual Emissions of Carbon Dioxide in Mobile Sources,,
Annual_Amount_Emissions_CarbonDioxide_SCC_28_MiscellaneousAreaSources,"Annual Amount Emissions Carbon Dioxide, MiscellaneousAreaSources (28)",Annual Emissions of Carbon Dioxide in Miscellaneous Area Sources,,
Annual_Amount_Emissions_CarbonDioxide_SCC_3_IndustrialProcesses,"Annual Amount Emissions Carbon Dioxide, IndustrialProcesses (3)",Annual Emissions of Carbon Dioxide in Industrial Processes,,
Annual_Amount_Emissions_CarbonDioxide_SCC_4_PetroleumAndSolventEvaporation,"Annual Amount Emissions Carbon Dioxide, PetroleumAndSolventEvaporation (4)",Annual Emissions of Carbon Dioxide in Petroleum and Solvent Evaporation,,
Annual_Amount_Emissions_CarbonDioxide_SCC_5_WasteDisposal,"Annual Amount Emissions Carbon Dioxide, WasteDisposal (5)",Annual Emissions of Carbon Dioxide in Waste Disposal,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_1_ExternalCombustion,"Annual Amount Emissions Carbon Monoxide, ExternalCombustion (1)",Annual Emissions of Carbon Monoxide in External Combustion,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_2_InternalCombustionEngines,"Annual Amount Emissions Carbon Monoxide, InternalCombustionEngines (2)",Annual Emissions of Carbon Monoxide in Internal Combustion Engines,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_21_StationarySourceFuelCombustion,"Annual Amount Emissions Carbon Monoxide, StationarySourceFuelCombustion (21)",Annual Emissions of Carbon Monoxide in Stationary Source Fuel Combustion,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_22_MobileSources,"Annual Amount Emissions Carbon Monoxide, MobileSources (22)",Annual Emissions of Carbon Monoxide in Mobile Sources,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_23_IndustrialProcesses,"Annual Amount Emissions Carbon Monoxide, IndustrialProcesses (23)",Annual Emissions of Carbon Monoxide in Industrial Processes,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_24_SolventUtilization,"Annual Amount Emissions Carbon Monoxide, SolventUtilization (24)",Annual Emissions of Carbon Monoxide in Solvent Utilization,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_25_StorageAndTransport,"Annual Amount Emissions Carbon Monoxide, StorageAndTransport (25)",Annual Emissions of Carbon Monoxide in Storage and Transport,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual Amount Emissions Carbon Monoxide, WasteDisposalTreatmentAndRecovery (26)",Annual Emissions of Carbon Monoxide in Waste Disposal Treatment and Recovery,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_27_NaturalSources,"Annual Amount Emissions Carbon Monoxide, NaturalSources (27)",Annual Emissions of Carbon Monoxide in Natural Sources,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_28_MiscellaneousAreaSources,"Annual Amount Emissions Carbon Monoxide, MiscellaneousAreaSources (28)",Annual Emissions of Carbon Monoxide in Miscellaneous Area Sources,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_3_IndustrialProcesses,"Annual Amount Emissions Carbon Monoxide, IndustrialProcesses (3)",Annual Emissions of Carbon Monoxide in Industrial Processes,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_4_PetroleumAndSolventEvaporation,"Annual Amount Emissions Carbon Monoxide, PetroleumAndSolventEvaporation (4)",Annual Emissions of Carbon Monoxide in Petroleum and Solvent Evaporation,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_5_WasteDisposal,"Annual Amount Emissions Carbon Monoxide, WasteDisposal (5)",Annual Emissions of Carbon Monoxide in Waste Disposal,,
Annual_Amount_Emissions_ChemicalAndAlliedProductManufacturing_NonBiogenicEmissionSource_Ammonia,"Annual Amount of Emissions: Chemical And Allied Product Manufacturing, Non Biogenic Emission Source, Ammonia",Annual Emissions of Non Biogenic Ammonia From Chemical and Allied Product Manufacturing,,
Annual_Amount_Emissions_ChemicalAndAlliedProductManufacturing_NonBiogenicEmissionSource_CarbonMonoxide,"Annual Amount of Emissions: Chemical And Allied Product Manufacturing, Non Biogenic Emission Source, Carbon Monoxide",Annual Emissions of Non Biogenic Carbon Monoxide From Chemical and Allied Product Manufacturing,,
Annual_Amount_Emissions_ChemicalAndAlliedProductManufacturing_NonBiogenicEmissionSource_OxidesOfNitrogen,"Annual Amount of Emissions: Chemical And Allied Product Manufacturing, Non Biogenic Emission Source, Oxides of Nitrogen",Annual Emissions of Non Biogenic Oxides of Nitrogen From Chemical and Allied Product Manufacturing,,
Annual_Amount_Emissions_ChemicalAndAlliedProductManufacturing_NonBiogenicEmissionSource_PM10,"Annual Amount of Emissions: Chemical And Allied Product Manufacturing, Non Biogenic Emission Source, PM 10",Annual Emissions of Non Biogenic PM10 From Chemical and Allied Product Manufacturing,,
Annual_Amount_Emissions_ChemicalAndAlliedProductManufacturing_NonBiogenicEmissionSource_PM2.5,"Annual Amount of Emissions: Chemical And Allied Product Manufacturing, Non Biogenic Emission Source, PM 2.5",Annual Emissions of Non Biogenic PM2.5 From Chemical and Allied Product Manufacturing,,
Annual_Amount_Emissions_ChemicalAndAlliedProductManufacturing_NonBiogenicEmissionSource_SulfurDioxide,"Annual Amount of Emissions: Chemical And Allied Product Manufacturing, Non Biogenic Emission Source, Sulfur Dioxide",Annual Emissions of Non Biogenic Sulfur Dioxide From Chemical and Allied Product Manufacturing,,
Annual_Amount_Emissions_ChemicalAndAlliedProductManufacturing_NonBiogenicEmissionSource_VolatileOrganicCompound,"Annual Amount of Emissions: Chemical And Allied Product Manufacturing, Non Biogenic Emission Source, Volatile Organic Compound",Annual Emissions of Non Biogenic Volatile Organic Compound From Chemical and Allied Product Manufacturing,,
Annual_Amount_Emissions_Chlorane_SCC_1_ExternalCombustion,"Annual Amount Emissions Chlorane, ExternalCombustion (1)",Annual Emissions of Chlorine in External Combustion,,
Annual_Amount_Emissions_Chlorane_SCC_2_InternalCombustionEngines,"Annual Amount Emissions Chlorane, InternalCombustionEngines (2)",Annual Emissions of Chlorine in Internal Combustion Engines,,
Annual_Amount_Emissions_Chlorane_SCC_21_StationarySourceFuelCombustion,"Annual Amount Emissions Chlorane, StationarySourceFuelCombustion (21)",Annual Emissions of Chlorine in Stationary Source Fuel Combustion,,
Annual_Amount_Emissions_Chlorane_SCC_23_IndustrialProcesses,"Annual Amount Emissions Chlorane, IndustrialProcesses (23)",Annual Emissions of Chlorine in Industrial Processes,,
Annual_Amount_Emissions_Chlorane_SCC_24_SolventUtilization,"Annual Amount Emissions Chlorane, SolventUtilization (24)",Annual Emissions of Chlorine in Solvent Utilization,,
Annual_Amount_Emissions_Chlorane_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual Amount Emissions Chlorane, WasteDisposalTreatmentAndRecovery (26)",Annual Emissions of Chlorine in Waste Disposal Treatment and Recovery,,
Annual_Amount_Emissions_Chlorane_SCC_28_MiscellaneousAreaSources,"Annual Amount Emissions Chlorane, MiscellaneousAreaSources (28)",Annual Emissions of Chlorine in Miscellaneous Area Sources,,
Annual_Amount_Emissions_Chlorane_SCC_3_IndustrialProcesses,"Annual Amount Emissions Chlorane, IndustrialProcesses (3)",Annual Emissions of Chlorine in Industrial Processes,,
Annual_Amount_Emissions_Chlorane_SCC_4_PetroleumAndSolventEvaporation,"Annual Amount Emissions Chlorane, PetroleumAndSolventEvaporation (4)",Annual Emissions of Chlorine in Petroleum and Solvent Evaporation,,
Annual_Amount_Emissions_Chlorane_SCC_5_WasteDisposal,"Annual Amount Emissions Chlorane, WasteDisposal (5)",Annual Emissions of Chlorine in Waste Disposal,,
Annual_Amount_Emissions_Chlorine_SCC_1_ExternalCombustion,"Annual Amount Emissions Chlorine, ExternalCombustion (1)",Annual Emissions of Chlorine in External Combustion,,
Annual_Amount_Emissions_Chlorine_SCC_2_InternalCombustionEngines,"Annual Amount Emissions Chlorine, InternalCombustionEngines (2)",Annual Emissions of Chlorine in Internal Combustion Engines,,
Annual_Amount_Emissions_Chlorine_SCC_21_StationarySourceFuelCombustion,"Annual Amount Emissions Chlorine, StationarySourceFuelCombustion (21)",Annual Emissions of Chlorine in Stationary Source Fuel Combustion,,
