sentence,dcid
Count Households: Household Status Reported Form 50 05 8,Count_Households_ReportedForm50058
"Count Households: Household Status Reported Form 50 05 8, Program Type Housing Choice Vouchers",Count_Households_ReportedForm50058_HousingChoiceVouchers
"Count Households: Household Status Reported Form 50 05 8, Program Type Mod Rehab",Count_Households_ReportedForm50058_ModRehab
"Count Households: Household Status Reported Form 50 05 8, Program Type Project Based Section 8",Count_Households_ReportedForm50058_ProjectBasedSection8
"Count Households: Household Status Reported Form 50 05 8, Program Type Project Rental Assistance Contract Section 20 2",Count_Households_ReportedForm50058_ProjectRentalAssistanceContractSection202
"Count Households: Household Status Reported Form 50 05 8, Program Type Project Rental Assistance Contract Section 81 1",Count_Households_ReportedForm50058_ProjectRentalAssistanceContractSection811
"Count Households: Household Status Reported Form 50 05 8, Program Type Public Housing",Count_Households_ReportedForm50058_PublicHousing
"Count Households: Household Status Reported Form 50 05 8, Program Type Rent Sup Rap",Count_Households_ReportedForm50058_RentSupRAP
"Count Households: Household Status Reported Form 50 05 8, Program Type S2 36 Bmir",Count_Households_ReportedForm50058_S236BMIR
"Count Person: Age Years 25 To 50, Measurement Denominator Count_ Person",Count_Person_Years25To50_AsAFractionOf_Count_Person
"Count Person: Age Years 25 To 50, Measurement Denominator Count_ Person, Program Type Housing Choice Vouchers",Count_Person_Years25To50_HousingChoiceVouchers_AsAFractionOf_Count_Person
"Count Person: Age Years 25 To 50, Measurement Denominator Count_ Person, Program Type Mod Rehab",Count_Person_Years25To50_ModRehab_AsAFractionOf_Count_Person
"Count Person: Age Years 25 To 50, Measurement Denominator Count_ Person, Program Type Project Based Section 8",Count_Person_Years25To50_ProjectBasedSection8_AsAFractionOf_Count_Person
"Count Person: Age Years 25 To 50, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 20 2",Count_Person_Years25To50_ProjectRentalAssistanceContractSection202_AsAFractionOf_Count_Person
"Count Person: Age Years 25 To 50, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 81 1",Count_Person_Years25To50_ProjectRentalAssistanceContractSection811_AsAFractionOf_Count_Person
"Count Person: Age Years 25 To 50, Measurement Denominator Count_ Person, Program Type Public Housing",Count_Person_Years25To50_PublicHousing_AsAFractionOf_Count_Person
"Count Person: Age Years 25 To 50, Measurement Denominator Count_ Person, Program Type Rent Sup Rap",Count_Person_Years25To50_RentSupRAP_AsAFractionOf_Count_Person
"Count Person: Age Years 25 To 50, Measurement Denominator Count_ Person, Program Type S2 36 Bmir",Count_Person_Years25To50_S236BMIR_AsAFractionOf_Count_Person
"Count Person: Age Years 51 To 61, Measurement Denominator Count_ Person",Count_Person_Years51To61_AsAFractionOf_Count_Person
"Count Person: Age Years 51 To 61, Measurement Denominator Count_ Person, Program Type Housing Choice Vouchers",Count_Person_Years51To61_HousingChoiceVouchers_AsAFractionOf_Count_Person
"Count Person: Age Years 51 To 61, Measurement Denominator Count_ Person, Program Type Mod Rehab",Count_Person_Years51To61_ModRehab_AsAFractionOf_Count_Person
"Count Person: Age Years 51 To 61, Measurement Denominator Count_ Person, Program Type Project Based Section 8",Count_Person_Years51To61_ProjectBasedSection8_AsAFractionOf_Count_Person
"Count Person: Age Years 51 To 61, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 20 2",Count_Person_Years51To61_ProjectRentalAssistanceContractSection202_AsAFractionOf_Count_Person
"Count Person: Age Years 51 To 61, Measurement Denominator Count_ Person, Program Type Project Rental Assistance Contract Section 81 1",Count_Person_Years51To61_ProjectRentalAssistanceContractSection811_AsAFractionOf_Count_Person
