PreferredSV,DroppedSV,DuplicateName
Amount_EconomicActivity_GrossDomesticProduction_Nominal,dc/topic/GDP,GDP
dc/topic/Mortality,dc/topic/WHOMortality,Mortality
dc/topic/EconomicActivity,dc/topic/GlobalEconomicActivity,Economic Activity
UnemploymentRate_Person,dc/topic/UnemploymentRate,Unemployment Rate
UnemploymentRate_Person,dc/topic/UnemploymentRate,unemployment
dc/topic/EducationalAttainment,dc/topic/LevelOfEducationalAttainment,education attainment level
Count_Person_DetailedHighSchool,dc/topic/StudentsInHighSchool,high school students
Count_Person_DetailedPrimarySchool,dc/topic/StudentsInPrimarySchool,primary school students
Count_Person_DetailedMiddleSchool,dc/topic/StudentsInMiddleSchool,middle school students
Annual_Emissions_GreenhouseGas,dc/topic/GreenhouseGasEmissions,Greenhouse Gas Emissions
dc/topic/FoodInsecurity,dc/topic/sdg_2.1.2,food security
dc/topic/GlobalElectricityAccess,dc/topic/sdg_7.1.1,electricity access
Amount_EconomicActivity_GrossDomesticProduction_Nominal,dc/topic/sdg_8.1.1,GDP
Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,dc/topic/sdg_8.1.1,GDP per capita
dc/topic/sdg_8.10,dc/topic/sdg_8.10.1,sdg 8 10
dc/topic/sdg_8.10,dc/topic/sdg_8.10.1,sdg 8.10
dc/topic/sdg_8.10,dc/topic/sdg_8.10.1,sdg 810
dc/topic/sdg_8.10,dc/topic/sdg_8.10.1,"sdg Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all"
dc/topic/sdg_8.10,dc/topic/sdg_8.10.1,sdg810
dc/topic/sdg_8.10,dc/topic/sdg_8.10.1,"sustainable development goal Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all"
dc/topic/sdg_11,dc/topic/sdg_1.1,sdg 11
dc/topic/sdg_11,dc/topic/sdg_1.1,sdg11
dc/topic/sdg_11.1,dc/topic/sdg_1.1.1,sdg 111
dc/topic/sdg_11.1,dc/topic/sdg_1.1.1,sdg111
dc/topic/sdg_1.5.1,dc/topic/sdg_11.5.1,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100K population"
dc/topic/sdg_1.5.1,dc/topic/sdg_11.5.1,"sdg Number of deaths, missing persons and directly affected persons attributed to disasters per 100K population"
dc/topic/sdg_1.5.1,dc/topic/sdg_11.5.1,"sustainable development goal Number of deaths, missing persons and directly affected persons attributed to disasters per 100K population"
dc/topic/sdg_1.5.2,dc/topic/sdg_11.5.2,Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)
dc/topic/sdg_1.5.2,dc/topic/sdg_11.5.2,sdg Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)
dc/topic/sdg_1.5.2,dc/topic/sdg_11.5.2,sustainable development goal Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)
dc/topic/sdg_1.5.3,dc/topic/sdg_11.b.1,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030
dc/topic/sdg_1.5.3,dc/topic/sdg_11.b.1,sdg Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030
dc/topic/sdg_1.5.3,dc/topic/sdg_11.b.1,sustainable development goal Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030
dc/topic/sdg_1.5.4,dc/topic/sdg_11.b.2,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
dc/topic/sdg_1.5.4,dc/topic/sdg_11.b.2,sdg Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
dc/topic/sdg_1.5.4,dc/topic/sdg_11.b.2,sustainable development goal Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
dc/topic/sdg_12,dc/topic/sdg_1.2,sdg 12
dc/topic/sdg_12,dc/topic/sdg_1.2,sdg12
dc/topic/sdg_12.1,dc/topic/sdg_1.2.1,sdg 121
dc/topic/sdg_12.1,dc/topic/sdg_1.2.1,sdg121
dc/topic/sdg_12.2,dc/topic/sdg_1.2.2,sdg 122
dc/topic/sdg_12.2,dc/topic/sdg_1.2.2,sdg122
dc/topic/sdg_8.4.1,dc/topic/sdg_12.2.1,"Material footprint, material footprint per capita, and material footprint per GDP"
dc/topic/sdg_8.4.1,dc/topic/sdg_12.2.1,"sdg Material footprint, material footprint per capita, and material footprint per GDP"
dc/topic/sdg_8.4.1,dc/topic/sdg_12.2.1,"sustainable development goal Material footprint, material footprint per capita, and material footprint per GDP"
dc/topic/sdg_8.4.2,dc/topic/sdg_12.2.2,"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP"
dc/topic/sdg_8.4.2,dc/topic/sdg_12.2.2,"sdg Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP"
dc/topic/sdg_8.4.2,dc/topic/sdg_12.2.2,"sustainable development goal Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP"
dc/topic/sdg_4.7.1,dc/topic/sdg_12.8.1,(b) curricula
dc/topic/sdg_4.7.1,dc/topic/sdg_12.8.1,(c) teacher education
dc/topic/sdg_4.7.1,dc/topic/sdg_12.8.1,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies
dc/topic/sdg_4.7.1,dc/topic/sdg_12.8.1,and (d) student assessment
dc/topic/sdg_4.7.1,dc/topic/sdg_12.8.1,sdg Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies
dc/topic/sdg_4.7.1,dc/topic/sdg_12.8.1,sustainable development goal Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies
dc/topic/sdg_7.b.1,dc/topic/sdg_12.a.1,Installed renewable energy-generating capacity in developing countries (in watts per capita)
dc/topic/sdg_7.b.1,dc/topic/sdg_12.a.1,sdg Installed renewable energy-generating capacity in developing countries (in watts per capita)
dc/topic/sdg_7.b.1,dc/topic/sdg_12.a.1,sustainable development goal Installed renewable energy-generating capacity in developing countries (in watts per capita)
dc/topic/sdg_13,dc/topic/sdg_1.3,sdg 13
dc/topic/sdg_13,dc/topic/sdg_1.3,sdg13
dc/topic/sdg_13.1,dc/topic/sdg_1.3.1,sdg 131
dc/topic/sdg_13.1,dc/topic/sdg_1.3.1,sdg131
dc/topic/sdg_1.5.1,dc/topic/sdg_13.1.1,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100K population"
dc/topic/sdg_1.5.1,dc/topic/sdg_13.1.1,"sdg Number of deaths, missing persons and directly affected persons attributed to disasters per 100K population"
dc/topic/sdg_1.5.1,dc/topic/sdg_13.1.1,"sustainable development goal Number of deaths, missing persons and directly affected persons attributed to disasters per 100K population"
