dcid,sentence
HivDeathsFemalePeople,AIDS related deaths - female (number of people);AIDS deaths - female (number of people)
HivDeathsMalePeople,AIDS related related deaths - male (number of people);AIDS related deaths - male (number of people)
HivDeathsPeople,AIDS related deaths (number of people);AIDS related deaths (number of people)
HivNewInfectionsFemalePeople,New HIV infections - female (number of people);New HIV infections - female (number of people)
HivNewInfectionsMalePeople,New HIV infections - male (number of people);New HIV infections - male (number of people)
HivNewInfectionsPeople,New HIV infections (number of people);New HIV infections (number of people)
HivPeopleLivingWithHIVReceivingARTPeople,People living with HIV receiving Antiretroviral therapy (number of people;People living with HIV receiving Antiretroviral therapy (number of people
HivPeopleLivingWithHIVReceivingARTPercent,People living with HIV receiving Antiretroviral therapy (percent);People living with HIV receiving Antiretroviral therapy (percent)
HivPeopleLivingWithHivFemalePeople,People living with HIV - female (number of people);People living with HIV - female (number of people)
HivPeopleLivingWithHivMalePeople,People living with HIV - male (number of people);People living with HIV - male (number of people)
HivPeopleLivingWithHivPeople,People living with HIV (number of people);People living with HIV (number of people)
SdrAllocationsSdr,Allocations (SDRs);Allocation of Special Drawing Rights (in SDRs)
SdrHoldingsSdr,Holdings (SDRs);Holdings of Special Drawing Rights(in SDRs
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDAfghanistan,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Afghanistan;Climate finance provided;Climate finance commitments provided to Afghanistan for adaptation in current USD
custom/statvar_1,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Africa, regional;Climate finance provided;Climate finance commitments provided to Africa, regional for adaptation in current USD"
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDAlbania,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Albania;Climate finance provided;Climate finance commitments provided to Albania for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDAlgeria,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Algeria;Climate finance provided;Climate finance commitments provided to Algeria for adaptation in current USD
custom/statvar_2,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - America, regional;Climate finance provided;Climate finance commitments provided to America, regional for adaptation in current USD"
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDAngola,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Angola;Climate finance provided;Climate finance commitments provided to Angola for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDAntiguaandBarbuda,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Antigua and Barbuda;Climate finance provided;Climate finance commitments provided to Antigua and Barbuda for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDArgentina,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Argentina;Climate finance provided;Climate finance commitments provided to Argentina for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDArmenia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Armenia;Climate finance provided;Climate finance commitments provided to Armenia for adaptation in current USD
custom/statvar_3,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Asia, regional;Climate finance provided;Climate finance commitments provided to Asia, regional for adaptation in current USD"
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDAzerbaijan,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Azerbaijan;Climate finance provided;Climate finance commitments provided to Azerbaijan for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDBangladesh,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Bangladesh;Climate finance provided;Climate finance commitments provided to Bangladesh for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDBelarus,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Belarus;Climate finance provided;Climate finance commitments provided to Belarus for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDBelize,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Belize;Climate finance provided;Climate finance commitments provided to Belize for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDBenin,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Benin;Climate finance provided;Climate finance commitments provided to Benin for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDBhutan,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Bhutan;Climate finance provided;Climate finance commitments provided to Bhutan for adaptation in current USD
custom/statvar_4,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Bilateral, unspecified;Climate finance provided;Climate finance commitments provided to Bilateral, unspecified for adaptation in current USD"
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDBolivia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Bolivia;Climate finance provided;Climate finance commitments provided to Bolivia for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDBosniaandHerzegovina,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Bosnia and Herzegovina;Climate finance provided;Climate finance commitments provided to Bosnia and Herzegovina for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDBotswana,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Botswana;Climate finance provided;Climate finance commitments provided to Botswana for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDBrazil,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Brazil;Climate finance provided;Climate finance commitments provided to Brazil for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDBurkinaFaso,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Burkina Faso;Climate finance provided;Climate finance commitments provided to Burkina Faso for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDBurundi,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Burundi;Climate finance provided;Climate finance commitments provided to Burundi for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDCaboVerde,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Cabo Verde;Climate finance provided;Climate finance commitments provided to Cabo Verde for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDCambodia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Cambodia;Climate finance provided;Climate finance commitments provided to Cambodia for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDCameroon,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Cameroon;Climate finance provided;Climate finance commitments provided to Cameroon for adaptation in current USD
custom/statvar_5,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Caribbean & Central America, regional;Climate finance provided;Climate finance commitments provided to Caribbean & Central America, regional for adaptation in current USD"
custom/statvar_6,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Caribbean, regional;Climate finance provided;Climate finance commitments provided to Caribbean, regional for adaptation in current USD"
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDCentralAfricanRepublic,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Central African Republic;Climate finance provided;Climate finance commitments provided to Central African Republic for adaptation in current USD
custom/statvar_7,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Central America, regional;Climate finance provided;Climate finance commitments provided to Central America, regional for adaptation in current USD"
custom/statvar_8,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Central Asia, regional;Climate finance provided;Climate finance commitments provided to Central Asia, regional for adaptation in current USD"
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDChad,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Chad;Climate finance provided;Climate finance commitments provided to Chad for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDChile,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Chile;Climate finance provided;Climate finance commitments provided to Chile for adaptation in current USD
custom/statvar_9,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - China (People's Republic of);Climate finance provided;Climate finance commitments provided to China (People's Republic of) for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDColombia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Colombia;Climate finance provided;Climate finance commitments provided to Colombia for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDComoros,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Comoros;Climate finance provided;Climate finance commitments provided to Comoros for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDCongo,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Congo;Climate finance provided;Climate finance commitments provided to Congo for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDCookIslands,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Cook Islands;Climate finance provided;Climate finance commitments provided to Cook Islands for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDCostaRica,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Costa Rica;Climate finance provided;Climate finance commitments provided to Costa Rica for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDCuba,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Cuba;Climate finance provided;Climate finance commitments provided to Cuba for adaptation in current USD
custom/statvar_10,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Côte d'Ivoire;Climate finance provided;Climate finance commitments provided to Côte d'Ivoire for adaptation in current USD
custom/statvar_11,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Democratic People's Republic of Korea;Climate finance provided;Climate finance commitments provided to Democratic People's Republic of Korea for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDDemocraticRepublicoftheCongo,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Democratic Republic of the Congo;Climate finance provided;Climate finance commitments provided to Democratic Republic of the Congo for adaptation in current USD
custom/statvar_12,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Developing countries, unspecified;Climate finance provided;Climate finance commitments provided to Developing countries, unspecified for adaptation in current USD"
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDDjibouti,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Djibouti;Climate finance provided;Climate finance commitments provided to Djibouti for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDDominica,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Dominica;Climate finance provided;Climate finance commitments provided to Dominica for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDDominicanRepublic,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Dominican Republic;Climate finance provided;Climate finance commitments provided to Dominican Republic for adaptation in current USD
custom/statvar_13,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Eastern Africa, regional;Climate finance provided;Climate finance commitments provided to Eastern Africa, regional for adaptation in current USD"
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDEcuador,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Ecuador;Climate finance provided;Climate finance commitments provided to Ecuador for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDEgypt,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Egypt;Climate finance provided;Climate finance commitments provided to Egypt for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDElSalvador,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - El Salvador;Climate finance provided;Climate finance commitments provided to El Salvador for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDEquatorialGuinea,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Equatorial Guinea;Climate finance provided;Climate finance commitments provided to Equatorial Guinea for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDEritrea,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Eritrea;Climate finance provided;Climate finance commitments provided to Eritrea for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDEswatini,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Eswatini;Climate finance provided;Climate finance commitments provided to Eswatini for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDEthiopia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Ethiopia;Climate finance provided;Climate finance commitments provided to Ethiopia for adaptation in current USD
custom/statvar_14,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Europe, regional;Climate finance provided;Climate finance commitments provided to Europe, regional for adaptation in current USD"
custom/statvar_15,"Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Far East Asia, regional;Climate finance provided;Climate finance commitments provided to Far East Asia, regional for adaptation in current USD"
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDFiji,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Fiji;Climate finance provided;Climate finance commitments provided to Fiji for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDGabon,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Gabon;Climate finance provided;Climate finance commitments provided to Gabon for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDGambia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Gambia;Climate finance provided;Climate finance commitments provided to Gambia for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDGeorgia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Georgia;Climate finance provided;Climate finance commitments provided to Georgia for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDGhana,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Ghana;Climate finance provided;Climate finance commitments provided to Ghana for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDGrenada,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Grenada;Climate finance provided;Climate finance commitments provided to Grenada for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDGuatemala,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Guatemala;Climate finance provided;Climate finance commitments provided to Guatemala for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDGuinea,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Guinea;Climate finance provided;Climate finance commitments provided to Guinea for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDGuineaBissau,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Guinea-Bissau;Climate finance provided;Climate finance commitments provided to Guinea-Bissau for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDGuyana,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Guyana;Climate finance provided;Climate finance commitments provided to Guyana for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDHaiti,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Haiti;Climate finance provided;Climate finance commitments provided to Haiti for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDHonduras,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Honduras;Climate finance provided;Climate finance commitments provided to Honduras for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDIndia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - India;Climate finance provided;Climate finance commitments provided to India for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDIndonesia,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Indonesia;Climate finance provided;Climate finance commitments provided to Indonesia for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDIran,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Iran;Climate finance provided;Climate finance commitments provided to Iran for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDIraq,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Iraq;Climate finance provided;Climate finance commitments provided to Iraq for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDJamaica,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Jamaica;Climate finance provided;Climate finance commitments provided to Jamaica for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDJordan,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Jordan;Climate finance provided;Climate finance commitments provided to Jordan for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDKazakhstan,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Kazakhstan;Climate finance provided;Climate finance commitments provided to Kazakhstan for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDKenya,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Kenya;Climate finance provided;Climate finance commitments provided to Kenya for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDKiribati,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Kiribati;Climate finance provided;Climate finance commitments provided to Kiribati for adaptation in current USD
climateFinanceProvidedCommitmentsAdaptationByRecipientCurrentUSDKosovo,Climate finance commitments (provider perspective) for adaptation by recipient (current USD) - Kosovo;Climate finance provided;Climate finance commitments provided to Kosovo for adaptation in current USD
