dcid,Name,Description,Override_Alternatives,Curated_Alternatives
sdg/AG_FLS_INDEX,Global food loss index,Global food loss index,,
sdg/AG_FLS_PCT,Food loss percentage,Food loss percentage,,
sdg/AG_FOOD_WST,Food waste,Food waste,,
sdg/AG_FOOD_WST.FOOD_WASTE_SECTOR--FWS_HHS,Food waste [Food Waste Sector = Households],Food waste [Food Waste Sector = Households],,
sdg/AG_FOOD_WST.FOOD_WASTE_SECTOR--FWS_OOHC,Food waste [Food Waste Sector = Out-of-home consumption],Food waste [Food Waste Sector = Out-of-home consumption],,
sdg/AG_FOOD_WST.FOOD_WASTE_SECTOR--FWS_RTL,Food waste [Food Waste Sector = Retail],Food waste [Food Waste Sector = Retail],,
sdg/AG_FOOD_WST_PC,Food waste per capita,Food waste per capita,,
sdg/AG_FOOD_WST_PC.FOOD_WASTE_SECTOR--FWS_HHS,Food waste per capita [Food Waste Sector = Households],Food waste per capita [Food Waste Sector = Households],,
sdg/AG_FOOD_WST_PC.FOOD_WASTE_SECTOR--FWS_OOHC,Food waste per capita [Food Waste Sector = Out-of-home consumption],Food waste per capita [Food Waste Sector = Out-of-home consumption],,
sdg/AG_FOOD_WST_PC.FOOD_WASTE_SECTOR--FWS_RTL,Food waste per capita [Food Waste Sector = Retail],Food waste per capita [Food Waste Sector = Retail],,
sdg/AG_FPA_CFPI,Indicator of Food Price Anomalies,Indicator of Food Price Anomalies,,
sdg/AG_FPA_COMM.PRODUCT--CPC2_1_111,Indicator of Food Price Anomalies [Type of product = Wheat],Indicator of Food Price Anomalies [Type of product = Wheat],,
sdg/AG_FPA_COMM.PRODUCT--CPC2_1_112,Indicator of Food Price Anomalies [Type of product = Maize],Indicator of Food Price Anomalies [Type of product = Maize],,
sdg/AG_FPA_COMM.PRODUCT--CPC2_1_113,Indicator of Food Price Anomalies [Type of product = Rice],Indicator of Food Price Anomalies [Type of product = Rice],,
sdg/AG_FPA_COMM.PRODUCT--CPC2_1_114,Indicator of Food Price Anomalies [Type of product = Sorghum],Indicator of Food Price Anomalies [Type of product = Sorghum],,
sdg/AG_FPA_COMM.PRODUCT--CPC2_1_118,Indicator of Food Price Anomalies [Type of product = Millet],Indicator of Food Price Anomalies [Type of product = Millet],,
sdg/AG_FPA_HMFP,"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies","Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies",,
sdg/AG_FPA_HMFP.SEVERITY_OF_PRICE_LEVELS--SPL_A,"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies [Severity of price levels = Abnormal: High food prices]","Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies [Severity of price levels = Abnormal: High food prices]",,
sdg/AG_FPA_HMFP.SEVERITY_OF_PRICE_LEVELS--SPL_M,"Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies [Severity of price levels = Moderate: Moderately high food prices]","Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies [Severity of price levels = Moderate: Moderately high food prices]",,
sdg/AG_LND_AGRBIO,Proportion of agricultural land area that has achieved an acceptable or desirable level of use of agro-biodiversity supportive practices,Proportion of agricultural land area that has achieved an acceptable or desirable level of use of agro-biodiversity supportive practices,,
sdg/AG_LND_AGRWAG,Proportion of agricultural land area that has achieved an acceptable or desirable level of wage rate in agriculture,Proportion of agricultural land area that has achieved an acceptable or desirable level of wage rate in agriculture,,
sdg/AG_LND_DGRD,Proportion of land that is degraded over total land area,Proportion of land that is degraded over total land area,,
sdg/AG_LND_FERTMG,Proportion of agricultural land area that has achieved an acceptable or desirable level of management of fertilizers,Proportion of agricultural land area that has achieved an acceptable or desirable level of management of fertilizers,,
sdg/AG_LND_FIES,Proportion of agricultural land area that has achieved an acceptable or desirable level of food security,Proportion of agricultural land area that has achieved an acceptable or desirable level of food security,,
sdg/AG_LND_FOVH,Proportion of agricultural land area that has achieved an acceptable or desirable level of farm output value per hectare,Proportion of agricultural land area that has achieved an acceptable or desirable level of farm output value per hectare,,
sdg/AG_LND_FRST,Forest area as a proportion of total land area,Forest area as a proportion of total land area,,
sdg/AG_LND_FRSTBIOPHA,Above-ground biomass in forest,Above-ground biomass in forest,,
sdg/AG_LND_FRSTCERT,Forest area under an independently verified forest management certification scheme,Forest area under an independently verified forest management certification scheme,,
sdg/AG_LND_FRSTCHG,Annual forest area change rate,Annual forest area change rate,,
sdg/AG_LND_FRSTMGT,Proportion of forest area with a long-term management plan,Proportion of forest area with a long-term management plan,,
sdg/AG_LND_FRSTN,Forest area,Forest area,,
sdg/AG_LND_FRSTPRCT,Proportion of forest area within legally established protected areas,Proportion of forest area within legally established protected areas,,
sdg/AG_LND_H2OAVAIL,Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability,Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability,,
sdg/AG_LND_LNDSTR,Proportion of agricultural land area that has achieved an acceptable or desirable level of secure tenure rights to agricultural land,Proportion of agricultural land area that has achieved an acceptable or desirable level of secure tenure rights to agricultural land,,
sdg/AG_LND_NFI,Proportion of agricultural land area that has achieved an acceptable or desirable level of net farm income,Proportion of agricultural land area that has achieved an acceptable or desirable level of net farm income,,
sdg/AG_LND_PSTCDSMG,Proportion of agricultural land area that has achieved an acceptable or desirable level of management of pesticides,Proportion of agricultural land area that has achieved an acceptable or desirable level of management of pesticides,,
